attempt,best_program,program_score,time,new_updated_rules
1,1,0.0,0.10475540161132812,No updates
2,"indexof_cvc(suffixof_cvc(_arg_1, """"), concat_cvc("""", _arg_1), 0)",0.0,0.16994476318359375,No updates
3,"indexof_cvc(contains_cvc("""", """"), "" "", 1 == -1)",0.0,0.08136868476867676,No updates
4,"indexof_cvc(substr_cvc("""", 0, 0), contains_cvc(_arg_1, """"), 1)",0.0,0.1004037857055664,No updates
5,"indexof_cvc(if true
        """"
    else
        _arg_1
    end, "" "", 0 - 0)",0.0,0.09122061729431152,No updates
6,"indexof_cvc(concat_cvc("" "", """"), substr_cvc(_arg_1, -1, 0), -1)",0.0,0.13036894798278809,No updates
7,"indexof_cvc(substr_cvc("" "", 1, 0), "" "", -1 + 1)",0.0,0.07725286483764648,No updates
8,"if false
    indexof_cvc("" "", "" "", 1)
else
    -1 - 0
end",0.0,0.09181690216064453,No updates
9,"indexof_cvc(prefixof_cvc("""", _arg_1), "" "", if false
        -1
    else
        -1
    end)",0.0,0.08301734924316406,No updates
10,"indexof_cvc(concat_cvc(_arg_1, "" ""), if true
        "" ""
    else
        _arg_1
    end, len_cvc(_arg_1))",0.0,0.1133425235748291,No updates
11,"indexof_cvc(substr_cvc("""", 1, 1), concat_cvc("" "", """"), str_to_int_cvc(""""))",0.0,0.0971839427947998,No updates
12,"indexof_cvc(replace_cvc("" "", """", _arg_1), contains_cvc(_arg_1, _arg_1), len_cvc("" ""))",0.0,0.09914207458496094,No updates
13,"indexof_cvc(at_cvc(_arg_1, 0), suffixof_cvc("""", """"), 0 - 1)",0.0,0.10137343406677246,No updates
14,"indexof_cvc(prefixof_cvc("""", """"), replace_cvc("""", """", _arg_1), str_to_int_cvc(""""))",0.0,0.09626150131225586,No updates
15,"indexof_cvc(if true
        """"
    else
        _arg_1
    end, replace_cvc("""", _arg_1, """"), -1)",0.0,0.08891487121582031,No updates
16,"indexof_cvc(concat_cvc("" "", _arg_1), contains_cvc(_arg_1, "" ""), -1 - 1)",0.0,0.11389279365539551,No updates
17,"indexof_cvc(prefixof_cvc("" "", "" ""), concat_cvc("""", _arg_1), -1 == 0)",0.0,0.10736560821533203,No updates
18,"indexof_cvc(contains_cvc(_arg_1, _arg_1), prefixof_cvc("""", "" ""), -1 + -1)",0.0,0.1045224666595459,No updates
19,"indexof_cvc(at_cvc("" "", 1), at_cvc("" "", 1), 1 == 1)",0.0,0.09868359565734863,No updates
20,"indexof_cvc(if false
        """"
    else
        """"
    end, if true
        _arg_1
    else
        _arg_1
    end, 0)",0.0,0.09223723411560059,No updates
21,"indexof_cvc(substr_cvc("" "", -1, 1), _arg_1, indexof_cvc("""", _arg_1, -1))",0.0,0.09232521057128906,No updates
22,"indexof_cvc(substr_cvc("" "", 0, 1), substr_cvc("""", -1, 0), 1)",0.0,0.07261109352111816,No updates
23,"indexof_cvc(at_cvc("""", 1), replace_cvc(_arg_1, """", _arg_1), 0 + 0)",0.0,0.10055279731750488,No updates
24,"indexof_cvc(concat_cvc("" "", "" ""), contains_cvc(_arg_1, "" ""), if true
        0
    else
        -1
    end)",0.0,0.10813355445861816,No updates
25,"indexof_cvc(suffixof_cvc("" "", _arg_1), concat_cvc("" "", "" ""), if false
        -1
    else
        1
    end)",0.0,0.11114788055419922,No updates
