attempt,best_program,program_score,iterations,time_seconds
1,_arg_1,0.0,10000,0.07697296142578125
2,"replace_cvc(replace_cvc(""."", _arg_1, _arg_1), _arg_2, _arg_1)",0.0,10000,0.08289408683776855
3,"replace_cvc(prefixof_cvc(""."", "" ""), _arg_2, suffixof_cvc(_arg_2, _arg_1))",0.0,10000,0.13126802444458008
4,"replace_cvc("" "", suffixof_cvc("" "", "" ""), concat_cvc(_arg_2, _arg_1))",0.0,10000,0.08376097679138184
5,"replace_cvc(_arg_2, concat_cvc(_arg_1, "" ""), at_cvc("" "", 2))",0.0,10000,0.08262205123901367
6,"replace_cvc(concat_cvc("" "", "" ""), prefixof_cvc(_arg_2, _arg_2), _arg_1)",0.0,10000,0.087921142578125
7,"replace_cvc(at_cvc(""."", 1), at_cvc(_arg_1, 1), _arg_1)",0.0,10000,0.08394503593444824
8,"replace_cvc(replace_cvc("" "", _arg_2, "".""), "" "", prefixof_cvc(_arg_2, _arg_1))",0.0,10000,0.08552193641662598
9,"replace_cvc(substr_cvc("" "", 1, 1), "" "", prefixof_cvc("" "", _arg_1))",0.0,10000,0.08559393882751465
10,"replace_cvc(substr_cvc(_arg_1, 0, 2), suffixof_cvc(_arg_1, "" ""), _arg_1)",0.0,10000,0.14458012580871582
11,"replace_cvc(replace_cvc(_arg_2, _arg_1, "" ""), suffixof_cvc(_arg_2, "" ""), _arg_1)",0.0,10000,0.08422708511352539
12,"replace_cvc(_arg_1, replace_cvc(_arg_2, "" "", "".""), prefixof_cvc("" "", _arg_1))",0.0,10000,0.08618593215942383
13,"replace_cvc(""."", replace_cvc("" "", "" "", "".""), suffixof_cvc("" "", _arg_1))",0.0,10000,0.07244706153869629
14,"substr_cvc(replace_cvc(_arg_1, _arg_2, "" ""), 2 + 2, 2)",0.0,10000,0.07504987716674805
15,"replace_cvc(_arg_2, concat_cvc("" "", _arg_2), replace_cvc(_arg_1, ""."", _arg_1))",0.0,10000,0.08510518074035645
