attempt,best_program,program_score,iterations,time_seconds
1,_arg_1,0.0,10000,0.1338191032409668
2,"substr_cvc(at_cvc("","", 2), 2, 0)",0.0,10000,0.18453001976013184
3,"replace_cvc(_arg_1, substr_cvc(_arg_1, 1, 0), "","")",0.0,10000,0.1746819019317627
4,"substr_cvc(replace_cvc("" "", "","", "",""), 1, 1)",0.0,10000,0.18834805488586426
5,"at_cvc(prefixof_cvc(_arg_1, "" ""), 0 - 0)",0.0,10000,0.10906982421875
6,"replace_cvc(concat_cvc(_arg_1, _arg_1), concat_cvc(_arg_2, "" ""), "" "")",0.0,10000,0.13298892974853516
7,"replace_cvc(concat_cvc(""."", _arg_1), concat_cvc(_arg_2, "" ""), "" "")",0.0,10000,0.10067105293273926
8,"replace_cvc(prefixof_cvc("" "", _arg_1), concat_cvc(_arg_2, "" ""), "" "")",0.0,10000,0.09332489967346191
9,"replace_cvc(suffixof_cvc("","", _arg_1), concat_cvc(_arg_2, "" ""), "" "")",0.0,10000,0.12813305854797363
10,"replace_cvc(contains_cvc(_arg_2, _arg_1), concat_cvc(_arg_2, "" ""), "" "")",0.0,10000,0.09375309944152832
11,"replace_cvc(at_cvc(_arg_1, 0), at_cvc("","", 2), "" "")",0.0,10000,0.1311509609222412
12,"replace_cvc("" "", replace_cvc("" "", ""."", "",""), int_to_str_cvc(2))",0.0,10000,0.23103713989257812
13,"replace_cvc(at_cvc(_arg_2, 2), _arg_1, suffixof_cvc("" "", "" ""))",0.0,10000,0.11150288581848145
14,"replace_cvc(_arg_1, prefixof_cvc("" "", "" ""), contains_cvc("" "", "" ""))",0.0,10000,0.10448598861694336
15,"replace_cvc(_arg_2, prefixof_cvc("" "", "" ""), contains_cvc("" "", "" ""))",0.0,10000,0.10178899765014648
16,"replace_cvc("","", prefixof_cvc("" "", "" ""), contains_cvc("" "", "" ""))",0.0,10000,0.10146903991699219
17,"replace_cvc("" "", prefixof_cvc("" "", "" ""), contains_cvc("" "", "" ""))",0.0,10000,0.10361695289611816
18,"replace_cvc(""."", prefixof_cvc("" "", "" ""), contains_cvc("" "", "" ""))",0.0,10000,0.135329008102417
19,"replace_cvc("","", at_cvc(""."", 1), contains_cvc("" "", "" ""))",0.0,10000,0.11968588829040527
20,"replace_cvc(suffixof_cvc(_arg_2, _arg_1), ""."", at_cvc("","", 2))",0.0,10000,0.10126900672912598
21,"replace_cvc(""."", prefixof_cvc(""."", _arg_2), at_cvc(_arg_2, 0))",0.0,10000,0.11547708511352539
22,"replace_cvc(concat_cvc(_arg_1, "" ""), "","", concat_cvc(""."", "" ""))",0.0,10000,0.1399669647216797
23,"replace_cvc(concat_cvc(""."", "" ""), "","", concat_cvc(""."", "" ""))",0.0,10000,0.12948894500732422
24,"replace_cvc(prefixof_cvc("" "", "" ""), "","", concat_cvc(""."", "" ""))",0.0,10000,0.0945131778717041
