attempt,best_program,program_score,iterations,time_seconds
1,_arg_1,0.0,10000,0.08999896049499512
2,"if true
    int_to_str_cvc(0)
else
    prefixof_cvc("" "", """")
end",0.0,10000,0.05244708061218262
3,"replace_cvc("""", if false
        "" ""
    else
        """"
    end, _arg_1)",0.0,10000,0.09597206115722656
4,"replace_cvc(int_to_str_cvc(1), concat_cvc("""", """"), int_to_str_cvc(0))",0.0,10000,0.041970014572143555
5,"if false
    suffixof_cvc("""", "","")
else
    contains_cvc("""", _arg_1)
end",0.0,10000,0.055741071701049805
6,"at_cvc(replace_cvc(_arg_1, "","", """"), 0 - 0)",0.0,10000,0.08136796951293945
7,"replace_cvc(prefixof_cvc(_arg_1, "",""), prefixof_cvc("" "", """"), _arg_1)",0.0,10000,0.09579992294311523
8,"replace_cvc(contains_cvc("" "", "" ""), prefixof_cvc("","", """"), _arg_1)",0.0,10000,0.07855606079101562
9,"replace_cvc(at_cvc("""", -1), """", suffixof_cvc("""", _arg_1))",0.0,10000,0.09502410888671875
10,"replace_cvc(suffixof_cvc(_arg_1, _arg_1), """", contains_cvc("""", _arg_1))",0.0,10000,0.11291289329528809
11,"replace_cvc(_arg_1, prefixof_cvc("","", "" ""), concat_cvc("""", _arg_1))",0.0,10000,0.0874791145324707
12,"replace_cvc("" "", contains_cvc("" "", "" ""), prefixof_cvc("""", _arg_1))",0.0,10000,0.07964706420898438
13,"replace_cvc(at_cvc("""", 0), prefixof_cvc("" "", """"), _arg_1)",0.0,10000,0.07730293273925781
14,"substr_cvc(at_cvc(_arg_1, 0), -1 - -1, 1)",0.0,10000,0.09569001197814941
15,"substr_cvc(prefixof_cvc("""", "" ""), 0, -1 == 0)",0.0,10000,0.08398103713989258
16,"substr_cvc(suffixof_cvc("""", "",""), 1, if true
        -1
    else
        -1
    end)",0.0,10000,0.08773589134216309
17,"replace_cvc(suffixof_cvc(_arg_1, "" ""), contains_cvc("","", "" ""), int_to_str_cvc(1))",0.0,10000,0.09885287284851074
18,"replace_cvc(contains_cvc("" "", "" ""), at_cvc("","", -1), int_to_str_cvc(0))",0.0,10000,0.04931187629699707
19,"if true
    replace_cvc("" "", """", """")
else
    concat_cvc("""", "" "")
end",0.0,10000,0.03785300254821777
20,"if false
    substr_cvc("","", 1, -1)
else
    prefixof_cvc("""", "" "")
end",0.0,10000,0.04308891296386719
21,"if true
    at_cvc("","", 1)
else
    substr_cvc("","", 0, 1)
end",0.0,10000,0.06337499618530273
22,"if true
    prefixof_cvc("""", "","")
else
    replace_cvc("","", _arg_1, "" "")
end",0.0,10000,0.03946495056152344
23,"replace_cvc(concat_cvc("" "", _arg_1), "","", if false
        "" ""
    else
        "" ""
    end)",0.0,10000,0.08343195915222168
24,"replace_cvc(at_cvc("" "", 0), _arg_1, if true
        """"
    else
        "" ""
    end)",0.0,10000,0.0769951343536377
25,"replace_cvc(prefixof_cvc("","", """"), "","", replace_cvc("""", """", "" ""))",0.0,10000,0.0892641544342041
26,"replace_cvc(concat_cvc("""", _arg_1), replace_cvc("","", "" "", """"), "" "")",0.0,10000,0.07993316650390625
27,"replace_cvc(suffixof_cvc("" "", "",""), replace_cvc("","", "","", """"), "" "")",0.0,10000,0.0924069881439209
28,"at_cvc(if true
        "",""
    else
        "" ""
    end, if false
        1
    else
        0
    end)",0.0,10000,0.07689404487609863
29,"replace_cvc("","", contains_cvc("","", "" ""), if false
        """"
    else
        "" ""
    end)",0.0,10000,0.07643508911132812
30,"replace_cvc(_arg_1, prefixof_cvc("" "", "",""), replace_cvc("" "", """", "" ""))",0.0,10000,0.09252405166625977
31,"replace_cvc("" "", contains_cvc("""", "",""), replace_cvc("","", """", "" ""))",0.0,10000,0.08238792419433594
32,"replace_cvc(substr_cvc("" "", 0, 1), concat_cvc(_arg_1, """"), "" "")",0.0,10000,0.0917048454284668
33,"replace_cvc(replace_cvc("""", "" "", _arg_1), concat_cvc("""", """"), "" "")",0.0,10000,0.08047008514404297
34,"replace_cvc(replace_cvc("","", "","", "",""), concat_cvc("" "", """"), "" "")",0.0,10000,0.06931900978088379
35,"replace_cvc(prefixof_cvc("" "", "" ""), if false
        "",""
    else
        """"
    end, "" "")",0.0,10000,0.09105420112609863
36,"replace_cvc(concat_cvc("","", """"), substr_cvc("","", 1, -1), "" "")",0.0,10000,0.0829629898071289
37,"replace_cvc("","", at_cvc("" "", 0), replace_cvc("""", """", "" ""))",0.0,10000,0.07498598098754883
38,"replace_cvc(if false
        "" ""
    else
        _arg_1
    end, "","", concat_cvc("""", "" ""))",0.0,10000,0.09160995483398438
39,"replace_cvc(replace_cvc("""", "","", "",""), "","", prefixof_cvc("""", "" ""))",0.0,10000,0.0817270278930664
40,"replace_cvc(substr_cvc(_arg_1, -1, 1), "","", suffixof_cvc("""", "" ""))",0.0,10000,0.0838460922241211
41,"replace_cvc(int_to_str_cvc(1), suffixof_cvc("""", "",""), contains_cvc("""", "" ""))",0.0,10000,0.10094285011291504
