attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,1.4351277351379395,No updates
2,"replace_cvc(""."", prefixof_cvc(""."", "" ""), suffixof_cvc(""."", "" ""))",0.0,0.1741504669189453,No updates
3,"replace_cvc(concat_cvc("" "", _arg_1), concat_cvc(_arg_1, "".""), ""."")",0.0,0.09789609909057617,No updates
4,"replace_cvc(_arg_1, substr_cvc(""."", 0, 1), suffixof_cvc(_arg_1, _arg_1))",0.0,0.14856338500976562,No updates
5,"replace_cvc(substr_cvc("" "", 1, 0), _arg_1, at_cvc(_arg_1, 1))",0.0,0.07804560661315918,No updates
6,"substr_cvc(concat_cvc(_arg_1, "" ""), 1, indexof_cvc("" "", _arg_1, 2))",0.0,0.08103513717651367,No updates
7,"replace_cvc(at_cvc(""."", 1), ""."", substr_cvc(""."", 1, 0))",0.0,0.09725308418273926,No updates
8,"replace_cvc(prefixof_cvc("" "", "".""), substr_cvc("" "", 0, 1), "" "")",0.0,0.13292288780212402,No updates
9,"replace_cvc(at_cvc(_arg_1, 1), concat_cvc(""."", "".""), prefixof_cvc("" "", "".""))",0.0,0.09867429733276367,No updates
10,"replace_cvc(concat_cvc(""."", _arg_1), concat_cvc(_arg_1, _arg_1), suffixof_cvc(""."", _arg_1))",0.0,0.11179065704345703,No updates
11,"replace_cvc(suffixof_cvc(_arg_1, "" ""), suffixof_cvc(_arg_1, "".""), concat_cvc(""."", "" ""))",0.0,0.11133265495300293,No updates
12,"replace_cvc(concat_cvc(_arg_1, "" ""), at_cvc("" "", 0), prefixof_cvc(""."", "".""))",0.0,0.0929555892944336,No updates
13,"substr_cvc(substr_cvc(""."", 0, 1), 2, indexof_cvc(_arg_1, _arg_1, 0))",0.0,0.08619165420532227,No updates
14,"substr_cvc(at_cvc(_arg_1, 2), 0 + 0, 0 - 1)",0.0,0.10180330276489258,No updates
15,"substr_cvc(suffixof_cvc("" "", "".""), 2 - 1, 0 + 2)",0.0,0.07887482643127441,No updates
16,"replace_cvc(substr_cvc(""."", 1, 0), replace_cvc(_arg_1, _arg_1, "" ""), _arg_1)",0.0,0.08480620384216309,No updates
17,"replace_cvc("" "", replace_cvc(_arg_1, _arg_1, "" ""), replace_cvc("" "", "" "", "" ""))",0.0,0.07030916213989258,No updates
18,"replace_cvc(replace_cvc(""."", ""."", _arg_1), replace_cvc(""."", ""."", "" ""), ""."")",0.0,0.08505964279174805,No updates
19,"replace_cvc(replace_cvc(_arg_1, "" "", "" ""), prefixof_cvc("" "", _arg_1), at_cvc(""."", 0))",0.0,0.10073471069335938,No updates
20,"replace_cvc(substr_cvc(""."", 0, 0), prefixof_cvc(""."", "" ""), at_cvc(""."", 1))",0.0,0.09352493286132812,No updates
21,"replace_cvc(at_cvc(_arg_1, 1), substr_cvc(""."", 2, 0), suffixof_cvc(""."", "".""))",0.0,0.12356901168823242,No updates
22,"replace_cvc(concat_cvc(""."", _arg_1), replace_cvc("" "", ""."", "".""), prefixof_cvc(_arg_1, _arg_1))",0.0,0.10712480545043945,No updates
23,"replace_cvc(suffixof_cvc(_arg_1, "".""), replace_cvc("" "", _arg_1, _arg_1), suffixof_cvc(_arg_1, "" ""))",0.0,0.10868072509765625,No updates
24,"replace_cvc(replace_cvc("" "", _arg_1, _arg_1), at_cvc(""."", 0), at_cvc(_arg_1, 2))",0.0,0.09821176528930664,No updates
25,"replace_cvc(at_cvc("" "", 2), replace_cvc(""."", "" "", _arg_1), prefixof_cvc("" "", _arg_1))",0.0,0.08876228332519531,No updates
26,"replace_cvc(concat_cvc(""."", "" ""), prefixof_cvc("" "", "" ""), replace_cvc(""."", "" "", "" ""))",0.0,0.1177220344543457,No updates
27,"replace_cvc(suffixof_cvc("" "", _arg_1), concat_cvc(""."", _arg_1), replace_cvc(_arg_1, "" "", "".""))",0.0,0.0869908332824707,No updates
28,"substr_cvc(replace_cvc("" "", ""."", "".""), 2 - 0, 2 - 0)",0.0,0.09243011474609375,No updates
29,"replace_cvc(substr_cvc(_arg_1, 1, 2), at_cvc(""."", 2), at_cvc(""."", 1))",0.0,0.08835029602050781,No updates
30,"substr_cvc(concat_cvc("" "", _arg_1), 0 - 1, indexof_cvc(_arg_1, ""."", 2))",0.0,0.10340309143066406,No updates
31,"substr_cvc(suffixof_cvc(""."", _arg_1), 0 + 2, indexof_cvc(""."", _arg_1, 0))",0.0,0.09379887580871582,No updates
32,"replace_cvc(suffixof_cvc(""."", "".""), at_cvc("" "", 1), replace_cvc(_arg_1, _arg_1, "" ""))",0.0,0.10145115852355957,No updates
33,"replace_cvc(concat_cvc("" "", "" ""), prefixof_cvc("" "", "".""), substr_cvc("" "", 0, 2))",0.0,0.10102343559265137,No updates
34,"replace_cvc(suffixof_cvc(_arg_1, _arg_1), concat_cvc(""."", _arg_1), substr_cvc(""."", 1, 0))",0.0,0.10791754722595215,No updates
35,"replace_cvc(substr_cvc(_arg_1, 0, 1), suffixof_cvc(""."", "".""), concat_cvc("" "", "" ""))",0.0,0.10294628143310547,No updates
36,"replace_cvc(substr_cvc("" "", 2, 0), suffixof_cvc(_arg_1, _arg_1), prefixof_cvc("" "", "".""))",0.0,0.10718846321105957,No updates
37,"replace_cvc(concat_cvc(_arg_1, "".""), substr_cvc("" "", 0, 1), suffixof_cvc(""."", _arg_1))",0.0,0.10708379745483398,No updates
