attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.5985922813415527,No updates
2,"substr_cvc(_arg_1, 5, 2 + 5)",0.48,0.47191286087036133,"New Rule: substr_cvc(_arg_1, 4, 1 + 5)"
3,_arg_1,0.0,0.41704416275024414,No updates
4,"replace_cvc(at_cvc("" "", 3), ""+"", ""."")",0.0,0.387589693069458,No updates
5,"replace_cvc(""."", "" "", prefixof_cvc("" "", ""+""))",0.0,0.3798027038574219,No updates
6,"substr_cvc(_arg_1, 5, 2 + 5)",0.48,0.43097805976867676,No updates
7,"replace_cvc(substr_cvc(_arg_1, 3, 2), ""."", ""."")",0.0,0.7079727649688721,No updates
8,"replace_cvc(replace_cvc(""+"", "" "", "".""), ""-"", ""+"")",0.0,0.61435866355896,No updates
9,"replace_cvc(int_to_str_cvc(4), prefixof_cvc(_arg_1, ""+""), _arg_1)",0.0,0.5921821594238281,No updates
10,"replace_cvc("" "", substr_cvc(""-"", 2, 0), ""."")",0.0,0.6998758316040039,No updates
11,"replace_cvc(""-"", "" "", substr_cvc(""-"", 5, 2))",0.0,0.826587438583374,No updates
12,"replace_cvc(""."", replace_cvc(substr_cvc(_arg_1, 4, 1 + 5), substr_cvc(_arg_1, 4, 1 + 5), "".""), _arg_1)",0.0,0.38723039627075195,No updates
13,"replace_cvc(""."", int_to_str_cvc(0), prefixof_cvc(""+"", "".""))",0.0,0.41753268241882324,No updates
14,"substr_cvc(substr_cvc(""."", 2, 3), 1, 2)",0.0,0.5467796325683594,No updates
15,"substr_cvc(_arg_1, indexof_cvc(_arg_1, substr_cvc(_arg_1, 4, 1 + 5), 0), 0)",0.0,0.3483312129974365,No updates
16,"substr_cvc(int_to_str_cvc(5), 0 - 4, 4)",0.0,0.8363809585571289,No updates
17,"substr_cvc(int_to_str_cvc(4), 4, 3 + 2)",0.0,0.6052601337432861,No updates
18,"substr_cvc(""+"", 1, indexof_cvc(""."", ""+"", 0))",0.0,0.49932265281677246,No updates
19,"replace_cvc(_arg_1, at_cvc(_arg_1, 0), int_to_str_cvc(4))",0.0,0.33353304862976074,No updates
20,"at_cvc(contains_cvc(""+"", _arg_1), 5 - 2)",0.0,0.7331483364105225,No updates
21,"replace_cvc(""-"", substr_cvc(""+"", 3, 4), int_to_str_cvc(0))",0.0,0.4615366458892822,No updates
22,"replace_cvc(at_cvc("" "", 1), suffixof_cvc(substr_cvc(_arg_1, 4, 1 + 5), ""+""), ""."")",0.0,0.1974635124206543,No updates
23,"replace_cvc(at_cvc(""-"", 1), prefixof_cvc("" "", "" ""), ""+"")",0.0,0.1799635887145996,No updates
24,"replace_cvc(at_cvc(substr_cvc(_arg_1, 4, 1 + 5), 0), contains_cvc(""-"", _arg_1), _arg_1)",0.0,0.3203299045562744,No updates
25,"replace_cvc(concat_cvc("" "", _arg_1), prefixof_cvc(""."", "".""), ""."")",0.0,0.35338258743286133,No updates
26,"replace_cvc(concat_cvc(""-"", _arg_1), concat_cvc(_arg_1, ""-""), ""+"")",0.0,0.364424467086792,No updates
27,"replace_cvc(concat_cvc(""."", substr_cvc(_arg_1, 4, 1 + 5)), suffixof_cvc(""+"", ""+""), _arg_1)",0.0,0.1683824062347412,No updates
28,"replace_cvc(prefixof_cvc(_arg_1, substr_cvc(_arg_1, 4, 1 + 5)), concat_cvc(""."", _arg_1), ""."")",0.0,0.17986154556274414,No updates
29,"replace_cvc(prefixof_cvc(""+"", "".""), suffixof_cvc(substr_cvc(_arg_1, 4, 1 + 5), substr_cvc(_arg_1, 4, 1 + 5)), ""+"")",0.0,0.17042231559753418,No updates
30,"replace_cvc(prefixof_cvc(""."", "".""), prefixof_cvc("" "", "".""), _arg_1)",0.0,0.1671924591064453,No updates
31,"replace_cvc(suffixof_cvc(_arg_1, ""-""), contains_cvc(""-"", ""+""), ""."")",0.0,0.17981433868408203,No updates
32,"replace_cvc(suffixof_cvc(""+"", ""-""), prefixof_cvc(substr_cvc(_arg_1, 4, 1 + 5), "" ""), ""+"")",0.0,0.1702592372894287,No updates
33,"replace_cvc(suffixof_cvc(""."", ""-""), concat_cvc("" "", _arg_1), _arg_1)",0.0,0.1679377555847168,No updates
34,"replace_cvc(contains_cvc(_arg_1, ""+""), suffixof_cvc(""+"", "".""), ""."")",0.0,0.20426297187805176,No updates
