attempt,best_program,program_score,time,new_updated_rules
1,_arg_2,0.45,0.09083104133605957,"New Rule: replace_cvc(_arg_2, ""CA"", _arg_1)New Rule: replace_cvc(_arg_2, ""New York"", _arg_1)New Rule: replace_cvc(_arg_2, ""PA"", _arg_1)New Rule: replace_cvc(_arg_2, ""New York"", ""NY"")New Rule: replace_cvc(_arg_2, ""CT"", _arg_1)New Rule: _arg_2"
2,_arg_2,0.45,0.10349440574645996,No updates
3,"replace_cvc(_arg_2, int_to_str_cvc(0), _arg_1)",0.45,0.07869148254394531,No updates
4,"if true
    prefixof_cvc(""PA"", "" "")
else
    ""CT""
end",0.0,0.0781717300415039,No updates
5,"if false
    concat_cvc(_arg_1, _arg_1)
else
    _arg_2
end",0.45,0.06142854690551758,No updates
6,"if false
    suffixof_cvc(""New York"", ""USA"")
else
    _arg_2
end",0.45,0.09536242485046387,No updates
7,"if true
    _arg_2
else
    prefixof_cvc(""USA"", ""CT"")
end",0.45,0.04483962059020996,No updates
8,"if true
    replace_cvc(_arg_2, ""CA"", _arg_1)
else
    concat_cvc(""PA"", ""CT"")
end",0.0,0.08362770080566406,No updates
9,"if false
    ""New York""
else
    contains_cvc(""CT"", ""CT"")
end",0.0,0.07860779762268066,No updates
10,"if false
    replace_cvc(_arg_2, ""New York"", ""NY"")
else
    suffixof_cvc(""CA"", ""CT"")
end",0.0,0.08957242965698242,No updates
11,"at_cvc(replace_cvc(""NY"", ""MD"", replace_cvc(_arg_2, ""New York"", _arg_1)), 1)",0.0,0.10006546974182129,No updates
12,"at_cvc(""USA"", indexof_cvc(""NY"", _arg_2, 2))",0.0,0.10217785835266113,No updates
13,"replace_cvc(concat_cvc(_arg_1, ""CT""), replace_cvc(_arg_2, ""CA"", _arg_1), replace_cvc(_arg_2, ""CT"", _arg_1))",0.0,0.13623547554016113,No updates
14,"replace_cvc(concat_cvc("" "", replace_cvc(_arg_2, ""New York"", ""NY"")), replace_cvc(_arg_2, ""New York"", _arg_1), replace_cvc(_arg_2, ""CT"", _arg_1))",0.0,0.0903310775756836,No updates
15,"replace_cvc(concat_cvc(""USA"", ""USA""), replace_cvc(_arg_2, ""PA"", _arg_1), replace_cvc(_arg_2, ""CT"", _arg_1))",0.0,0.08968162536621094,No updates
16,"replace_cvc(concat_cvc(""CT"", replace_cvc(_arg_2, ""New York"", _arg_1)), replace_cvc(_arg_2, ""New York"", ""NY""), replace_cvc(_arg_2, ""CT"", _arg_1))",0.0,0.09041094779968262,No updates
17,"replace_cvc(concat_cvc(""NY"", "",""), replace_cvc(_arg_2, ""CT"", _arg_1), replace_cvc(_arg_2, ""CT"", _arg_1))",0.0,0.0979146957397461,No updates
18,"replace_cvc(concat_cvc(replace_cvc(_arg_2, ""New York"", _arg_1), replace_cvc(_arg_2, ""CA"", _arg_1)), _arg_1, replace_cvc(_arg_2, ""CT"", _arg_1))",0.0,0.1115729808807373,No updates
19,"replace_cvc(concat_cvc(replace_cvc(_arg_2, ""CT"", _arg_1), "" ""), _arg_2, replace_cvc(_arg_2, ""CT"", _arg_1))",0.0,0.09400677680969238,No updates
20,"replace_cvc(prefixof_cvc(_arg_2, ""MD""), "" "", replace_cvc(_arg_2, ""CT"", _arg_1))",0.0,0.09357237815856934,No updates
21,"replace_cvc(prefixof_cvc(""New York"", _arg_1), "","", replace_cvc(_arg_2, ""CT"", _arg_1))",0.0,0.09433650970458984,No updates
22,"replace_cvc(prefixof_cvc(""PA"", ""CT""), ""New York"", replace_cvc(_arg_2, ""CT"", _arg_1))",0.0,0.09391617774963379,No updates
23,"replace_cvc(prefixof_cvc(""CA"", replace_cvc(_arg_2, ""New York"", ""NY"")), ""USA"", replace_cvc(_arg_2, ""CT"", _arg_1))",0.0,0.09602499008178711,No updates
24,"replace_cvc(prefixof_cvc(replace_cvc(_arg_2, ""CA"", _arg_1), ""USA""), ""PA"", replace_cvc(_arg_2, ""CT"", _arg_1))",0.0,0.10384583473205566,No updates
25,"replace_cvc(prefixof_cvc(replace_cvc(_arg_2, ""PA"", _arg_1), replace_cvc(_arg_2, ""New York"", _arg_1)), ""CT"", replace_cvc(_arg_2, ""CT"", _arg_1))",0.0,0.09385395050048828,No updates
26,"replace_cvc(suffixof_cvc(_arg_1, "",""), ""CA"", replace_cvc(_arg_2, ""CT"", _arg_1))",0.0,0.09311151504516602,No updates
27,"replace_cvc(suffixof_cvc("" "", ""NY""), ""MD"", replace_cvc(_arg_2, ""CT"", _arg_1))",0.0,0.09389090538024902,No updates
28,"replace_cvc(suffixof_cvc(""USA"", _arg_2), ""NY"", replace_cvc(_arg_2, ""CT"", _arg_1))",0.0,0.09233570098876953,No updates
29,"replace_cvc(suffixof_cvc(""CT"", ""CA""), replace_cvc(_arg_2, ""CA"", _arg_1), replace_cvc(_arg_2, ""CT"", _arg_1))",0.0,0.10068249702453613,No updates
30,"replace_cvc(suffixof_cvc(""MD"", replace_cvc(_arg_2, ""CT"", _arg_1)), replace_cvc(_arg_2, ""New York"", _arg_1), replace_cvc(_arg_2, ""CT"", _arg_1))",0.0,0.09339690208435059,No updates
