attempt,best_program,program_score,iterations,time_seconds
1,_arg_1,0.0,10000,0.12269806861877441
2,"substr_cvc(concat_cvc("" "", ""_""), _arg_2, 2)",0.0,10000,0.06860113143920898
3,"if false
    substr_cvc("" "", -1, 2)
else
    ""_""
end",0.0,10000,0.06408405303955078
4,"at_cvc(contains_cvc(""_"", ""_""), _arg_2 == -1)",0.0,10000,0.06371212005615234
5,"replace_cvc(""_"", replace_cvc("""", ""_"", """"), _arg_1)",0.0,10000,0.11849713325500488
6,"substr_cvc(if true
        "" ""
    else
        """"
    end, _arg_2, _arg_2)",0.0,10000,0.06717300415039062
7,"substr_cvc(int_to_str_cvc(1), 2, if true
        _arg_2
    else
        _arg_2
    end)",0.0,10000,0.06950712203979492
8,"replace_cvc(int_to_str_cvc(2), at_cvc(""_"", 1), int_to_str_cvc(_arg_2))",0.0,10000,0.03595089912414551
9,"if false
    contains_cvc(_arg_1, ""_"")
else
    contains_cvc(""_"", _arg_1)
end",0.0,10000,0.0559389591217041
10,"if false
    int_to_str_cvc(-1)
else
    substr_cvc("""", 2, -1)
end",0.0,10000,0.08927798271179199
11,"at_cvc(substr_cvc(""_"", _arg_2, 2), _arg_2 + -1)",0.0,10000,0.07831597328186035
12,"at_cvc(replace_cvc(""_"", "" "", ""_""), _arg_2 + -1)",0.0,10000,0.07990097999572754
13,"replace_cvc(concat_cvc("" "", ""_""), concat_cvc(""_"", """"), _arg_1)",0.0,10000,0.09134197235107422
14,"replace_cvc(contains_cvc(_arg_1, "" ""), prefixof_cvc(_arg_1, """"), _arg_1)",0.0,10000,0.12299394607543945
15,"replace_cvc(at_cvc(""_"", 0), at_cvc(_arg_1, 1), _arg_1)",0.0,10000,0.058094024658203125
16,"replace_cvc(at_cvc("""", _arg_2), _arg_1, concat_cvc("""", _arg_1))",0.0,10000,0.08346199989318848
17,"replace_cvc(prefixof_cvc("" "", _arg_1), _arg_1, prefixof_cvc("""", _arg_1))",0.0,10000,0.09437799453735352
18,"replace_cvc(contains_cvc(""_"", ""_""), _arg_1, suffixof_cvc("""", _arg_1))",0.0,10000,0.1106569766998291
19,"replace_cvc("" "", prefixof_cvc("" "", _arg_1), contains_cvc("""", _arg_1))",0.0,10000,0.0872490406036377
20,"replace_cvc("" "", at_cvc("" "", -1), concat_cvc("""", _arg_1))",0.0,10000,0.07517695426940918
21,"replace_cvc(int_to_str_cvc(1), _arg_1, replace_cvc("""", """", _arg_1))",0.0,10000,0.07385706901550293
22,"replace_cvc(_arg_1, concat_cvc(""_"", """"), at_cvc(""_"", 1))",0.0,10000,0.0909428596496582
