attempt,best_program,program_score,iterations,time_seconds
1,,0.25,10000,0.10036802291870117
2,"replace_cvc("""", int_to_str_cvc(1), concat_cvc(_arg_1, _arg_1))",0.25,10000,0.05860590934753418
3,"replace_cvc("""", substr_cvc(_arg_1, 1, 1), int_to_str_cvc(1))",0.25,10000,0.08229398727416992
4,"replace_cvc("""", int_to_str_cvc(1), if true
        _arg_1
    else
        _arg_1
    end)",0.25,10000,0.08831095695495605
5,"replace_cvc("" "", at_cvc("" "", 1), concat_cvc("""", """"))",0.25,10000,0.09202790260314941
6,"substr_cvc(concat_cvc("""", """"), -1, -1 + -1)",0.25,10000,0.08381915092468262
7,"replace_cvc(concat_cvc("""", """"), at_cvc(_arg_1, 1), int_to_str_cvc(1))",0.25,10000,0.07558107376098633
8,"if false
    replace_cvc(_arg_1, "" "", "" "")
else
    concat_cvc("""", """")
end",0.25,10000,0.06182503700256348
9,"if false
    concat_cvc(_arg_1, _arg_1)
else
    replace_cvc(_arg_1, _arg_1, """")
end",0.25,10000,0.07575583457946777
10,"replace_cvc(concat_cvc("" "", """"), replace_cvc(_arg_1, _arg_1, "" ""), """")",0.25,10000,0.08493709564208984
11,"replace_cvc("" "", concat_cvc("""", "" ""), replace_cvc(_arg_1, _arg_1, """"))",0.25,10000,0.09513688087463379
12,"replace_cvc(at_cvc("" "", 1), if true
        "" ""
    else
        _arg_1
    end, """")",0.25,10000,0.08552908897399902
13,"replace_cvc(replace_cvc("""", """", """"), _arg_1, concat_cvc(_arg_1, _arg_1))",0.25,10000,0.08898711204528809
14,"replace_cvc(_arg_1, if true
        _arg_1
    else
        _arg_1
    end, concat_cvc("""", """"))",0.25,10000,0.0989530086517334
15,"replace_cvc(_arg_1, replace_cvc("" "", "" "", _arg_1), concat_cvc("""", """"))",0.25,10000,0.08473896980285645
16,"substr_cvc(substr_cvc(_arg_1, 1, 1), 1 + 1, 1)",0.25,10000,0.08183598518371582
17,"substr_cvc(concat_cvc(_arg_1, _arg_1), if true
        1
    else
        1
    end, 0)",0.25,10000,0.09261608123779297
18,"substr_cvc(int_to_str_cvc(0), 1 + 1, 1 + 0)",0.25,10000,0.08172011375427246
19,"substr_cvc(_arg_1, 1 + 1, indexof_cvc(_arg_1, _arg_1, 1))",0.25,10000,0.07694387435913086
20,"replace_cvc("""", if false
        """"
    else
        "" ""
    end, substr_cvc("" "", 0, -1))",0.25,10000,0.08328509330749512
21,"substr_cvc("""", if false
        1
    else
        1
    end, if true
        0
    else
        1
    end)",0.25,10000,0.08322882652282715
22,"replace_cvc(if false
        _arg_1
    else
        """"
    end, at_cvc(_arg_1, 1), int_to_str_cvc(1))",0.25,10000,0.08117508888244629
23,"substr_cvc(concat_cvc(_arg_1, "" ""), 1 - 0, 1 + -1)",0.25,10000,0.10105013847351074
24,"substr_cvc(prefixof_cvc("" "", """"), 1 + -1, -1 + -1)",0.0,10000,0.0969090461730957
25,"replace_cvc(if true
        """"
    else
        _arg_1
    end, int_to_str_cvc(1), at_cvc(_arg_1, 1))",0.25,10000,0.08832001686096191
26,"replace_cvc(concat_cvc("""", """"), int_to_str_cvc(1), replace_cvc(_arg_1, _arg_1, _arg_1))",0.25,10000,0.09469103813171387
27,"if true
    if true
        """"
    else
        _arg_1
    end
else
    if true
        _arg_1
    else
        _arg_1
    end
end",0.25,10000,0.07020807266235352
28,"if true
    substr_cvc(_arg_1, 1, 0)
else
    replace_cvc(_arg_1, _arg_1, _arg_1)
end",0.25,10000,0.07151317596435547
29,"substr_cvc(substr_cvc("" "", 1, 1), 1, indexof_cvc("""", _arg_1, 1))",0.25,10000,0.08949017524719238
30,"substr_cvc(substr_cvc("" "", 1, 1), 1, if true
        0
    else
        1
    end)",0.25,10000,0.07571101188659668
31,"replace_cvc(substr_cvc("""", 0, -1), replace_cvc(_arg_1, _arg_1, _arg_1), _arg_1)",0.25,10000,0.0874929428100586
32,"replace_cvc(concat_cvc(_arg_1, """"), concat_cvc(_arg_1, """"), concat_cvc("""", """"))",0.25,10000,0.09690403938293457
33,"replace_cvc(concat_cvc("" "", "" ""), concat_cvc("" "", "" ""), suffixof_cvc("" "", "" ""))",0.0,10000,0.10203409194946289
34,"replace_cvc(prefixof_cvc("" "", _arg_1), contains_cvc("" "", """"), suffixof_cvc(_arg_1, _arg_1))",0.0,10000,0.1119849681854248
35,"replace_cvc(suffixof_cvc("""", "" ""), suffixof_cvc("" "", _arg_1), prefixof_cvc(_arg_1, """"))",0.0,10000,0.09781384468078613
36,"replace_cvc(contains_cvc("""", """"), prefixof_cvc("""", "" ""), concat_cvc(_arg_1, "" ""))",0.0,10000,0.09276103973388672
37,"replace_cvc(at_cvc("" "", 1), concat_cvc("""", "" ""), concat_cvc("""", """"))",0.25,10000,0.0923008918762207
38,"replace_cvc(concat_cvc("""", """"), at_cvc(_arg_1, 1), concat_cvc(_arg_1, _arg_1))",0.25,10000,0.08564400672912598
39,"replace_cvc(substr_cvc(_arg_1, 1, 0), int_to_str_cvc(1), concat_cvc(_arg_1, _arg_1))",0.25,10000,0.08111882209777832
40,"replace_cvc(substr_cvc(_arg_1, 1, 0), _arg_1, substr_cvc(_arg_1, 1, 1))",0.25,10000,0.09235811233520508
41,"replace_cvc(substr_cvc("""", 1, 0), _arg_1, replace_cvc(_arg_1, _arg_1, _arg_1))",0.25,10000,0.08136200904846191
42,"substr_cvc(if true
        _arg_1
    else
        _arg_1
    end, indexof_cvc(_arg_1, _arg_1, 1), 0)",0.25,10000,0.0957028865814209
43,"substr_cvc(if true
        """"
    else
        """"
    end, indexof_cvc("" "", "" "", 1), 0)",0.25,10000,0.08016705513000488
44,"substr_cvc(if false
        "" ""
    else
        """"
    end, if false
        1
    else
        1
    end, 0)",0.25,10000,0.07334399223327637
45,"substr_cvc(int_to_str_cvc(0), indexof_cvc("""", "" "", 0), -1 + -1)",0.25,10000,0.09059810638427734
46,"substr_cvc(int_to_str_cvc(1), 1 + 1, indexof_cvc(_arg_1, _arg_1, 1))",0.25,10000,0.07804203033447266
47,"replace_cvc(substr_cvc("""", 0, -1), int_to_str_cvc(1), substr_cvc(_arg_1, 1, 1))",0.25,10000,0.08522200584411621
48,"substr_cvc(replace_cvc(_arg_1, "" "", "" ""), 1 + -1, 0 + -1)",0.25,10000,0.09591007232666016
49,"substr_cvc(replace_cvc("" "", """", """"), 1 + 1, 1 + 0)",0.25,10000,0.08622503280639648
50,"replace_cvc(substr_cvc("" "", 1, 0), at_cvc("" "", 1), concat_cvc(_arg_1, _arg_1))",0.25,10000,0.08331108093261719
