attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.0832376480102539,No updates
2,"replace_cvc(_arg_1, "" "", replace_cvc("" "", "" "", _arg_1))",0.0,0.10293841361999512,No updates
3,"replace_cvc(substr_cvc("" "", 1, 2), "" "", _arg_1)",0.0,0.05670309066772461,No updates
4,"replace_cvc(at_cvc("","", 0), _arg_1, suffixof_cvc("" "", _arg_1))",0.0,0.08710193634033203,No updates
5,"replace_cvc(concat_cvc("" "", "",""), ""."", concat_cvc("" "", _arg_1))",0.0,0.09798789024353027,No updates
6,"replace_cvc(prefixof_cvc("" "", "".""), "","", prefixof_cvc("" "", _arg_1))",0.0,0.10264348983764648,No updates
7,"replace_cvc(suffixof_cvc(""."", _arg_2), _arg_1, suffixof_cvc("" "", _arg_1))",0.0,0.09671211242675781,No updates
8,"replace_cvc(_arg_2, prefixof_cvc("","", "".""), concat_cvc("" "", _arg_1))",0.0,0.09711933135986328,No updates
9,"replace_cvc("" "", concat_cvc(""."", "",""), prefixof_cvc("" "", _arg_1))",0.0,0.09824252128601074,No updates
10,"replace_cvc(_arg_1, at_cvc(_arg_2, 2), suffixof_cvc("" "", _arg_1))",0.0,0.14913606643676758,No updates
11,"replace_cvc(suffixof_cvc("","", "".""), _arg_2, at_cvc(_arg_1, 0))",0.0,0.08858966827392578,No updates
12,"replace_cvc("","", suffixof_cvc("","", "" ""), at_cvc("" "", 1))",0.0,0.08654928207397461,No updates
13,"replace_cvc(""."", at_cvc(""."", 1), at_cvc(_arg_2, 2))",0.0,0.08896565437316895,No updates
14,"replace_cvc(concat_cvc(_arg_1, _arg_1), prefixof_cvc(_arg_2, "" ""), _arg_1)",0.0,0.08572816848754883,No updates
15,"replace_cvc(prefixof_cvc(_arg_1, "",""), concat_cvc(_arg_2, "" ""), _arg_1)",0.0,0.10380434989929199,No updates
16,"replace_cvc(suffixof_cvc(_arg_1, "" ""), suffixof_cvc(_arg_2, "" ""), _arg_1)",0.0,0.09941482543945312,No updates
17,"replace_cvc(at_cvc(_arg_2, 2), prefixof_cvc(_arg_2, "" ""), _arg_1)",0.0,0.08550596237182617,No updates
18,"replace_cvc(suffixof_cvc(""."", _arg_1), at_cvc("","", 2), _arg_1)",0.0,0.09349656105041504,No updates
19,"replace_cvc(replace_cvc(_arg_2, _arg_1, _arg_1), "" "", suffixof_cvc("" "", _arg_1))",0.0,0.09784150123596191,No updates
20,"replace_cvc(replace_cvc("","", _arg_1, "",""), "","", concat_cvc("" "", _arg_1))",0.0,0.09678411483764648,No updates
21,"replace_cvc(replace_cvc("" "", _arg_1, "".""), _arg_1, prefixof_cvc("" "", _arg_1))",0.0,0.13682126998901367,No updates
22,"replace_cvc(replace_cvc(""."", _arg_2, _arg_1), "" "", suffixof_cvc("" "", _arg_1))",0.0,0.0881662368774414,No updates
23,"replace_cvc(substr_cvc(_arg_1, 0, 0), ""."", suffixof_cvc("","", _arg_1))",0.0,0.08768248558044434,No updates
24,"replace_cvc(substr_cvc("" "", 0, 0), "" "", concat_cvc("","", _arg_1))",0.0,0.08968448638916016,No updates
25,"replace_cvc(_arg_2, substr_cvc(_arg_1, 0, 1), prefixof_cvc("","", _arg_1))",0.0,0.09215736389160156,No updates
26,"replace_cvc("" "", substr_cvc(""."", 2, 2), suffixof_cvc("","", _arg_1))",0.0,0.08786654472351074,No updates
27,"replace_cvc(substr_cvc(_arg_2, 2, 2), prefixof_cvc(""."", "",""), _arg_1)",0.0,0.0886075496673584,No updates
28,"replace_cvc(substr_cvc(""."", 2, 2), concat_cvc(""."", "",""), _arg_1)",0.0,0.09413003921508789,No updates
29,"replace_cvc(replace_cvc(_arg_2, _arg_1, _arg_1), suffixof_cvc(""."", "",""), _arg_1)",0.0,0.12808775901794434,No updates
30,"replace_cvc(replace_cvc("","", _arg_1, "",""), prefixof_cvc(""."", "",""), _arg_1)",0.0,0.08738422393798828,No updates
31,"replace_cvc(replace_cvc("" "", _arg_1, "".""), concat_cvc(""."", "",""), _arg_1)",0.0,0.08559060096740723,No updates
32,"replace_cvc(replace_cvc(""."", _arg_2, _arg_1), suffixof_cvc(""."", "",""), _arg_1)",0.0,0.08648395538330078,No updates
33,"replace_cvc(_arg_1, replace_cvc(_arg_2, "","", "" ""), concat_cvc("","", _arg_1))",0.0,0.08870458602905273,No updates
34,"replace_cvc(_arg_2, replace_cvc(_arg_2, ""."", _arg_2), prefixof_cvc("","", _arg_1))",0.0,0.08708691596984863,No updates
35,"replace_cvc("","", replace_cvc("","", _arg_1, "".""), suffixof_cvc("","", _arg_1))",0.0,0.08608603477478027,No updates
36,"replace_cvc("" "", replace_cvc("","", "","", "" ""), concat_cvc("","", _arg_1))",0.0,0.12700724601745605,No updates
37,"replace_cvc(""."", replace_cvc("","", ""."", _arg_2), prefixof_cvc("","", _arg_1))",0.0,0.08024239540100098,No updates
38,"replace_cvc(replace_cvc("" "", _arg_1, "".""), at_cvc(""."", 0), _arg_1)",0.0,0.06837582588195801,No updates
39,"replace_cvc(at_cvc("" "", 1), "","", replace_cvc(""."", "","", _arg_1))",0.0,0.0780024528503418,No updates
