attempt,best_program,program_score,time,new_updated_rules
1,_arg_2,0.5,0.04571890830993652,"New Rule: replace_cvc(_arg_2, ""P"", _arg_1)New Rule: replace_cvc(_arg_2, ""New York"", _arg_1)New Rule: replace_cvc(_arg_2, ""I"", _arg_1)New Rule: _arg_2"
2,_arg_2,0.5,0.042134761810302734,No updates
3,"replace_cvc(""C"", ""C"", _arg_2)",0.5,0.040283203125,No updates
4,"replace_cvc(""K"", ""K"", _arg_2)",0.5,0.04078793525695801,No updates
5,"replace_cvc(""S"", ""S"", _arg_2)",0.5,0.047243595123291016,No updates
6,"replace_cvc(replace_cvc(_arg_2, ""New York"", _arg_1), ""C"", ""L"")",0.0,0.12628436088562012,No updates
7,"replace_cvc(_arg_2, at_cvc(""New York"", 1), ""N"")",0.5,0.08010101318359375,"New Rule: replace_cvc(_arg_2, at_cvc(_arg_1, 1), _arg_1)New Rule: replace_cvc(_arg_2, at_cvc(_arg_2, 1), ""A"")New Rule: replace_cvc(_arg_2, at_cvc(_arg_1, 2), _arg_1)New Rule: replace_cvc(_arg_2, at_cvc(_arg_2, 1), ""P"")New Rule: replace_cvc(_arg_2, at_cvc(_arg_1, 1), ""U"")New Rule: replace_cvc(_arg_2, at_cvc(_arg_1, 1), ""P"")"
8,_arg_2,0.5,0.05178666114807129,No updates
9,"replace_cvc("","", "","", _arg_2)",0.5,0.053090572357177734,No updates
10,"replace_cvc(""F"", ""F"", _arg_2)",0.5,0.052430152893066406,No updates
11,"replace_cvc(""M"", ""M"", _arg_2)",0.5,0.05242347717285156,No updates
12,"replace_cvc(""S"", ""S"", _arg_2)",0.5,0.05599093437194824,No updates
13,"replace_cvc(""Y"", ""Y"", _arg_2)",0.5,0.08067011833190918,No updates
14,"replace_cvc(replace_cvc(_arg_2, at_cvc(_arg_2, 1), ""A""), ""C"", _arg_1)",0.0,0.11433982849121094,No updates
15,"at_cvc(concat_cvc(""O"", _arg_1), 0)",0.0,0.0920252799987793,No updates
16,"replace_cvc(_arg_2, at_cvc(""New York"", 1), ""N"")",0.5,0.08159327507019043,No updates
17,"replace_cvc(_arg_2, at_cvc(""M"", 1), ""M"")",0.5,0.07600808143615723,No updates
18,"replace_cvc("","", at_cvc("","", 1), _arg_2)",0.5,0.07545900344848633,No updates
19,"replace_cvc(""B"", at_cvc(""B"", 1), _arg_2)",0.5,0.08759427070617676,No updates
20,"replace_cvc(""D"", at_cvc(""D"", 1), _arg_2)",0.5,0.07473421096801758,No updates
21,"replace_cvc(""F"", at_cvc(""F"", 1), _arg_2)",0.5,0.07567358016967773,No updates
22,"replace_cvc(""H"", at_cvc(""H"", 1), _arg_2)",0.5,0.07569098472595215,No updates
23,"replace_cvc(""J"", at_cvc(""J"", 1), _arg_2)",0.5,0.0764777660369873,No updates
24,"replace_cvc(""L"", at_cvc(""L"", 1), _arg_2)",0.5,0.07525181770324707,No updates
25,"replace_cvc(""N"", at_cvc(""N"", 1), _arg_2)",0.5,0.0867612361907959,"New Rule: replace_cvc(""P"", at_cvc(_arg_1, 1), _arg_2)"
26,_arg_2,0.5,0.05231666564941406,No updates
27,"replace_cvc("","", "","", _arg_2)",0.5,0.054796695709228516,No updates
28,"replace_cvc(""F"", ""F"", _arg_2)",0.5,0.05494260787963867,No updates
29,"replace_cvc(""L"", ""L"", _arg_2)",0.5,0.054582834243774414,No updates
30,"replace_cvc(""Q"", ""Q"", _arg_2)",0.5,0.06616806983947754,No updates
31,"replace_cvc(""W"", ""W"", _arg_2)",0.5,0.06807160377502441,No updates
32,"replace_cvc(replace_cvc(_arg_2, ""I"", _arg_1), ""K"", ""M"")",0.0,0.08588194847106934,No updates
33,"replace_cvc(replace_cvc(_arg_2, at_cvc(_arg_1, 1), ""P""), ""I"", ""I"")",0.0,0.0899813175201416,No updates
34,"at_cvc(prefixof_cvc(""M"", ""L""), 2)",0.0,0.09353947639465332,No updates
35,"replace_cvc(_arg_2, at_cvc(""New York"", 1), ""N"")",0.5,0.09055113792419434,No updates
36,"replace_cvc("" "", at_cvc("" "", 1), _arg_2)",0.5,0.07599377632141113,No updates
37,"replace_cvc(""A"", at_cvc(""A"", 1), _arg_2)",0.5,0.07592082023620605,No updates
38,"replace_cvc(""B"", at_cvc(""B"", 1), _arg_2)",0.5,0.07636380195617676,No updates
39,"replace_cvc(""D"", at_cvc(""D"", 1), _arg_2)",0.5,0.11219334602355957,No updates
40,"replace_cvc(""F"", at_cvc(""F"", 1), _arg_2)",0.5,0.07615447044372559,No updates
41,"replace_cvc(""H"", at_cvc(""H"", 1), _arg_2)",0.5,0.07636570930480957,No updates
42,"replace_cvc(""J"", at_cvc(""J"", 1), _arg_2)",0.5,0.0757896900177002,No updates
43,"replace_cvc(""L"", at_cvc(""L"", 1), _arg_2)",0.5,0.0764322280883789,No updates
44,"replace_cvc(""N"", at_cvc(""New York"", 1), _arg_2)",0.5,0.07628607749938965,No updates
45,"replace_cvc(""P"", at_cvc(""P"", 1), _arg_2)",0.5,0.0834202766418457,No updates
46,"replace_cvc(""R"", at_cvc(""R"", 1), _arg_2)",0.5,0.09826803207397461,No updates
47,"replace_cvc(""T"", at_cvc(""T"", 1), _arg_2)",0.5,0.0761868953704834,"New Rule: replace_cvc(""U"", at_cvc(_arg_1, 1), _arg_2)"
48,_arg_2,0.5,0.05366849899291992,No updates
