attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.75,0.1986691951751709,"New Rule: replace_cvc(_arg_1, _arg_3, """")New Rule: replace_cvc(_arg_1, _arg_3, _arg_2)New Rule: _arg_2New Rule: replace_cvc(_arg_1, _arg_2, """")New Rule: replace_cvc(_arg_1, _arg_2, _arg_3)New Rule: replace_cvc(_arg_2, _arg_1, _arg_3)New Rule: _arg_3New Rule: _arg_1New Rule: replace_cvc(_arg_2, _arg_1, """")"
2,_arg_1,0.75,0.0959787368774414,No updates
3,"if false
    _arg_1
else
    concat_cvc(_arg_1, """")
end",0.75,0.0797266960144043,No updates
4,"if false
    concat_cvc(_arg_1, _arg_1)
else
    _arg_1
end",0.75,0.07188224792480469,No updates
5,"replace_cvc(concat_cvc(_arg_1, """"), _arg_1, _arg_1)",0.75,0.09124517440795898,No updates
6,"replace_cvc(concat_cvc(_arg_3, """"), _arg_1, _arg_1)",0.75,0.09027290344238281,No updates
7,"replace_cvc(concat_cvc(replace_cvc(_arg_2, _arg_1, _arg_3), "" ""), "" "", replace_cvc(_arg_2, _arg_1, _arg_3))",0.0,0.09316754341125488,No updates
8,"replace_cvc(prefixof_cvc(replace_cvc(_arg_1, _arg_3, """"), replace_cvc(_arg_2, _arg_1, """")), _arg_1, replace_cvc(_arg_2, _arg_1, """"))",0.0,0.09369349479675293,No updates
9,"replace_cvc(suffixof_cvc(_arg_3, "" ""), replace_cvc(_arg_1, _arg_2, _arg_3), _arg_1)",0.0,0.09671306610107422,No updates
10,"replace_cvc(suffixof_cvc(replace_cvc(_arg_2, _arg_1, _arg_3), replace_cvc(_arg_2, _arg_1, """")), "" "", _arg_2)",0.0,0.09937763214111328,No updates
11,"replace_cvc(at_cvc("" "", 1), "" "", _arg_1)",0.75,0.09772729873657227,No updates
12,"replace_cvc(_arg_1, concat_cvc(_arg_1, _arg_1), _arg_1)",0.75,0.09998059272766113,No updates
13,"replace_cvc(_arg_3, concat_cvc(_arg_1, _arg_1), _arg_1)",0.75,0.18964600563049316,No updates
14,"replace_cvc("" "", concat_cvc("""", "" ""), _arg_1)",0.75,0.09119224548339844,No updates
15,"replace_cvc(replace_cvc(_arg_1, _arg_3, """"), suffixof_cvc(replace_cvc(_arg_1, _arg_3, """"), replace_cvc(_arg_1, _arg_3, _arg_2)), replace_cvc(_arg_1, _arg_3, _arg_2))",0.0,0.08908534049987793,No updates
16,"replace_cvc(replace_cvc(_arg_1, _arg_2, """"), suffixof_cvc(_arg_1, _arg_3), replace_cvc(_arg_1, _arg_2, """"))",0.0,0.08774352073669434,No updates
17,"replace_cvc(int_to_str_cvc(1), int_to_str_cvc(1), _arg_1)",0.75,0.08783149719238281,No updates
18,"replace_cvc("" "", at_cvc("" "", 1), _arg_1)",0.75,0.09028935432434082,No updates
19,"replace_cvc(_arg_2, "" "", concat_cvc("" "", _arg_1))",0.75,0.09132671356201172,No updates
20,"replace_cvc("""", """", concat_cvc(_arg_1, """"))",0.75,0.09160447120666504,No updates
21,"replace_cvc(replace_cvc(_arg_1, _arg_3, """"), _arg_2, prefixof_cvc(replace_cvc(_arg_1, _arg_2, """"), _arg_2))",0.0,0.08815884590148926,No updates
22,"replace_cvc(replace_cvc(_arg_1, _arg_2, """"), _arg_1, concat_cvc("""", _arg_3))",0.0,0.08968472480773926,No updates
23,"replace_cvc(replace_cvc(_arg_1, _arg_2, _arg_3), replace_cvc(_arg_2, _arg_1, _arg_3), suffixof_cvc(replace_cvc(_arg_2, _arg_1, """"), """"))",0.0,0.09532523155212402,No updates
24,"replace_cvc(_arg_1, "" "", at_cvc(_arg_1, 1))",0.75,0.10036730766296387,No updates
25,"replace_cvc(concat_cvc(_arg_1, """"), "" "", int_to_str_cvc(1))",0.75,0.10028934478759766,No updates
26,"replace_cvc(_arg_1, concat_cvc(_arg_1, _arg_1), int_to_str_cvc(1))",0.75,0.10555434226989746,No updates
27,"replace_cvc(_arg_2, concat_cvc(_arg_1, _arg_1), int_to_str_cvc(1))",0.75,0.1751103401184082,No updates
28,"replace_cvc(_arg_1, at_cvc("" "", 1), int_to_str_cvc(1))",0.75,0.08185362815856934,No updates
29,"if false
    substr_cvc(_arg_1, 1, 1)
else
    _arg_1
end",0.75,0.07082486152648926,No updates
30,"if true
    replace_cvc(_arg_3, "" "", """")
else
    replace_cvc(_arg_2, _arg_1, """")
end",0.75,0.09023737907409668,No updates
31,"if false
    replace_cvc(_arg_1, _arg_1, _arg_1)
else
    _arg_1
end",0.75,0.06608867645263672,No updates
32,"if false
    replace_cvc(replace_cvc(_arg_1, _arg_3, _arg_2), "" "", replace_cvc(_arg_1, _arg_2, """"))
else
    _arg_2
end",0.75,0.05939936637878418,No updates
33,"if true
    _arg_1
else
    if true
        _arg_1
    else
        _arg_1
    end
end",0.75,0.05882382392883301,No updates
34,"if true
    _arg_3
else
    replace_cvc("""", "" "", replace_cvc(_arg_2, _arg_1, _arg_3))
end",0.75,0.06666827201843262,No updates
35,"if false
    _arg_1
else
    replace_cvc(_arg_1, _arg_1, _arg_1)
end",0.75,0.08975625038146973,No updates
36,"if false
    replace_cvc(_arg_1, _arg_3, _arg_2)
else
    replace_cvc("" "", "" "", _arg_1)
end",0.75,0.0959165096282959,No updates
37,"replace_cvc(substr_cvc("""", 0, -1), """", _arg_1)",0.75,0.09991216659545898,No updates
38,"at_cvc(concat_cvc(replace_cvc(_arg_1, _arg_3, _arg_2), _arg_2), -1 + -1)",0.0,0.10821127891540527,No updates
39,"replace_cvc(_arg_1, _arg_1, replace_cvc(_arg_1, _arg_1, _arg_1))",0.75,0.14639544486999512,"New Rule: replace_cvc(_arg_1, _arg_2, replace_cvc(_arg_1, _arg_3, """"))New Rule: replace_cvc(_arg_1, """", replace_cvc(_arg_2, _arg_3, """"))"
40,_arg_1,0.75,0.08976626396179199,No updates
41,"if false
    _arg_1
else
    concat_cvc(_arg_1, """")
end",0.75,0.08266496658325195,No updates
42,"if false
    replace_cvc(_arg_1, _arg_3, _arg_2)
else
    concat_cvc(_arg_1, """")
end",0.75,0.08250951766967773,No updates
43,"if false
    concat_cvc(_arg_1, _arg_1)
else
    _arg_1
end",0.75,0.07510781288146973,No updates
44,"if false
    suffixof_cvc("""", replace_cvc(_arg_1, _arg_2, replace_cvc(_arg_1, _arg_3, """")))
else
    _arg_1
end",0.75,0.08026599884033203,No updates
45,"replace_cvc(concat_cvc(_arg_1, _arg_2), _arg_1, """")",0.25,0.0923929214477539,No updates
46,"replace_cvc(concat_cvc(_arg_1, """"), _arg_1, _arg_1)",0.75,0.0905308723449707,No updates
47,"replace_cvc(concat_cvc("" "", replace_cvc(_arg_1, _arg_2, _arg_3)), replace_cvc(_arg_1, _arg_2, """"), replace_cvc(_arg_1, _arg_2, """"))",0.0,0.09327220916748047,No updates
48,"replace_cvc(concat_cvc(replace_cvc(_arg_2, _arg_1, _arg_3), _arg_3), replace_cvc(_arg_2, _arg_1, _arg_3), replace_cvc(_arg_2, _arg_1, """"))",0.0,0.09380173683166504,No updates
49,"replace_cvc(prefixof_cvc(_arg_1, replace_cvc(_arg_2, _arg_1, _arg_3)), replace_cvc(_arg_1, """", replace_cvc(_arg_2, _arg_3, """")), _arg_1)",0.0,0.09921455383300781,No updates
50,"replace_cvc(prefixof_cvc(replace_cvc(_arg_1, _arg_3, """"), "" ""), _arg_2, """")",0.0,0.0993342399597168,No updates
51,"replace_cvc(prefixof_cvc(replace_cvc(_arg_2, _arg_1, _arg_3), replace_cvc(_arg_1, _arg_2, replace_cvc(_arg_1, _arg_3, """"))), """", replace_cvc(_arg_1, _arg_3, _arg_2))",0.0,0.16628241539001465,No updates
52,"replace_cvc(suffixof_cvc(_arg_2, replace_cvc(_arg_1, _arg_3, """")), replace_cvc(_arg_1, _arg_3, """"), replace_cvc(_arg_2, _arg_1, _arg_3))",0.0,0.09301996231079102,No updates
53,"replace_cvc(suffixof_cvc(replace_cvc(_arg_1, _arg_3, """"), replace_cvc(_arg_1, """", replace_cvc(_arg_2, _arg_3, """"))), replace_cvc(_arg_1, _arg_2, """"), replace_cvc(_arg_1, """", replace_cvc(_arg_2, _arg_3, """")))",0.0,0.0934610366821289,No updates
54,"replace_cvc(suffixof_cvc(replace_cvc(_arg_2, _arg_1, """"), replace_cvc(_arg_1, _arg_3, _arg_2)), replace_cvc(_arg_2, _arg_1, """"), _arg_3)",0.0,0.09193921089172363,No updates
55,"replace_cvc(contains_cvc(_arg_3, _arg_1), replace_cvc(_arg_1, """", replace_cvc(_arg_2, _arg_3, """")), replace_cvc(_arg_1, _arg_3, """"))",0.0,0.09156990051269531,No updates
56,"replace_cvc(contains_cvc(replace_cvc(_arg_1, _arg_3, _arg_2), replace_cvc(_arg_1, _arg_2, _arg_3)), _arg_2, replace_cvc(_arg_1, _arg_2, _arg_3))",0.0,0.09196352958679199,No updates
57,"replace_cvc(at_cvc("" "", 1), "" "", _arg_1)",0.75,0.08972406387329102,No updates
