attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.06052279472351074,No updates
2,"if false
    concat_cvc(""PA"", _arg_1)
else
    "",""
end",0.0,0.03430938720703125,No updates
3,"if false
    ""USA""
else
    contains_cvc(_arg_1, "","")
end",0.0,0.058023929595947266,No updates
4,"replace_cvc(concat_cvc(_arg_1, ""NY""), ""CT"", _arg_2)",0.0,0.04495072364807129,No updates
5,"replace_cvc(prefixof_cvc(_arg_1, ""NY""), ""CT"", _arg_2)",0.0,0.11087632179260254,No updates
6,"replace_cvc(suffixof_cvc(_arg_1, ""NY""), ""CT"", _arg_2)",0.0,0.09746766090393066,No updates
7,"replace_cvc(contains_cvc(_arg_1, ""NY""), ""CT"", _arg_2)",0.0,0.09373259544372559,No updates
8,"replace_cvc(at_cvc("","", 0), ""CT"", _arg_2)",0.0,0.08472776412963867,No updates
9,"replace_cvc(_arg_2, contains_cvc(""NY"", ""CT""), _arg_2)",0.0,0.07882952690124512,No updates
10,"replace_cvc(""USA"", prefixof_cvc(""NY"", ""CT""), _arg_2)",0.0,0.0851593017578125,No updates
11,"replace_cvc(""CT"", contains_cvc(""NY"", ""CT""), _arg_2)",0.0,0.08535003662109375,No updates
12,"replace_cvc(""NY"", prefixof_cvc(""NY"", ""CT""), _arg_2)",0.0,0.07856249809265137,No updates
13,"replace_cvc(_arg_2, "" "", concat_cvc(""CA"", _arg_2))",0.0,0.08307218551635742,No updates
14,"replace_cvc("","", ""CA"", concat_cvc(""CA"", _arg_2))",0.0,0.08906364440917969,No updates
15,"replace_cvc(""CT"", "" "", concat_cvc(""CA"", _arg_2))",0.0,0.0827031135559082,No updates
16,"replace_cvc(""MD"", ""CA"", concat_cvc(""CA"", _arg_2))",0.0,0.07581853866577148,No updates
17,"substr_cvc(suffixof_cvc(_arg_1, ""CA""), 2, 2)",0.0,0.08471512794494629,No updates
18,"replace_cvc(suffixof_cvc(_arg_2, "",""), "","", int_to_str_cvc(0))",0.0,0.09594440460205078,No updates
19,"replace_cvc("","", suffixof_cvc(""CT"", ""CT""), int_to_str_cvc(1))",0.0,0.08468222618103027,No updates
20,"substr_cvc("" "", 1, indexof_cvc(""NY"", ""NY"", 2))",0.0,0.04495358467102051,No updates
21,"if true
    replace_cvc(_arg_1, ""CT"", ""CA"")
else
    "" ""
end",0.0,0.04121541976928711,No updates
22,"if false
    replace_cvc(_arg_1, ""CT"", ""CA"")
else
    "" ""
end",0.0,0.02736353874206543,No updates
23,"if true
    if true
        ""CT""
    else
        ""CA""
    end
else
    "" ""
end",0.0,0.03171133995056152,No updates
24,"if true
    _arg_2
else
    replace_cvc(""PA"", _arg_2, "" "")
end",0.0,0.034018516540527344,No updates
25,"if false
    _arg_2
else
    replace_cvc(""PA"", _arg_2, "" "")
end",0.0,0.0377960205078125,No updates
26,"if false
    ""CT""
else
    substr_cvc(""MD"", 0, 0)
end",0.0,0.04212331771850586,No updates
27,"replace_cvc("" "", ""MD"", if false
        _arg_2
    else
        "" ""
    end)",0.0,0.03509879112243652,No updates
28,"replace_cvc(""CA"", ""MD"", if false
        _arg_2
    else
        "" ""
    end)",0.0,0.06534910202026367,No updates
29,"at_cvc(suffixof_cvc(""MD"", ""CA""), 2 + 0)",0.0,0.08913254737854004,No updates
30,"replace_cvc(_arg_1, ""CA"", replace_cvc(""NY"", ""CA"", "" ""))",0.0,0.04925966262817383,No updates
31,"replace_cvc(_arg_2, ""CA"", replace_cvc(""NY"", ""CA"", "" ""))",0.0,0.042114973068237305,No updates
32,"replace_cvc("" "", ""CA"", replace_cvc(""NY"", ""CA"", "" ""))",0.0,0.04352617263793945,No updates
33,"replace_cvc("","", ""CA"", replace_cvc(""NY"", ""CA"", "" ""))",0.0,0.04867076873779297,No updates
34,"replace_cvc(""USA"", ""CA"", replace_cvc(""NY"", ""CA"", "" ""))",0.0,0.049607038497924805,No updates
35,"replace_cvc(""PA"", ""CA"", replace_cvc(""NY"", ""CA"", "" ""))",0.0,0.06121969223022461,No updates
36,"replace_cvc(""CT"", ""CA"", replace_cvc(""NY"", ""CA"", "" ""))",0.0,0.041262149810791016,No updates
37,"replace_cvc(""CA"", ""CA"", replace_cvc(""NY"", ""CA"", "" ""))",0.0,0.040529727935791016,No updates
38,"replace_cvc(""MD"", ""CA"", replace_cvc(""NY"", ""CA"", "" ""))",0.0,0.041451215744018555,No updates
