attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.09881758689880371,No updates
2,"substr_cvc(concat_cvc("" "", "",""), _arg_2, 2)",0.0,0.08234000205993652,No updates
3,"if false
    substr_cvc("" "", -1, 2)
else
    "",""
end",0.0,0.08509230613708496,No updates
4,"at_cvc(contains_cvc("","", "",""), _arg_2 == -1)",0.0,0.06953787803649902,No updates
5,"replace_cvc("","", replace_cvc("""", "","", """"), _arg_1)",0.0,0.07825517654418945,No updates
6,"substr_cvc(if true
        "" ""
    else
        """"
    end, _arg_2, _arg_2)",0.0,0.07660317420959473,No updates
7,"substr_cvc(int_to_str_cvc(1), 2, if true
        _arg_2
    else
        _arg_2
    end)",0.0,0.08844709396362305,No updates
8,"replace_cvc(int_to_str_cvc(2), at_cvc("","", 1), int_to_str_cvc(_arg_2))",0.0,0.0423583984375,No updates
9,"if false
    contains_cvc(_arg_1, "","")
else
    contains_cvc("","", _arg_1)
end",0.0,0.05810260772705078,No updates
10,"if false
    int_to_str_cvc(-1)
else
    substr_cvc("""", 2, -1)
end",0.0,0.09999227523803711,No updates
11,"at_cvc(substr_cvc("","", _arg_2, 2), _arg_2 + -1)",0.0,0.10065412521362305,No updates
12,"at_cvc(replace_cvc("","", "" "", "",""), _arg_2 + -1)",0.0,0.09781718254089355,No updates
13,"replace_cvc(concat_cvc("" "", "",""), concat_cvc("","", """"), _arg_1)",0.0,0.10681748390197754,No updates
14,"replace_cvc(contains_cvc(_arg_1, "" ""), prefixof_cvc(_arg_1, """"), _arg_1)",0.0,0.10819268226623535,No updates
15,"replace_cvc(at_cvc("","", 0), at_cvc(_arg_1, 1), _arg_1)",0.0,0.06285238265991211,No updates
16,"replace_cvc(at_cvc("""", _arg_2), _arg_1, concat_cvc("""", _arg_1))",0.0,0.09838485717773438,No updates
17,"replace_cvc(prefixof_cvc("" "", _arg_1), _arg_1, prefixof_cvc("""", _arg_1))",0.0,0.12476730346679688,No updates
18,"replace_cvc(contains_cvc("","", "",""), _arg_1, suffixof_cvc("""", _arg_1))",0.0,0.10846424102783203,No updates
19,"replace_cvc("" "", prefixof_cvc("" "", _arg_1), contains_cvc("""", _arg_1))",0.0,0.1022343635559082,No updates
20,"replace_cvc("" "", at_cvc("" "", -1), concat_cvc("""", _arg_1))",0.0,0.0944979190826416,No updates
21,"replace_cvc(int_to_str_cvc(1), _arg_1, replace_cvc("""", """", _arg_1))",0.0,0.08715605735778809,No updates
22,"replace_cvc(_arg_1, concat_cvc("","", """"), at_cvc("","", 1))",0.0,0.10161924362182617,No updates
23,"substr_cvc(at_cvc("" "", -1), 1 == 1, 1)",0.0,0.092437744140625,No updates
24,"substr_cvc(prefixof_cvc("""", _arg_1), 1 - 1, 1)",0.0,0.1214284896850586,No updates
25,"substr_cvc(suffixof_cvc("","", "",""), 1 + 1, 1)",0.0,0.1146857738494873,No updates
26,"substr_cvc(int_to_str_cvc(_arg_2), if true
        0
    else
        1
    end, 1)",0.0,0.08621358871459961,No updates
27,"substr_cvc(concat_cvc(_arg_1, "",""), 0, 1 - 1)",0.0,0.1004641056060791,No updates
28,"substr_cvc(prefixof_cvc("","", "" ""), _arg_2, 1 == 1)",0.0,0.10685229301452637,No updates
