attempt,best_program,program_score,time,new_updated_rules
1,_arg_2,0.5,0.11201047897338867,"New Rule: replace_cvc(_arg_2, ""CT"", _arg_1)New Rule: replace_cvc(_arg_2, ""CA"", _arg_1)New Rule: _arg_2New Rule: replace_cvc(_arg_2, ""PA"", _arg_1)New Rule: replace_cvc(_arg_2, ""NY"", _arg_1)"
2,_arg_2,0.5,0.11772656440734863,No updates
3,"if false
    at_cvc(_arg_1, 0)
else
    _arg_2
end",0.5,0.09267067909240723,No updates
4,"if false
    concat_cvc(_arg_1, _arg_1)
else
    _arg_2
end",0.5,0.0763700008392334,No updates
5,"if false
    suffixof_cvc(replace_cvc(_arg_2, ""NY"", _arg_1), replace_cvc(_arg_2, ""NY"", _arg_1))
else
    _arg_2
end",0.5,0.07831263542175293,No updates
6,"if true
    ""CA""
else
    suffixof_cvc(replace_cvc(_arg_2, ""NY"", _arg_1), _arg_2)
end",0.0,0.08786749839782715,No updates
7,"if false
    ""CT""
else
    prefixof_cvc(replace_cvc(_arg_2, ""NY"", _arg_1), ""PA"")
end",0.0,0.09760022163391113,No updates
8,"at_cvc(replace_cvc(""CT"", ""USA"", ""CT""), 1)",0.0,0.09852123260498047,No updates
9,"at_cvc(""CA"", indexof_cvc(""USA"", ""CA"", 2))",0.0,0.11694145202636719,No updates
10,"replace_cvc(concat_cvc("" "", "" ""), replace_cvc(_arg_2, ""CT"", _arg_1), _arg_2)",0.0,0.10718250274658203,No updates
11,"replace_cvc(concat_cvc(""PA"", replace_cvc(_arg_2, ""CA"", _arg_1)), replace_cvc(_arg_2, ""CT"", _arg_1), ""PA"")",0.0,0.12159562110900879,No updates
12,"replace_cvc(concat_cvc(""NY"", ""CT""), replace_cvc(_arg_2, ""CT"", _arg_1), ""NY"")",0.0,0.09702062606811523,No updates
13,"replace_cvc(concat_cvc(replace_cvc(_arg_2, ""NY"", _arg_1), _arg_2), replace_cvc(_arg_2, ""CT"", _arg_1), replace_cvc(_arg_2, ""NY"", _arg_1))",0.0,0.09759187698364258,No updates
14,"replace_cvc(prefixof_cvc("" "", replace_cvc(_arg_2, ""CT"", _arg_1)), replace_cvc(_arg_2, ""CA"", _arg_1), "","")",0.0,0.1077737808227539,No updates
15,"replace_cvc(prefixof_cvc(""CT"", ""PA""), replace_cvc(_arg_2, ""CA"", _arg_1), ""CA"")",0.0,0.0974435806274414,No updates
16,"replace_cvc(prefixof_cvc(replace_cvc(_arg_2, ""CT"", _arg_1), _arg_1), replace_cvc(_arg_2, ""CA"", _arg_1), replace_cvc(_arg_2, ""CA"", _arg_1))",0.0,0.09567141532897949,No updates
17,"replace_cvc(prefixof_cvc(replace_cvc(_arg_2, ""NY"", _arg_1), ""NY""), replace_cvc(_arg_2, ""PA"", _arg_1), _arg_2)",0.0,0.10641217231750488,No updates
18,"replace_cvc(suffixof_cvc("","", ""USA""), replace_cvc(_arg_2, ""PA"", _arg_1), ""PA"")",0.0,0.10702681541442871,No updates
19,"replace_cvc(suffixof_cvc(""CT"", replace_cvc(_arg_2, ""NY"", _arg_1)), replace_cvc(_arg_2, ""PA"", _arg_1), ""NY"")",0.0,0.10373234748840332,No updates
20,"replace_cvc(suffixof_cvc(replace_cvc(_arg_2, ""CT"", _arg_1), ""MD""), replace_cvc(_arg_2, ""PA"", _arg_1), replace_cvc(_arg_2, ""NY"", _arg_1))",0.0,0.10074329376220703,No updates
21,"replace_cvc(contains_cvc(_arg_1, "",""), replace_cvc(_arg_2, ""NY"", _arg_1), "","")",0.0,0.11061739921569824,No updates
22,"replace_cvc(contains_cvc("","", replace_cvc(_arg_2, ""PA"", _arg_1)), replace_cvc(_arg_2, ""NY"", _arg_1), ""CA"")",0.0,0.09838294982910156,No updates
23,"replace_cvc(contains_cvc(""CA"", ""CA""), replace_cvc(_arg_2, ""NY"", _arg_1), replace_cvc(_arg_2, ""CA"", _arg_1))",0.0,0.10482072830200195,No updates
24,"replace_cvc(at_cvc("" "", 1), "" "", _arg_2)",0.5,0.09722328186035156,No updates
25,"replace_cvc(at_cvc(""USA"", 0), _arg_1, ""PA"")",0.0,0.11249089241027832,No updates
26,"replace_cvc(_arg_2, concat_cvc(_arg_1, _arg_1), _arg_1)",0.5,0.10343384742736816,No updates
27,"replace_cvc(_arg_2, prefixof_cvc("" "", _arg_1), replace_cvc(_arg_2, ""NY"", _arg_1))",0.0,0.10373187065124512,No updates
28,"replace_cvc("" "", concat_cvc(replace_cvc(_arg_2, ""CA"", _arg_1), _arg_2), "","")",0.0,0.10939264297485352,No updates
29,"replace_cvc("","", concat_cvc(""CT"", _arg_2), ""CA"")",0.0,0.10062909126281738,No updates
30,"replace_cvc(""USA"", concat_cvc(_arg_2, _arg_2), replace_cvc(_arg_2, ""CA"", _arg_1))",0.0,0.10293936729431152,No updates
31,"replace_cvc(""USA"", contains_cvc(replace_cvc(_arg_2, ""CT"", _arg_1), "" ""), _arg_2)",0.0,0.11117196083068848,No updates
32,"replace_cvc(""PA"", contains_cvc(""PA"", "" ""), ""PA"")",0.0,0.10464978218078613,No updates
33,"replace_cvc(""CT"", contains_cvc(_arg_1, "" ""), ""NY"")",0.0,0.0996696949005127,No updates
34,"replace_cvc(""CA"", suffixof_cvc(""NY"", "" ""), replace_cvc(_arg_2, ""NY"", _arg_1))",0.0,0.10675454139709473,No updates
