attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.10843586921691895,No updates
2,"substr_cvc("""", 1, -1 - 1)",0.0,0.06254458427429199,No updates
3,"at_cvc(prefixof_cvc(""_"", "" ""), -1 + 1)",0.0,0.07581377029418945,No updates
4,"replace_cvc(_arg_1, substr_cvc(_arg_1, 2, -1), _arg_1)",0.0,0.07432675361633301,No updates
5,"substr_cvc(int_to_str_cvc(2), 1, -1 + 1)",0.0,0.0668647289276123,No updates
6,"if true
    concat_cvc("""", """")
else
    prefixof_cvc("" "", _arg_1)
end",0.0,0.040331363677978516,No updates
7,"replace_cvc(concat_cvc("""", "" ""), int_to_str_cvc(-1), int_to_str_cvc(1))",0.0,0.06698274612426758,No updates
8,"at_cvc(if true
        _arg_1
    else
        "" ""
    end, -1 - 1)",0.0,0.09591078758239746,No updates
9,"at_cvc(at_cvc(""_"", 1), if true
        -1
    else
        1
    end)",0.0,0.09310007095336914,No updates
10,"replace_cvc(suffixof_cvc("""", _arg_1), suffixof_cvc("""", "" ""), _arg_1)",0.0,0.09802818298339844,No updates
11,"replace_cvc(suffixof_cvc(""_"", "" ""), at_cvc("" "", -1), _arg_1)",0.0,0.09104442596435547,No updates
12,"replace_cvc(at_cvc("" "", 1), "" "", contains_cvc("" "", _arg_1))",0.0,0.09398174285888672,No updates
13,"replace_cvc(prefixof_cvc(""_"", ""_""), ""_"", concat_cvc("" "", _arg_1))",0.0,0.10139751434326172,No updates
14,"replace_cvc(_arg_1, prefixof_cvc("" "", ""_""), prefixof_cvc("" "", _arg_1))",0.0,0.10598421096801758,No updates
15,"replace_cvc("" "", contains_cvc("""", ""_""), suffixof_cvc("" "", _arg_1))",0.0,0.0973963737487793,No updates
16,"replace_cvc(int_to_str_cvc(1), int_to_str_cvc(2), contains_cvc("" "", _arg_1))",0.0,0.0985269546508789,No updates
17,"replace_cvc(at_cvc(_arg_1, 1), _arg_1, at_cvc("" "", 1))",0.0,0.08390259742736816,No updates
18,"substr_cvc(concat_cvc("""", _arg_1), 0 + -1, 1)",0.0,0.09579682350158691,No updates
19,"substr_cvc(contains_cvc("" "", _arg_1), -1 + -1, 1)",0.0,0.11479616165161133,No updates
20,"substr_cvc(concat_cvc(""_"", "" ""), 2, -1 == 1)",0.0,0.10033941268920898,No updates
21,"substr_cvc(_arg_1, 0 + -1, -1 == 1)",0.0,0.08323311805725098,No updates
22,"substr_cvc(int_to_str_cvc(1), 0, indexof_cvc("""", "" "", 1))",0.0,0.08755254745483398,No updates
23,"substr_cvc(contains_cvc("""", "" ""), 2, if true
        -1
    else
        1
    end)",0.0,0.09234762191772461,No updates
24,"replace_cvc(concat_cvc("" "", "" ""), prefixof_cvc(""_"", "" ""), int_to_str_cvc(1))",0.0,0.11557888984680176,No updates
25,"replace_cvc(contains_cvc(_arg_1, """"), suffixof_cvc(_arg_1, "" ""), int_to_str_cvc(1))",0.0,0.09515857696533203,No updates
26,"replace_cvc(suffixof_cvc(_arg_1, "" ""), at_cvc("""", -1), int_to_str_cvc(1))",0.0,0.08838129043579102,No updates
27,"substr_cvc(substr_cvc("" "", 0, 1), 2, -1 - 1)",0.0,0.07540249824523926,No updates
28,"if true
    replace_cvc(_arg_1, "" "", "" "")
else
    contains_cvc("" "", _arg_1)
end",0.0,0.03924107551574707,No updates
29,"if true
    substr_cvc("" "", 0, 2)
else
    concat_cvc("" "", _arg_1)
end",0.0,0.047905921936035156,No updates
30,"if false
    replace_cvc(_arg_1, ""_"", """")
else
    at_cvc("" "", 1)
end",0.0,0.05489659309387207,No updates
31,"if false
    at_cvc("""", 2)
else
    substr_cvc("" "", -1, 1)
end",0.0,0.05095171928405762,No updates
32,"at_cvc(replace_cvc(_arg_1, "" "", ""_""), indexof_cvc(""_"", "" "", 1))",0.0,0.04933500289916992,No updates
33,"if false
    suffixof_cvc("" "", _arg_1)
else
    replace_cvc(_arg_1, "" "", _arg_1)
end",0.0,0.09954953193664551,No updates
34,"replace_cvc(suffixof_cvc(_arg_1, "" ""), _arg_1, if false
        "" ""
    else
        _arg_1
    end)",0.0,0.09152722358703613,No updates
35,"replace_cvc(at_cvc("" "", 1), """", if true
        "" ""
    else
        _arg_1
    end)",0.0,0.07097840309143066,No updates
36,"replace_cvc(prefixof_cvc("""", ""_""), _arg_1, replace_cvc(""_"", "" "", _arg_1))",0.0,0.11194753646850586,No updates
37,"replace_cvc(contains_cvc(""_"", "" ""), """", replace_cvc(_arg_1, "" "", _arg_1))",0.0,0.10167193412780762,No updates
38,"replace_cvc(suffixof_cvc("""", """"), replace_cvc("""", """", "" ""), _arg_1)",0.0,0.0964517593383789,No updates
39,"replace_cvc(at_cvc(""_"", 1), """", replace_cvc("" "", "" "", _arg_1))",0.0,0.0815126895904541,No updates
40,"replace_cvc("""", contains_cvc("" "", ""_""), if false
        "" ""
    else
        _arg_1
    end)",0.0,0.09847736358642578,No updates
41,"replace_cvc(if false
        """"
    else
        "" ""
    end, suffixof_cvc(_arg_1, "" ""), _arg_1)",0.0,0.08962154388427734,No updates
42,"replace_cvc("""", contains_cvc("""", "" ""), replace_cvc("""", "" "", _arg_1))",0.0,0.09110021591186523,No updates
43,"replace_cvc(substr_cvc(_arg_1, 0, 1), suffixof_cvc("" "", "" ""), _arg_1)",0.0,0.09830212593078613,No updates
44,"replace_cvc(substr_cvc("" "", -1, 2), suffixof_cvc(""_"", "" ""), _arg_1)",0.0,0.0937042236328125,No updates
45,"replace_cvc(replace_cvc("""", _arg_1, "" ""), contains_cvc(_arg_1, "" ""), _arg_1)",0.0,0.08797264099121094,No updates
46,"replace_cvc(replace_cvc(""_"", "" "", """"), contains_cvc("""", "" ""), _arg_1)",0.0,0.0913381576538086,No updates
47,"replace_cvc(_arg_1, at_cvc("""", 2), if true
        "" ""
    else
        _arg_1
    end)",0.0,0.0856013298034668,No updates
48,"replace_cvc(contains_cvc(""_"", ""_""), if false
        ""_""
    else
        "" ""
    end, _arg_1)",0.0,0.07902383804321289,No updates
49,"replace_cvc(concat_cvc(""_"", ""_""), substr_cvc(_arg_1, 1, -1), _arg_1)",0.0,0.10480284690856934,No updates
