attempt,best_program,program_score,iterations,time_seconds
1,_arg_1,0.0,10000,0.10718202590942383
2,"replace_cvc(suffixof_cvc(_arg_1, "" ""), concat_cvc(_arg_1, _arg_1), suffixof_cvc("" "", _arg_1))",0.0,10000,0.10282301902770996
3,"replace_cvc(prefixof_cvc(_arg_1, "" ""), suffixof_cvc(_arg_1, "" ""), replace_cvc(_arg_1, "" "", _arg_1))",0.0,10000,0.16527915000915527
4,"substr_cvc(prefixof_cvc(_arg_1, _arg_1), indexof_cvc("" "", "" "", 1), 1 + 0)",0.0,10000,0.09244513511657715
5,"replace_cvc(substr_cvc(_arg_1, 1, 1), substr_cvc(_arg_1, 1, 1), prefixof_cvc("" "", _arg_1))",0.0,10000,0.09279489517211914
6,"replace_cvc(replace_cvc(_arg_1, _arg_1, "" ""), replace_cvc(_arg_1, "" "", "" ""), substr_cvc(_arg_1, 1, 0))",0.0,10000,164.67938208580017
7,"substr_cvc(_arg_1, 0, indexof_cvc("" "", suffixof_cvc(_arg_1, "" ""), 0))",0.0,10000,0.09857892990112305
8,"at_cvc(prefixof_cvc(at_cvc("" "", 0), prefixof_cvc(_arg_1, "" "")), 0)",0.0,10000,0.10264301300048828
9,"replace_cvc(prefixof_cvc(_arg_1, concat_cvc(_arg_1, _arg_1)), _arg_1, suffixof_cvc("" "", _arg_1))",0.0,10000,0.10853791236877441
10,"replace_cvc(suffixof_cvc(concat_cvc(_arg_1, "" ""), "" ""), _arg_1, at_cvc("" "", 0))",0.0,10000,0.16698312759399414
11,"substr_cvc("" "", 1, indexof_cvc(_arg_1, replace_cvc("" "", _arg_1, "" ""), 0))",0.0,10000,0.0966939926147461
12,"replace_cvc("" "", prefixof_cvc("" "", _arg_1), prefixof_cvc(suffixof_cvc(_arg_1, "" ""), _arg_1))",0.0,10000,0.09682297706604004
13,"replace_cvc("" "", at_cvc(suffixof_cvc(_arg_1, _arg_1), 0 - 1), _arg_1)",0.0,10000,0.09994888305664062
14,"substr_cvc(suffixof_cvc("" "", "" ""), 1 + (0 - 1), 0)",0.0,10000,0.0971369743347168
15,"substr_cvc(at_cvc("" "", 1), 1, 1 + (1 + 0))",0.0,10000,0.1075289249420166
16,"at_cvc(concat_cvc("" "", "" ""), 1 - indexof_cvc(_arg_1, "" "", 0))",0.0,10000,0.11256194114685059
