attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.09947824478149414,No updates
2,"replace_cvc(""_"", suffixof_cvc("" "", ""_""), """")",0.0,0.07960319519042969,No updates
3,"if false
    substr_cvc("" "", 0, -1)
else
    """"
end",0.0,0.05491161346435547,No updates
4,"replace_cvc("""", _arg_1, replace_cvc(""_"", _arg_2, _arg_1))",0.0,0.05362582206726074,No updates
5,"replace_cvc(_arg_1, if false
        """"
    else
        ""_""
    end, _arg_2)",0.0,0.08072042465209961,No updates
6,"replace_cvc(""_"", int_to_str_cvc(-1), suffixof_cvc(""_"", _arg_2))",0.0,0.06496262550354004,No updates
7,"replace_cvc(substr_cvc(""_"", 0, -1), """", int_to_str_cvc(-1))",0.0,0.05361127853393555,No updates
8,"if true
    prefixof_cvc("" "", _arg_2)
else
    concat_cvc("""", "" "")
end",0.0,0.028191566467285156,No updates
9,"if false
    prefixof_cvc("" "", _arg_2)
else
    concat_cvc("""", "" "")
end",0.0,0.07795310020446777,No updates
10,"if true
    at_cvc(""_"", -1)
else
    at_cvc(_arg_2, 1)
end",0.0,0.06267118453979492,No updates
11,"at_cvc(at_cvc(""_"", -1), indexof_cvc(""_"", ""_"", 0))",0.0,0.09666776657104492,No updates
12,"at_cvc(contains_cvc("""", "" ""), indexof_cvc(_arg_2, """", -1))",0.0,0.08976936340332031,No updates
13,"replace_cvc(concat_cvc("" "", _arg_2), concat_cvc(""_"", _arg_1), "" "")",0.0,0.14543366432189941,No updates
14,"replace_cvc(prefixof_cvc("""", _arg_2), concat_cvc(""_"", _arg_1), "" "")",0.0,0.1020042896270752,No updates
15,"replace_cvc(suffixof_cvc(_arg_2, _arg_2), concat_cvc(""_"", _arg_1), "" "")",0.0,0.1020662784576416,No updates
16,"replace_cvc(contains_cvc(_arg_1, _arg_2), concat_cvc(""_"", _arg_1), "" "")",0.0,0.10257387161254883,No updates
17,"replace_cvc(contains_cvc(""_"", _arg_2), concat_cvc(""_"", _arg_1), "" "")",0.0,0.09350848197937012,No updates
18,"replace_cvc(at_cvc("""", -1), at_cvc(_arg_1, 1), "" "")",0.0,0.0757761001586914,No updates
19,"replace_cvc(at_cvc(_arg_2, 0), _arg_2, prefixof_cvc(_arg_1, "" ""))",0.0,0.08739471435546875,No updates
