attempt,best_program,program_score,time,new_updated_rules
1,"substr_cvc(_arg_1, 1, 1 + 2)",0.25,0.14808058738708496,"New Rule: substr_cvc(_arg_1, 1, 1 + 2)"
2,"substr_cvc(_arg_1, 1, 1 + 2)",0.25,0.12170696258544922,No updates
3,"replace_cvc(at_cvc(substr_cvc(_arg_1, 1, 1 + 2), 2), prefixof_cvc(substr_cvc(_arg_1, 1, 1 + 2), "" ""), "" "")",0.0,0.11647200584411621,No updates
4,"replace_cvc("" "", suffixof_cvc(substr_cvc(_arg_1, 1, 1 + 2), _arg_1), concat_cvc("" "", substr_cvc(_arg_1, 1, 1 + 2)))",0.0,0.10855889320373535,No updates
5,"substr_cvc(concat_cvc(_arg_1, _arg_1), 1, 1 + 2)",0.25,0.12761783599853516,No updates
6,"replace_cvc(substr_cvc(_arg_1, 0, 2), substr_cvc(_arg_1, 1, 1 + 2), concat_cvc(substr_cvc(_arg_1, 1, 1 + 2), "" ""))",0.0,0.10507035255432129,No updates
7,"replace_cvc(int_to_str_cvc(1), substr_cvc(_arg_1, 0, 2), int_to_str_cvc(2))",0.0,0.1305842399597168,No updates
8,"replace_cvc(concat_cvc(_arg_1, "" ""), "" "", substr_cvc(substr_cvc(_arg_1, 1, 1 + 2), 0, 0))",0.0,0.11797261238098145,No updates
9,"replace_cvc("" "", substr_cvc("" "", 0, 2), prefixof_cvc(_arg_1, "" ""))",0.0,0.11416387557983398,No updates
10,"replace_cvc(substr_cvc(_arg_1, 1, 1 + 2), prefixof_cvc(substr_cvc(_arg_1, 1, 1 + 2), "" ""), substr_cvc("" "", 0, 2))",0.0,0.14030766487121582,No updates
11,"substr_cvc(replace_cvc(_arg_1, _arg_1, _arg_1), 1, 1 + 2)",0.25,0.1254885196685791,No updates
12,"substr_cvc(concat_cvc("" "", _arg_1), 2, indexof_cvc(_arg_1, "" "", 0))",1.0,0.022401809692382812,"New Rule: substr_cvc(concat_cvc("" "", _arg_1), 2, indexof_cvc(_arg_1, "" "", 0))"
101,"substr_cvc(concat_cvc("" "", _arg_1), 2, indexof_cvc(_arg_1, "" "", 0))",1.0,1.3784253597259521,Final result so no updates
-1,Final grammar,-1.0,0.0,"1: Start = ntString
2: ntString = _arg_1
3: ntString =  
4: ntString = concat_cvc(ntString, ntString)
5: ntString = replace_cvc(ntString, ntString, ntString)
6: ntString = at_cvc(ntString, ntInt)
7: ntString = int_to_str_cvc(ntInt)
8: ntString = substr_cvc(ntString, ntInt, ntInt)
9: ntInt = 0
10: ntInt = 1
11: ntInt = 2
12: ntInt = ntInt + ntInt
13: ntInt = ntInt - ntInt
14: ntInt = len_cvc(ntString)
15: ntInt = str_to_int_cvc(ntString)
16: ntInt = indexof_cvc(ntString, ntString, ntInt)
17: ntBool = true
18: ntBool = false
19: ntBool = prefixof_cvc(ntString, ntString)
20: ntBool = suffixof_cvc(ntString, ntString)
21: ntBool = contains_cvc(ntString, ntString)
22: ntString = substr_cvc(_arg_1, 1, 1 + 2)
23: ntString = substr_cvc(concat_cvc("" "", _arg_1), 2, indexof_cvc(_arg_1, "" "", 0))
"
-2,Timed out: false,-1.0,0.0, 
