attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.08657336235046387,No updates
2,"at_cvc(substr_cvc("" "", 0, 2), 4)",0.0,0.0776057243347168,No updates
3,"substr_cvc(at_cvc("""", -1), 0, -1)",0.0,0.07372093200683594,No updates
4,"substr_cvc(_arg_1, 3 == 7, 2)",0.0,0.0716402530670166,No updates
5,"substr_cvc(_arg_1, 4, 1 + 9)",0.3333333333333333,0.06718301773071289,"New Rule: substr_cvc(_arg_1, 4, 1 + 9)"
6,_arg_1,0.0,0.1203618049621582,No updates
7,"at_cvc(replace_cvc("" "", substr_cvc(_arg_1, 4, 1 + 9), _arg_1), 9)",0.0,0.08426499366760254,No updates
8,"at_cvc("" "", indexof_cvc("" "", substr_cvc(_arg_1, 4, 1 + 9), 1))",0.0,0.07996463775634766,No updates
9,"substr_cvc(at_cvc("" "", 2), 8, 8)",0.0,0.08817195892333984,No updates
10,"substr_cvc(_arg_1, 1 + 4, 9)",0.0,0.06336283683776855,No updates
11,"substr_cvc(_arg_1, 4, 1 + 9)",0.3333333333333333,0.08039569854736328,No updates
12,"substr_cvc("""", 1, 8 + 0)",0.0,0.08093667030334473,No updates
13,"substr_cvc(substr_cvc(_arg_1, 4, 1 + 9), 4, 4 == -1)",0.0,0.0714411735534668,No updates
14,"substr_cvc("" "", 2, if false
        0
    else
        2
    end)",0.0,0.10658836364746094,No updates
15,"replace_cvc(substr_cvc(_arg_1, 4, 1 + 9), contains_cvc("""", substr_cvc(_arg_1, 4, 1 + 9)), int_to_str_cvc(3))",0.0,0.05402112007141113,No updates
16,"if false
    int_to_str_cvc(-1)
else
    at_cvc("""", 6)
end",0.0,0.056505441665649414,No updates
17,"replace_cvc(substr_cvc("""", 2, 7), substr_cvc(_arg_1, 4, 1 + 9), "" "")",0.0,0.08193564414978027,No updates
18,"at_cvc(concat_cvc(substr_cvc(_arg_1, 4, 1 + 9), """"), -1 - 1)",0.0,0.09718799591064453,No updates
19,"at_cvc(suffixof_cvc("" "", _arg_1), 8 == 0)",0.0,0.09481430053710938,No updates
20,"at_cvc(at_cvc(_arg_1, 0), 1 == 0)",0.0,0.1277782917022705,No updates
21,"at_cvc(at_cvc("" "", 6), 6 + -1)",0.0,0.08615899085998535,No updates
22,"at_cvc(int_to_str_cvc(8), if true
        1
    else
        7
    end)",0.0,0.08319544792175293,No updates
23,"replace_cvc(_arg_1, substr_cvc(_arg_1, 1, 3), """")",0.3333333333333333,0.08339977264404297,"New Rule: replace_cvc(_arg_1, substr_cvc(_arg_1, 1, 5), """")"
24,_arg_1,0.0,0.08877444267272949,No updates
