attempt,best_program,program_score,iterations,time_seconds
1,_arg_1,0.0,10000,0.06953001022338867
2,"if false
    concat_cvc(""PA"", _arg_1)
else
    "",""
end",0.0,10000,0.08108711242675781
3,"if false
    ""USA""
else
    contains_cvc(_arg_1, "","")
end",0.0,10000,0.054061174392700195
4,"replace_cvc(concat_cvc(_arg_1, ""NY""), ""CT"", _arg_2)",0.0,10000,0.04414701461791992
5,"replace_cvc(prefixof_cvc(_arg_1, ""NY""), ""CT"", _arg_2)",0.0,10000,0.08759021759033203
6,"replace_cvc(suffixof_cvc(_arg_1, ""NY""), ""CT"", _arg_2)",0.0,10000,0.09183692932128906
7,"replace_cvc(contains_cvc(_arg_1, ""NY""), ""CT"", _arg_2)",0.0,10000,0.10438108444213867
8,"replace_cvc(at_cvc("","", 0), ""CT"", _arg_2)",0.0,10000,0.07062411308288574
9,"replace_cvc(_arg_2, contains_cvc(""NY"", ""CT""), _arg_2)",0.0,10000,0.07251310348510742
10,"replace_cvc(""USA"", prefixof_cvc(""NY"", ""CT""), _arg_2)",0.0,10000,0.0773618221282959
11,"replace_cvc(""CT"", contains_cvc(""NY"", ""CT""), _arg_2)",0.0,10000,0.07660293579101562
12,"replace_cvc(""NY"", prefixof_cvc(""NY"", ""CT""), _arg_2)",0.0,10000,0.1068570613861084
13,"replace_cvc(_arg_2, "" "", concat_cvc(""CA"", _arg_2))",0.0,10000,0.0755910873413086
14,"replace_cvc("","", ""CA"", concat_cvc(""CA"", _arg_2))",0.0,10000,0.07498478889465332
15,"replace_cvc(""CT"", "" "", concat_cvc(""CA"", _arg_2))",0.0,10000,0.07777190208435059
16,"replace_cvc(""MD"", ""CA"", concat_cvc(""CA"", _arg_2))",0.0,10000,0.0868079662322998
17,"substr_cvc(suffixof_cvc(_arg_1, ""CA""), 2, 2)",0.0,10000,0.07347798347473145
18,"replace_cvc(suffixof_cvc(_arg_2, "",""), "","", int_to_str_cvc(0))",0.0,10000,0.08782601356506348
19,"replace_cvc("","", suffixof_cvc(""CT"", ""CT""), int_to_str_cvc(1))",0.0,10000,0.07445883750915527
20,"substr_cvc("" "", 1, indexof_cvc(""NY"", ""NY"", 2))",0.0,10000,0.052845001220703125
21,"if true
    replace_cvc(_arg_1, ""CT"", ""CA"")
else
    "" ""
end",0.0,10000,0.03511381149291992
22,"if false
    replace_cvc(_arg_1, ""CT"", ""CA"")
else
    "" ""
end",0.0,10000,0.02714705467224121
23,"if true
    if true
        ""CT""
    else
        ""CA""
    end
else
    "" ""
end",0.0,10000,0.037637948989868164
