attempt,best_program,program_score,time,new_updated_rules
1,,0.25,0.13072896003723145,New Rule: 
2,,0.25,0.0923457145690918,No updates
3,"replace_cvc("""", int_to_str_cvc(1), concat_cvc(_arg_1, _arg_1))",0.25,0.06420516967773438,No updates
4,"replace_cvc("""", substr_cvc(_arg_1, 1, 1), int_to_str_cvc(1))",0.25,0.09525799751281738,No updates
5,"replace_cvc("""", int_to_str_cvc(1), if true
        _arg_1
    else
        _arg_1
    end)",0.25,0.10672211647033691,No updates
6,"replace_cvc("" "", at_cvc("" "", 1), concat_cvc("""", """"))",0.25,0.11397480964660645,No updates
7,"substr_cvc(concat_cvc("""", """"), -1, -1 + -1)",0.25,0.09306979179382324,No updates
8,"replace_cvc(concat_cvc("""", """"), at_cvc(_arg_1, 1), int_to_str_cvc(1))",0.25,0.0829925537109375,No updates
9,"if false
    replace_cvc(_arg_1, "" "", "" "")
else
    concat_cvc("""", """")
end",0.25,0.05512070655822754,No updates
10,"if false
    concat_cvc(_arg_1, _arg_1)
else
    replace_cvc(_arg_1, _arg_1, """")
end",0.25,0.11839604377746582,No updates
11,"replace_cvc(concat_cvc("" "", """"), replace_cvc(_arg_1, _arg_1, "" ""), """")",0.25,0.09322881698608398,No updates
12,"replace_cvc("" "", concat_cvc("""", "" ""), replace_cvc(_arg_1, _arg_1, """"))",0.25,0.09291672706604004,No updates
13,"replace_cvc(at_cvc("" "", 1), if true
        "" ""
    else
        _arg_1
    end, """")",0.25,0.09415769577026367,No updates
14,"replace_cvc(replace_cvc("""", """", """"), _arg_1, concat_cvc(_arg_1, _arg_1))",0.25,0.10430717468261719,No updates
15,"replace_cvc(_arg_1, if true
        _arg_1
    else
        _arg_1
    end, concat_cvc("""", """"))",0.25,0.11479568481445312,No updates
16,"replace_cvc(_arg_1, replace_cvc("" "", "" "", _arg_1), concat_cvc("""", """"))",0.25,0.0933694839477539,No updates
17,"substr_cvc(substr_cvc(_arg_1, 1, 1), 1 + 1, 1)",0.25,0.09053516387939453,No updates
18,"substr_cvc(concat_cvc(_arg_1, _arg_1), if true
        1
    else
        1
    end, 0)",0.25,0.09165692329406738,No updates
19,"substr_cvc(int_to_str_cvc(0), 1 + 1, 1 + 0)",0.25,0.10502910614013672,No updates
20,"substr_cvc(_arg_1, 1 + 1, indexof_cvc(_arg_1, _arg_1, 1))",0.25,0.08398556709289551,No updates
21,"replace_cvc("""", if false
        """"
    else
        "" ""
    end, substr_cvc("" "", 0, -1))",0.25,0.07959938049316406,No updates
22,"substr_cvc("""", if false
        1
    else
        1
    end, if true
        0
    else
        1
    end)",0.25,0.10235333442687988,No updates
23,"replace_cvc(if false
        _arg_1
    else
        """"
    end, at_cvc(_arg_1, 1), int_to_str_cvc(1))",0.25,0.08789300918579102,No updates
24,"substr_cvc(concat_cvc(_arg_1, "" ""), 1 - 0, 1 + -1)",0.25,0.10020208358764648,No updates
25,"substr_cvc(prefixof_cvc("" "", """"), 1 + -1, -1 + -1)",0.0,0.10727763175964355,No updates
26,"replace_cvc(if true
        """"
    else
        _arg_1
    end, int_to_str_cvc(1), at_cvc(_arg_1, 1))",0.25,0.10942530632019043,No updates
27,"replace_cvc(concat_cvc("""", """"), int_to_str_cvc(1), replace_cvc(_arg_1, _arg_1, _arg_1))",0.25,0.09188461303710938,No updates
28,"if true
    if true
        """"
    else
        _arg_1
    end
else
    if true
        _arg_1
    else
        _arg_1
    end
end",0.25,0.07690095901489258,No updates
29,"if true
    substr_cvc(_arg_1, 1, 0)
else
    replace_cvc(_arg_1, _arg_1, _arg_1)
end",0.25,0.08912849426269531,No updates
30,"substr_cvc(substr_cvc("" "", 1, 1), 1, indexof_cvc("""", _arg_1, 1))",0.25,0.08629179000854492,No updates
31,"substr_cvc(substr_cvc("" "", 1, 1), 1, if true
        0
    else
        1
    end)",0.25,0.08243536949157715,No updates
32,"replace_cvc(substr_cvc("""", 0, -1), replace_cvc(_arg_1, _arg_1, _arg_1), _arg_1)",0.25,0.08924555778503418,No updates
33,"replace_cvc(concat_cvc(_arg_1, """"), concat_cvc(_arg_1, """"), concat_cvc("""", """"))",0.25,0.10449576377868652,No updates
34,"replace_cvc(concat_cvc("" "", "" ""), concat_cvc("" "", "" ""), suffixof_cvc("" "", "" ""))",0.0,0.11944460868835449,No updates
35,"replace_cvc(prefixof_cvc("" "", _arg_1), contains_cvc("" "", """"), suffixof_cvc(_arg_1, _arg_1))",0.0,0.10715746879577637,No updates
36,"replace_cvc(suffixof_cvc("""", "" ""), suffixof_cvc("" "", _arg_1), prefixof_cvc(_arg_1, """"))",0.0,0.10747528076171875,No updates
37,"replace_cvc(contains_cvc("""", """"), prefixof_cvc("""", "" ""), concat_cvc(_arg_1, "" ""))",0.0,0.10227251052856445,No updates
38,"replace_cvc(at_cvc("" "", 1), concat_cvc("""", "" ""), concat_cvc("""", """"))",0.25,0.10241866111755371,No updates
