problem_name,budgeted_runtime,budgeted_iterations,budgeted_best_program,budgeted_best_score,control_runtime,control_iterations,control_best_program,control_best_score
problem_11604909,11.244510889053345,101,Nothing,0.0,13.022725105285645,100,_arg_1,0.0
problem_12948338,9.562805891036987,101,"indexof_cvc(replace_cvc(_arg_1, "" "", _arg_2), at_cvc(_arg_2, 1), 1)",0.6666666666666666,8.397599220275879,100,"indexof_cvc(replace_cvc(_arg_1, "" "", _arg_2), at_cvc(_arg_2, 1), 1)",0.6666666666666666
problem_17212077,10.136794805526732,101,Nothing,0.0,8.669404745101929,100,_arg_1,0.0
problem_39060015,10.58537745475769,101,,0.5,12.664414405822754,100,,0.5
problem_extract_word_containing_specific_text,10.012946128845217,101,Nothing,0.0,11.606929540634155,100,_arg_1,0.0
problem_extract_word_that_begins_with_specific_character,8.689125299453735,101,Nothing,0.0,8.098535299301147,100,_arg_1,0.0
problem_find_nth_occurrence_of_character,11.472512006759644,101,"indexof_cvc(_arg_1, ""_"", _arg_2)",0.3333333333333333,9.25792908668518,100,"indexof_cvc(_arg_1, ""_"", _arg_2)",0.3333333333333333
problem_firstname,1.378425359725952,13,"substr_cvc(concat_cvc("" "", _arg_1), 2, indexof_cvc(_arg_1, "" "", 0))",1.0,0.2653930187225342,3,"substr_cvc(concat_cvc("" "", _arg_1), 2, indexof_cvc(_arg_1, "" "", 0))",1.0
problem_firstname_long,4.651413202285767,35,"substr_cvc(concat_cvc("" "", _arg_1), 2, indexof_cvc(_arg_1, "" "", 0))",1.0,0.5066728591918945,3,"substr_cvc(concat_cvc("" "", _arg_1), 2, indexof_cvc(_arg_1, "" "", 0))",1.0
problem_firstname_long_repeat,5.3259570598602295,35,"substr_cvc(concat_cvc("" "", _arg_1), 2, indexof_cvc(_arg_1, "" "", 0))",1.0,1.1616261005401611,3,"substr_cvc(concat_cvc("" "", _arg_1), 2, indexof_cvc(_arg_1, "" "", 0))",1.0
problem_firstname_small,0.6237976551055908,8,"substr_cvc(concat_cvc("" "", _arg_1), 2, indexof_cvc(_arg_1, "" "", 0))",1.0,0.7617979049682617,2,"substr_cvc(concat_cvc("" "", _arg_1), 2, indexof_cvc(_arg_1, "" "", 0))",1.0
problem_get_domain_from_email_address_2,8.561784267425537,101,Nothing,0.0,7.763883352279663,100,_arg_1,0.0
problem_get_domain_name_from_url,8.807905912399292,101,Nothing,0.0,8.006683588027954,100,_arg_1,0.0
problem_get_first_name_from_name,6.097126483917236,64,"substr_cvc(concat_cvc("" "", _arg_1), 1 + 1, indexof_cvc(_arg_1, "" "", 1))",1.0,5.583601713180542,63,"substr_cvc(concat_cvc("" "", _arg_1), 1 + 1, indexof_cvc(_arg_1, "" "", 1))",1.0
problem_get_first_name_from_name_with_comma,9.275742769241331,101,Nothing,0.0,8.385596513748169,100,_arg_1,0.0
problem_get_first_word,6.185934543609619,65,"substr_cvc(concat_cvc("" "", _arg_1), 1 + 1, indexof_cvc(_arg_1, "" "", 1))",1.0,5.576504945755005,63,"substr_cvc(concat_cvc("" "", _arg_1), 1 + 1, indexof_cvc(_arg_1, "" "", 1))",1.0
problem_get_last_line_in_cell,9.649868249893188,101,_arg_1,0.3333333333333333,9.416097640991213,100,_arg_1,0.3333333333333333
problem_get_last_name_from_name,9.858545541763306,101,Nothing,0.0,8.942614793777466,100,_arg_1,0.0
problem_get_last_name_from_name_with_comma,8.75765585899353,101,Nothing,0.0,7.892031192779541,100,_arg_1,0.0
problem_get_last_word,9.967767000198364,101,Nothing,0.0,9.026007175445557,100,_arg_1,0.0
problem_get_middle_name_from_full_name,10.064931631088257,101,,0.25,9.004394292831421,100,,0.25
problem_initials,10.041878461837769,101,Nothing,0.0,9.04080605506897,100,_arg_1,0.0
problem_initials_long,15.379966974258425,101,Nothing,0.0,14.193151950836182,100,_arg_1,0.0
problem_initials_long_repeat,32.311917781829834,101,Nothing,0.0,29.370887994766235,100,_arg_1,0.0
problem_initials_small,11.16370940208435,101,Nothing,0.0,12.902870655059814,100,_arg_1,0.0
