attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.0859060287475586,No updates
2,"replace_cvc("" "", ""-"", concat_cvc(""("", _arg_1))",0.0,0.07641243934631348,No updates
3,"substr_cvc("" "", 5, 4 + 4)",0.0,0.0764167308807373,No updates
4,"replace_cvc(replace_cvc("" "", "" "", "" ""), ""("", "")"")",0.0,0.07443451881408691,No updates
5,"replace_cvc(contains_cvc(""("", "")""), int_to_str_cvc(1), ""("")",0.0,0.06932544708251953,No updates
6,"replace_cvc("" "", replace_cvc(_arg_1, _arg_1, ""-""), ""("")",0.0,0.08614945411682129,No updates
7,"replace_cvc("")"", int_to_str_cvc(2), at_cvc("")"", 4))",0.0,0.07253241539001465,No updates
8,"substr_cvc(replace_cvc("")"", "")"", _arg_1), 0, 2)",0.0,0.07169580459594727,No updates
9,"replace_cvc(""("", "")"", replace_cvc("" "", _arg_1, _arg_1))",0.0,0.06583690643310547,No updates
10,"substr_cvc(""("", 1, indexof_cvc(""("", "")"", 5))",0.0,0.08323884010314941,No updates
11,"at_cvc(suffixof_cvc(_arg_1, _arg_1), 5 + 3)",0.0,0.08664655685424805,No updates
12,"replace_cvc("")"", substr_cvc(_arg_1, 3, 4), int_to_str_cvc(1))",0.0,0.08433961868286133,No updates
13,"replace_cvc(at_cvc(""("", 3), contains_cvc("")"", ""-""), "")"")",0.0,0.0967862606048584,No updates
14,"replace_cvc(concat_cvc("" "", _arg_1), contains_cvc("")"", ""-""), "")"")",0.0,0.08898735046386719,No updates
15,"replace_cvc(prefixof_cvc(_arg_1, _arg_1), contains_cvc("")"", ""-""), "")"")",0.0,0.10333013534545898,No updates
16,"replace_cvc(prefixof_cvc(""-"", _arg_1), contains_cvc("")"", ""-""), "")"")",0.0,0.1125648021697998,No updates
17,"replace_cvc(suffixof_cvc("")"", _arg_1), contains_cvc("")"", ""-""), "")"")",0.0,0.10302734375,No updates
18,"replace_cvc(contains_cvc(""("", _arg_1), contains_cvc("")"", ""-""), "")"")",0.0,0.09641885757446289,No updates
19,"replace_cvc(at_cvc("")"", 1), at_cvc(""-"", 0), "")"")",0.0,0.0946035385131836,No updates
20,"replace_cvc(suffixof_cvc("" "", "" ""), at_cvc(""("", 2), "")"")",0.0,0.07833456993103027,No updates
21,"replace_cvc(""-"", replace_cvc("")"", _arg_1, "")""), int_to_str_cvc(5))",0.0,0.07144975662231445,No updates
22,"replace_cvc(replace_cvc(_arg_1, "")"", ""-""), int_to_str_cvc(0), "")"")",0.0,0.06369137763977051,No updates
23,"replace_cvc(int_to_str_cvc(2), replace_cvc("" "", "" "", ""-""), "")"")",0.0,0.07865405082702637,No updates
24,"replace_cvc(at_cvc(""("", 3), "" "", suffixof_cvc(""-"", "")""))",0.0,0.0910184383392334,No updates
25,"replace_cvc(int_to_str_cvc(2), ""-"", substr_cvc(""-"", 1, 3))",0.0,0.09007382392883301,No updates
26,"replace_cvc(_arg_1, suffixof_cvc(""-"", ""(""), suffixof_cvc(""-"", "")""))",0.0,0.09878873825073242,No updates
27,"replace_cvc("" "", suffixof_cvc(""-"", ""(""), suffixof_cvc(""-"", "")""))",0.0,0.10779571533203125,No updates
28,"replace_cvc(""("", suffixof_cvc(""-"", ""(""), suffixof_cvc(""-"", "")""))",0.0,0.09812259674072266,No updates
29,"replace_cvc("")"", suffixof_cvc(""-"", ""(""), suffixof_cvc(""-"", "")""))",0.0,0.09841418266296387,No updates
30,"replace_cvc(""-"", suffixof_cvc(""-"", ""(""), suffixof_cvc(""-"", "")""))",0.0,0.1012418270111084,No updates
31,"replace_cvc(""("", at_cvc(""("", 0), suffixof_cvc(""-"", "")""))",0.0,0.08825945854187012,No updates
32,"replace_cvc(int_to_str_cvc(3), int_to_str_cvc(4), suffixof_cvc(""-"", "")""))",0.0,0.08643865585327148,No updates
33,"replace_cvc(at_cvc("")"", 3), ""-"", at_cvc(_arg_1, 3))",0.0,0.08511829376220703,No updates
34,"replace_cvc(suffixof_cvc("" "", "")""), ""("", at_cvc(""("", 1))",0.0,0.0891408920288086,No updates
35,"replace_cvc("" "", prefixof_cvc(_arg_1, _arg_1), at_cvc("")"", 5))",0.0,0.09756183624267578,No updates
36,"replace_cvc(""-"", suffixof_cvc("" "", ""-""), at_cvc(_arg_1, 3))",0.0,0.08093380928039551,No updates
37,"substr_cvc(at_cvc("" "", 1), 4 + 4, 1)",0.0,0.08205533027648926,No updates
38,"substr_cvc(concat_cvc(_arg_1, _arg_1), 0 - 2, 5)",0.0,0.07252025604248047,No updates
39,"substr_cvc(concat_cvc(""-"", "")""), 2 - 1, 3)",0.0,0.09960484504699707,No updates
40,"substr_cvc(prefixof_cvc(""-"", "" ""), 4 - 0, 1)",0.0,0.10068368911743164,No updates
41,"substr_cvc(suffixof_cvc("")"", ""-""), 5 - 4, 5)",0.0,0.11076927185058594,No updates
42,"substr_cvc(contains_cvc("")"", "")""), 1 + 3, 3)",0.0,0.09351110458374023,No updates
43,"replace_cvc(concat_cvc(""("", ""-""), _arg_1, prefixof_cvc("" "", "")""))",0.0,0.09535813331604004,No updates
44,"replace_cvc(prefixof_cvc("" "", ""-""), _arg_1, prefixof_cvc("" "", "")""))",0.0,0.11149311065673828,No updates
45,"replace_cvc(suffixof_cvc(_arg_1, ""-""), _arg_1, prefixof_cvc("" "", "")""))",0.0,0.1031036376953125,No updates
46,"replace_cvc(suffixof_cvc(""-"", ""-""), _arg_1, prefixof_cvc("" "", "")""))",0.0,0.10344791412353516,No updates
47,"replace_cvc(contains_cvc("")"", ""-""), _arg_1, prefixof_cvc("" "", "")""))",0.0,0.09863615036010742,No updates
48,"substr_cvc(at_cvc(_arg_1, 3), 4, 2 - 1)",0.0,0.07978343963623047,No updates
49,"substr_cvc(at_cvc(""-"", 2), 5, 0 - 5)",0.0,0.06348085403442383,No updates
50,"substr_cvc(concat_cvc(""-"", _arg_1), 0, 5 + 3)",0.0,0.10243654251098633,No updates
