attempt,best_program,program_score,time,new_updated_rules
1,"substr_cvc(_arg_1, 1, 3)",0.3333333333333333,0.08476877212524414,"New Rule: substr_cvc(_arg_1, 1, 3)"
2,"substr_cvc(_arg_1, 1, 3)",0.3333333333333333,0.0901329517364502,No updates
3,"if true
    concat_cvc(""%"", substr_cvc(_arg_1, 1, 3))
else
    "" ""
end",0.0,0.07277536392211914,No updates
4,"at_cvc(substr_cvc(substr_cvc(_arg_1, 1, 3), 2, 7), 1)",0.0,0.0849609375,No updates
5,"replace_cvc(at_cvc(_arg_1, 0), ""%"", "" "")",0.0,0.08246731758117676,No updates
6,"substr_cvc(concat_cvc(_arg_1, _arg_1), 1, 3)",0.3333333333333333,0.07624340057373047,No updates
7,"substr_cvc(_arg_1, 1 + 0, 3)",0.3333333333333333,0.10265588760375977,No updates
8,"substr_cvc(_arg_1, 2 - 1, 3)",0.3333333333333333,0.07047629356384277,No updates
9,"substr_cvc(_arg_1, 1, 1 + 2)",0.3333333333333333,0.0777120590209961,No updates
10,"substr_cvc(_arg_1, 3, 0 - 7)",0.0,0.06733322143554688,No updates
11,"substr_cvc("" "", 8, 7 == 8)",0.0,0.07683587074279785,No updates
12,"substr_cvc(_arg_1, 1, if true
        3
    else
        1
    end)",0.3333333333333333,0.09632349014282227,No updates
13,"substr_cvc(""%"", -1, if false
        0
    else
        1
    end)",0.0,0.08124947547912598,No updates
14,"replace_cvc(contains_cvc(substr_cvc(_arg_1, 1, 3), """"), """", int_to_str_cvc(0))",0.0,0.07808208465576172,No updates
15,"if true
    substr_cvc(_arg_1, 1, 3)
else
    _arg_1
end",0.3333333333333333,0.0482480525970459,No updates
16,"if false
    _arg_1
else
    substr_cvc(_arg_1, 1, 3)
end",0.3333333333333333,0.04613041877746582,No updates
17,"if false
    substr_cvc(_arg_1, 1, 3)
else
    substr_cvc(_arg_1, 1, 3)
end",0.3333333333333333,0.0661611557006836,No updates
18,"replace_cvc(substr_cvc("" "", 4, 2), ""%"", """")",0.0,0.08108401298522949,No updates
19,"at_cvc(concat_cvc("""", """"), 7 - 3)",0.0,0.09834837913513184,No updates
20,"at_cvc(prefixof_cvc("""", substr_cvc(_arg_1, 1, 3)), 3 + 4)",0.0,0.12721014022827148,No updates
21,"at_cvc(suffixof_cvc("" "", """"), 1 == 5)",0.0,0.09717726707458496,No updates
22,"at_cvc(contains_cvc("" "", substr_cvc(_arg_1, 1, 3)), 6 + 6)",0.0,0.0867767333984375,No updates
23,"at_cvc(at_cvc(_arg_1, 7), 4 + 6)",0.0,0.08340144157409668,No updates
24,"at_cvc(at_cvc(""%"", -1), 0 == 7)",0.0,0.08857274055480957,No updates
25,"at_cvc(int_to_str_cvc(9), indexof_cvc(substr_cvc(_arg_1, 1, 3), "" "", 8))",0.0,0.08008503913879395,No updates
26,"replace_cvc(int_to_str_cvc(8), suffixof_cvc("" "", "" ""), substr_cvc(_arg_1, 1, 3))",0.0,0.09640908241271973,No updates
27,"replace_cvc(at_cvc(""%"", 0), int_to_str_cvc(7), substr_cvc(_arg_1, 1, 3))",0.0,0.08505630493164062,No updates
28,"replace_cvc(_arg_1, substr_cvc(_arg_1, 3, 7), substr_cvc(_arg_1, 1, 3))",0.0,0.07242941856384277,No updates
29,"replace_cvc(""%"", substr_cvc("""", 9, 5), substr_cvc(_arg_1, 1, 3))",0.0,0.08809423446655273,No updates
30,"replace_cvc(_arg_1, _arg_1, substr_cvc(_arg_1, 1, 3))",0.3333333333333333,0.0819542407989502,No updates
31,"replace_cvc("" "", "" "", substr_cvc(_arg_1, 1, 3))",0.3333333333333333,0.07406187057495117,No updates
32,"replace_cvc(substr_cvc(_arg_1, 1, 3), ""%"", substr_cvc("""", 8, 3))",0.0,0.08850431442260742,No updates
33,"substr_cvc(int_to_str_cvc(0), 4 - 4, 4)",0.0,0.07500648498535156,No updates
34,"substr_cvc(int_to_str_cvc(3), 1 + 0, 5)",0.0,0.06877470016479492,No updates
35,"substr_cvc(int_to_str_cvc(5), 4 - 7, 6)",0.0,0.07541060447692871,No updates
36,"substr_cvc(replace_cvc(_arg_1, _arg_1, _arg_1), 1, 3)",0.3333333333333333,0.06991910934448242,No updates
37,"substr_cvc(replace_cvc(_arg_1, ""%"", ""%""), 1, 3)",0.3333333333333333,0.08689165115356445,No updates
38,"substr_cvc(if true
        _arg_1
    else
        _arg_1
    end, 1, 3)",0.3333333333333333,0.0702047348022461,No updates
39,"substr_cvc(substr_cvc(_arg_1, 1, 7), 1, 3)",0.3333333333333333,0.06371426582336426,No updates
40,"substr_cvc(substr_cvc(_arg_1, 7, -1), 1, 0)",0.0,0.0732564926147461,No updates
41,"substr_cvc(substr_cvc("""", 3, 6), 6, -1)",0.0,0.0702674388885498,No updates
42,"substr_cvc(substr_cvc("" "", 0, -1), 2, 2)",0.0,0.09027457237243652,No updates
43,"substr_cvc(substr_cvc("" "", 7, 6), 9, 3)",0.0,0.07597136497497559,No updates
44,"substr_cvc(substr_cvc(""%"", 4, -1), 5, 4)",0.0,0.07320594787597656,No updates
45,"substr_cvc(substr_cvc(substr_cvc(_arg_1, 1, 3), 0, 7), -1, 5)",0.0,0.09285569190979004,No updates
46,"substr_cvc(_arg_1, if true
        1
    else
        1
    end, 3)",0.3333333333333333,0.060709476470947266,No updates
47,"substr_cvc(_arg_1, indexof_cvc(_arg_1, _arg_1, 1), 3)",0.3333333333333333,0.09443783760070801,No updates
48,"substr_cvc("""", indexof_cvc("" "", """", 0), 8)",0.0,0.08776569366455078,No updates
49,"substr_cvc(substr_cvc(_arg_1, 1, 3), indexof_cvc(""%"", ""%"", 7), 9)",0.0,0.07693123817443848,No updates
50,"substr_cvc(int_to_str_cvc(0), 5, 4 + 1)",0.0,0.07076525688171387,No updates
51,"substr_cvc(int_to_str_cvc(3), 1, 0 == 0)",0.0,0.07413911819458008,No updates
52,"substr_cvc(int_to_str_cvc(5), 5, 7 + -1)",0.0,0.08752775192260742,No updates
53,"substr_cvc(int_to_str_cvc(8), 1, 3 == 2)",0.0,0.07131600379943848,No updates
54,"substr_cvc(_arg_1, 7, indexof_cvc("""", substr_cvc(_arg_1, 1, 3), 3))",0.0,0.06835222244262695,No updates
