attempt,best_program,program_score,iterations,time_seconds
1,_arg_2,0.4,10000,0.07068705558776855
2,"replace_cvc(_arg_2, ""CT"", ""CT"")",0.4,10000,0.08099508285522461
3,"replace_cvc(""AK"", ""AK"", _arg_2)",0.4,10000,0.06904792785644531
4,"replace_cvc(""CA"", ""CA"", _arg_2)",0.4,10000,0.06949186325073242
5,"replace_cvc(""FL"", ""FL"", _arg_2)",0.4,10000,0.06941103935241699
6,"replace_cvc(""ID"", ""ID"", _arg_2)",0.4,10000,0.06952309608459473
7,"replace_cvc(""KS"", ""KS"", _arg_2)",0.4,10000,0.08022022247314453
8,"replace_cvc(""ME"", ""ME"", _arg_2)",0.4,10000,0.0694890022277832
9,"replace_cvc(""MI"", ""MI"", _arg_2)",0.4,10000,0.0698249340057373
10,"replace_cvc(""MT"", ""MT"", _arg_2)",0.4,10000,0.06946992874145508
11,"replace_cvc(""NH"", ""NH"", _arg_2)",0.4,10000,0.06916284561157227
12,"replace_cvc(""NY"", ""NY"", _arg_2)",0.4,10000,0.06945991516113281
13,"replace_cvc(""OK"", ""OK"", _arg_2)",0.4,10000,0.0804450511932373
14,"replace_cvc(""RI"", ""RI"", _arg_2)",0.4,10000,0.06909394264221191
15,"replace_cvc(""TN"", ""TN"", _arg_2)",0.4,10000,0.06940197944641113
16,"replace_cvc(""VA"", ""VA"", _arg_2)",0.4,10000,0.06906914710998535
17,"replace_cvc(""WI"", ""WI"", _arg_2)",0.4,10000,0.09695005416870117
18,"at_cvc(concat_cvc(""ND"", ""New York""), 2)",0.0,10000,0.08617997169494629
19,"at_cvc(prefixof_cvc(""SD"", ""RI""), 0)",0.0,10000,0.0881509780883789
20,"at_cvc(suffixof_cvc(""WI"", ""MS""), 1)",0.0,10000,0.10932397842407227
21,"replace_cvc(_arg_2, at_cvc("" "", 1), "" "")",0.4,10000,0.11256599426269531
22,"replace_cvc("" "", at_cvc("" "", 1), _arg_2)",0.4,10000,0.08839797973632812
23,"replace_cvc("","", at_cvc("","", 1), _arg_2)",0.4,10000,0.08534598350524902
24,"replace_cvc("","", at_cvc(""KY"", 1), ""HI"")",0.0,10000,0.09699797630310059
25,"replace_cvc(""AK"", at_cvc(""MO"", 0), ""MA"")",0.0,10000,0.08878803253173828
26,"replace_cvc(""AZ"", at_cvc(""NY"", 2), ""NM"")",0.0,10000,0.09790897369384766
27,"replace_cvc(""AR"", at_cvc(""SC"", 1), ""SD"")",0.0,10000,0.09028983116149902
28,"replace_cvc(""CA"", at_cvc(""WV"", 1), _arg_1)",0.0,10000,0.09720993041992188
29,"replace_cvc(""CT"", at_cvc(""AK"", 0), ""CT"")",0.0,10000,0.08881187438964844
30,"replace_cvc(""DE"", at_cvc(""FL"", 2), ""KY"")",0.0,10000,0.08799195289611816
31,"replace_cvc(""FL"", at_cvc(""KY"", 1), ""NE"")",0.0,10000,0.09621500968933105
32,"replace_cvc(""GA"", at_cvc(""MO"", 0), ""OR"")",0.0,10000,0.08832097053527832
33,"replace_cvc(""HI"", at_cvc(""NY"", 2), ""WA"")",0.0,10000,0.09786009788513184
34,"replace_cvc(""ID"", at_cvc(""SC"", 2), ""AZ"")",0.0,10000,0.08852100372314453
35,"replace_cvc(""IL"", at_cvc(""WV"", 1), ""IL"")",0.0,10000,0.10017609596252441
36,"replace_cvc(""IA"", at_cvc(""AK"", 0), ""MN"")",0.0,10000,0.09065604209899902
37,"replace_cvc(""KS"", at_cvc(""FL"", 2), ""NC"")",0.0,10000,0.0969400405883789
38,"replace_cvc(""KY"", at_cvc(""KY"", 1), ""TX"")",0.0,10000,0.08900594711303711
39,"replace_cvc(""LA"", at_cvc(""MO"", 1), ""New York"")",0.0,10000,0.0892939567565918
40,"replace_cvc(""ME"", at_cvc(""NC"", 0), ""FL"")",0.0,10000,0.09763193130493164
41,"replace_cvc(""MD"", at_cvc(""SC"", 2), ""ME"")",0.0,10000,0.09122204780578613
42,"replace_cvc(""MA"", at_cvc(""WV"", 1), ""NH"")",0.0,10000,0.12410902976989746
43,"replace_cvc(""MN"", at_cvc(""AK"", 0), ""RI"")",0.0,10000,0.09067702293395996
44,"replace_cvc(""MS"", at_cvc(""FL"", 2), ""WI"")",0.0,10000,0.08940291404724121
45,"replace_cvc(""MO"", at_cvc(""KY"", 2), ""CA"")",0.0,10000,0.09456181526184082
46,"replace_cvc(""MT"", at_cvc(""MO"", 1), ""IA"")",0.0,10000,0.10058999061584473
47,"replace_cvc(""NE"", at_cvc(""NC"", 0), ""MO"")",0.0,10000,0.13696599006652832
48,"replace_cvc(""NV"", at_cvc(""SC"", 2), ""OH"")",0.0,10000,0.09058403968811035
49,"replace_cvc(""NH"", at_cvc(""WV"", 1), ""VT"")",0.0,10000,0.08943390846252441
50,"replace_cvc(""NM"", at_cvc(""AK"", 1), "","")",0.0,10000,0.09218907356262207
51,"replace_cvc(""NY"", at_cvc(""GA"", 0), ""HI"")",0.0,10000,0.11315107345581055
52,"replace_cvc(""NC"", at_cvc(""KY"", 2), ""MA"")",0.0,10000,0.09016013145446777
53,"replace_cvc(""ND"", at_cvc(""MO"", 1), ""NM"")",0.0,10000,0.08961987495422363
54,"replace_cvc(""OH"", at_cvc(""NC"", 0), ""SD"")",0.0,10000,0.0892179012298584
55,"replace_cvc(""OK"", at_cvc(""SD"", 0), _arg_1)",0.0,10000,0.10274219512939453
56,"replace_cvc(""OR"", at_cvc(""WV"", 2), ""CT"")",0.0,10000,0.0888979434967041
57,"replace_cvc(""RI"", at_cvc(""AK"", 1), ""KY"")",0.0,10000,0.08902692794799805
58,"replace_cvc(""SC"", at_cvc(""GA"", 0), ""NE"")",0.0,10000,0.08797311782836914
59,"replace_cvc(""SD"", at_cvc(""KY"", 2), ""OR"")",0.0,10000,0.09938597679138184
60,"replace_cvc(""TN"", at_cvc(""MO"", 1), ""WA"")",0.0,10000,0.09009313583374023
61,"replace_cvc(""TX"", at_cvc(""NC"", 1), ""AZ"")",0.0,10000,0.0875539779663086
62,"replace_cvc(""UT"", at_cvc(""SD"", 0), ""IL"")",0.0,10000,0.10028886795043945
63,"replace_cvc(""VT"", at_cvc(""WV"", 2), ""MN"")",0.0,10000,0.09004020690917969
64,"replace_cvc(""WA"", at_cvc(""AK"", 1), ""NC"")",0.0,10000,0.0887448787689209
65,"replace_cvc(""WV"", at_cvc(""GA"", 0), ""TX"")",0.0,10000,0.09922599792480469
66,"replace_cvc(""WI"", at_cvc(""LA"", 0), ""New York"")",0.0,10000,0.08980798721313477
67,"replace_cvc(""USA"", at_cvc(""MO"", 2), ""FL"")",0.0,10000,0.12233304977416992
68,"replace_cvc(_arg_1, concat_cvc(""New York"", _arg_2), ""ME"")",0.0,10000,0.12176990509033203
69,"replace_cvc(_arg_1, concat_cvc(""AK"", ""MA""), ""NH"")",0.0,10000,0.12091612815856934
70,"replace_cvc(_arg_1, concat_cvc(""CA"", ""UT""), ""RI"")",0.0,10000,0.1211249828338623
71,"replace_cvc(_arg_1, concat_cvc(""FL"", ""IL""), ""WI"")",0.0,10000,0.12065410614013672
72,"replace_cvc(_arg_1, concat_cvc(""ID"", ""OR""), ""CA"")",0.0,10000,0.12066793441772461
73,"replace_cvc(_arg_1, concat_cvc(""KS"", ""CO""), ""IA"")",0.0,10000,0.12482595443725586
74,"replace_cvc(_arg_1, concat_cvc(""ME"", ""NH""), ""MO"")",0.0,10000,0.12108111381530762
75,"replace_cvc(_arg_1, concat_cvc(""MN"", _arg_2), ""OH"")",0.0,10000,0.12061285972595215
76,"replace_cvc(_arg_1, concat_cvc(""MT"", ""MA""), ""VT"")",0.0,10000,0.12085199356079102
77,"replace_cvc(_arg_1, concat_cvc(""NH"", ""VT""), "","")",0.0,10000,0.12105393409729004
78,"replace_cvc(_arg_1, concat_cvc(""NC"", ""IN""), ""HI"")",0.0,10000,0.12085604667663574
79,"replace_cvc(_arg_1, concat_cvc(""OK"", ""OR""), ""MA"")",0.0,10000,0.12092900276184082
80,"replace_cvc(_arg_1, concat_cvc(""SC"", ""CO""), ""NM"")",0.0,10000,0.12071418762207031
