attempt,best_program,program_score,iterations,time_seconds
1,_arg_1,0.0,10000,0.09066200256347656
2,"replace_cvc(int_to_str_cvc(1), _arg_1, contains_cvc("""", """"))",0.0,10000,0.0576169490814209
3,"replace_cvc(_arg_1, substr_cvc(_arg_1, 0, 0), int_to_str_cvc(-1))",0.0,10000,0.09369397163391113
4,"replace_cvc(int_to_str_cvc(-1), if true
        "" ""
    else
        "" ""
    end, _arg_1)",0.0,10000,0.08979582786560059
5,"replace_cvc("""", at_cvc("" "", 1), contains_cvc("" "", """"))",0.0,10000,0.08368515968322754
6,"substr_cvc(concat_cvc("""", """"), 0, -1 - -1)",0.0,10000,0.11855697631835938
7,"replace_cvc(concat_cvc("" "", """"), suffixof_cvc(_arg_1, _arg_1), int_to_str_cvc(1))",0.0,10000,0.07840085029602051
8,"if false
    replace_cvc(_arg_1, "" "", """")
else
    contains_cvc(_arg_1, """")
end",0.0,10000,0.052197933197021484
9,"if true
    prefixof_cvc("" "", "" "")
else
    replace_cvc("" "", _arg_1, "" "")
end",0.0,10000,0.0793449878692627
10,"replace_cvc(concat_cvc("" "", _arg_1), replace_cvc("""", _arg_1, """"), _arg_1)",0.0,10000,0.09308314323425293
11,"replace_cvc("""", suffixof_cvc("" "", "" ""), replace_cvc("""", """", """"))",0.0,10000,0.09541702270507812
12,"replace_cvc(suffixof_cvc(_arg_1, _arg_1), if true
        "" ""
    else
        """"
    end, "" "")",0.0,10000,0.11150979995727539
13,"replace_cvc(replace_cvc("""", """", _arg_1), """", suffixof_cvc("" "", _arg_1))",0.0,10000,0.08993792533874512
14,"replace_cvc(concat_cvc("" "", _arg_1), int_to_str_cvc(1), prefixof_cvc("" "", """"))",0.0,10000,0.08905506134033203
15,"replace_cvc(_arg_1, replace_cvc("" "", _arg_1, """"), prefixof_cvc("" "", "" ""))",0.0,10000,0.08760595321655273
16,"replace_cvc("" "", prefixof_cvc(_arg_1, _arg_1), substr_cvc("""", 1, 1))",0.0,10000,0.09455084800720215
17,"substr_cvc(suffixof_cvc("""", _arg_1), indexof_cvc("""", "" "", 1), 0)",0.0,10000,0.08442187309265137
18,"substr_cvc(int_to_str_cvc(1), 0 == 1, 1 + -1)",0.0,10000,0.08260393142700195
19,"substr_cvc(contains_cvc("" "", """"), 0, indexof_cvc("""", """", 1))",0.0,10000,0.08525300025939941
20,"replace_cvc("""", if false
        """"
    else
        "" ""
    end, substr_cvc("" "", 0, 0))",0.0,10000,0.0696260929107666
21,"substr_cvc("""", if true
        -1
    else
        1
    end, if true
        0
    else
        -1
    end)",0.0,10000,0.08291316032409668
22,"replace_cvc(if true
        "" ""
    else
        "" ""
    end, at_cvc("""", -1), int_to_str_cvc(1))",0.0,10000,0.0905759334564209
23,"substr_cvc(concat_cvc(_arg_1, "" ""), 1 - 1, -1 == 0)",0.0,10000,0.09172701835632324
24,"substr_cvc(prefixof_cvc("" "", """"), 1 + -1, -1 + -1)",0.0,10000,0.09800887107849121
25,"substr_cvc(contains_cvc(_arg_1, "" ""), 0 == 1, 1 == 1)",0.0,10000,0.11556291580200195
26,"substr_cvc(at_cvc("" "", 1), 0 == -1, 1 + 0)",0.0,10000,0.08518195152282715
27,"replace_cvc(concat_cvc("" "", """"), if false
        """"
    else
        _arg_1
    end, int_to_str_cvc(-1))",0.0,10000,0.07004785537719727
28,"replace_cvc(contains_cvc("""", _arg_1), substr_cvc("""", -1, 0), int_to_str_cvc(1))",0.0,10000,0.07368803024291992
29,"substr_cvc(substr_cvc("""", -1, 0), 1, indexof_cvc(_arg_1, """", 0))",0.0,10000,0.10138607025146484
30,"substr_cvc(substr_cvc("""", -1, 1), -1, if true
        0
    else
        -1
    end)",0.0,10000,0.07503199577331543
31,"replace_cvc(substr_cvc("""", 0, 0), replace_cvc("" "", "" "", "" ""), _arg_1)",0.0,10000,0.07012414932250977
32,"replace_cvc(concat_cvc(_arg_1, _arg_1), suffixof_cvc(_arg_1, _arg_1), contains_cvc("" "", """"))",0.0,10000,0.0992131233215332
33,"replace_cvc(concat_cvc("" "", "" ""), concat_cvc("" "", "" ""), suffixof_cvc("" "", "" ""))",0.0,10000,0.11228704452514648
34,"replace_cvc(prefixof_cvc("" "", _arg_1), contains_cvc("" "", """"), suffixof_cvc(_arg_1, _arg_1))",0.0,10000,0.10023617744445801
35,"replace_cvc(suffixof_cvc("""", "" ""), suffixof_cvc("" "", _arg_1), prefixof_cvc(_arg_1, """"))",0.0,10000,0.09988880157470703
36,"replace_cvc(contains_cvc("""", """"), prefixof_cvc("""", "" ""), concat_cvc(_arg_1, "" ""))",0.0,10000,0.10806393623352051
37,"replace_cvc(at_cvc("""", 1), concat_cvc("""", _arg_1), contains_cvc("""", _arg_1))",0.0,10000,0.08180904388427734
38,"replace_cvc(concat_cvc(_arg_1, "" ""), at_cvc("" "", 0), concat_cvc("""", """"))",0.0,10000,0.08642792701721191
39,"replace_cvc(contains_cvc("" "", _arg_1), at_cvc("""", -1), contains_cvc("""", "" ""))",0.0,10000,0.1160881519317627
40,"replace_cvc(int_to_str_cvc(1), substr_cvc(_arg_1, -1, 1), contains_cvc("" "", _arg_1))",0.0,10000,0.0799720287322998
41,"replace_cvc(substr_cvc("""", 1, 1), """", replace_cvc("""", "" "", """"))",0.0,10000,0.08008694648742676
42,"replace_cvc(prefixof_cvc("" "", _arg_1), concat_cvc("" "", "" ""), at_cvc("" "", -1))",0.0,10000,0.08680415153503418
43,"substr_cvc(if true
        """"
    else
        """"
    end, indexof_cvc("""", """", 1), 1)",0.0,10000,0.09131813049316406
44,"substr_cvc(if false
        "" ""
    else
        """"
    end, if true
        -1
    else
        1
    end, 0)",0.0,10000,0.09120512008666992
45,"substr_cvc(int_to_str_cvc(0), indexof_cvc("""", "" "", 0), 1 + -1)",0.0,10000,0.08169984817504883
46,"replace_cvc(int_to_str_cvc(0), substr_cvc("" "", -1, 0), at_cvc("""", 1))",0.0,10000,0.09199786186218262
47,"replace_cvc(substr_cvc("""", 0, 1), int_to_str_cvc(1), substr_cvc("" "", 0, 0))",0.0,10000,0.10087895393371582
48,"substr_cvc(replace_cvc(_arg_1, "" "", "" ""), 1 + -1, 0 + -1)",0.0,10000,0.08760595321655273
49,"substr_cvc(replace_cvc("" "", """", _arg_1), 0 == 1, -1 - 1)",0.0,10000,0.08750700950622559
50,"replace_cvc(substr_cvc("" "", 1, 0), at_cvc(_arg_1, 0), prefixof_cvc("" "", """"))",0.0,10000,0.08380818367004395
51,"substr_cvc(int_to_str_cvc(1), indexof_cvc("""", _arg_1, 1), if true
        -1
    else
        -1
    end)",0.0,10000,0.08961701393127441
52,"substr_cvc(substr_cvc(_arg_1, 0, -1), -1 - 0, 1 == 1)",0.0,10000,0.08762216567993164
53,"substr_cvc(substr_cvc("" "", 1, 0), 1 - 1, 1 + 0)",0.0,10000,0.07960987091064453
54,"replace_cvc(at_cvc("""", 1), prefixof_cvc("" "", _arg_1), if false
        _arg_1
    else
        "" ""
    end)",0.0,10000,0.09560990333557129
