attempt,best_program,program_score,iterations,time_seconds
1,_arg_2,0.45,10000,0.09797787666320801
2,"if false
    concat_cvc(_arg_1, _arg_1)
else
    _arg_2
end",0.45,10000,0.04984784126281738
3,"if true
    ""New York""
else
    concat_cvc(""PA"", _arg_1)
end",0.0,10000,0.08791899681091309
4,"at_cvc(replace_cvc("" "", ""MD"", ""USA""), 1)",0.0,10000,0.08270001411437988
5,"replace_cvc(concat_cvc(_arg_2, ""CT""), ""CA"", ""CT"")",0.0,10000,0.086669921875
6,"replace_cvc(concat_cvc(""MD"", "" ""), ""New York"", ""CA"")",0.0,10000,0.09044790267944336
7,"replace_cvc(prefixof_cvc(""USA"", ""CA""), _arg_1, ""MD"")",0.0,10000,0.09442019462585449
8,"replace_cvc(suffixof_cvc("" "", "" ""), ""CT"", ""NY"")",0.0,10000,0.09451889991760254
9,"replace_cvc(suffixof_cvc(""MD"", ""CA""), ""New York"", _arg_1)",0.0,10000,0.10853195190429688
10,"replace_cvc(at_cvc("" "", 1), "" "", _arg_2)",0.45,10000,0.08231997489929199
11,"replace_cvc(_arg_2, concat_cvc(_arg_1, _arg_1), _arg_1)",0.45,10000,0.08835721015930176
12,"replace_cvc(_arg_2, contains_cvc("","", "",""), "","")",0.0,10000,0.08447790145874023
13,"replace_cvc("","", suffixof_cvc(""CA"", ""NY""), ""New York"")",0.0,10000,0.09463310241699219
14,"replace_cvc(""USA"", suffixof_cvc("","", ""PA""), ""USA"")",0.0,10000,0.08413410186767578
15,"replace_cvc(""CT"", prefixof_cvc(""MD"", "" ""), ""PA"")",0.0,10000,0.0843210220336914
16,"replace_cvc(int_to_str_cvc(0), int_to_str_cvc(0), _arg_2)",0.45,10000,0.08649897575378418
17,"replace_cvc("","", at_cvc("","", 1), _arg_2)",0.45,10000,0.09827804565429688
18,"replace_cvc(_arg_2, ""MD"", concat_cvc(_arg_1, _arg_1))",0.45,10000,0.08725690841674805
19,"replace_cvc("","", "" "", concat_cvc(""NY"", ""NY""))",0.0,10000,0.0861368179321289
20,"replace_cvc(""USA"", _arg_1, contains_cvc(""CT"", _arg_1))",0.0,10000,0.08548402786254883
21,"replace_cvc(""PA"", ""NY"", suffixof_cvc("","", _arg_2))",0.0,10000,0.09479498863220215
22,"replace_cvc(""CA"", ""MD"", concat_cvc(""NY"", "" ""))",0.0,10000,0.0852818489074707
23,"replace_cvc(_arg_2, _arg_1, at_cvc(_arg_1, 1))",0.45,10000,0.08558201789855957
24,"substr_cvc("" "", 1 - 1, 0)",0.0,10000,0.10519981384277344
25,"replace_cvc(_arg_2, concat_cvc(_arg_1, _arg_1), int_to_str_cvc(0))",0.45,10000,0.09405899047851562
