attempt,best_program,program_score,time,new_updated_rules
1,"replace_cvc(_arg_1, concat_cvc("" "", "" ""), """")",0.6666666666666666,0.10030341148376465,"New Rule: replace_cvc(_arg_1, concat_cvc("" "", "" ""), """")New Rule: replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """")"
2,"replace_cvc(_arg_1, concat_cvc("" "", "" ""), """")",0.6666666666666666,0.10732626914978027,No updates
3,"replace_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), suffixof_cvc(replace_cvc(_arg_1, concat_cvc("" "", "" ""), """"), replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """")), "" "")",0.0,0.08962726593017578,No updates
4,"if false
    substr_cvc(replace_cvc(_arg_1, concat_cvc("" "", "" ""), """"), 0, -1)
else
    "" ""
end",0.0,0.11308479309082031,No updates
5,"replace_cvc("" "", _arg_1, replace_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), """", _arg_1))",0.0,0.0889899730682373,No updates
6,"replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """")",0.3333333333333333,0.09108948707580566,No updates
7,"replace_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), int_to_str_cvc(-1), suffixof_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), """"))",0.0,0.08946561813354492,No updates
8,"replace_cvc(substr_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), 0, -1), "" "", int_to_str_cvc(-1))",0.0,0.07950282096862793,No updates
9,"if true
    prefixof_cvc(replace_cvc(_arg_1, concat_cvc("" "", "" ""), """"), """")
else
    concat_cvc("" "", replace_cvc(_arg_1, concat_cvc("" "", "" ""), """"))
end",0.0,0.08283495903015137,No updates
10,"if false
    prefixof_cvc(replace_cvc(_arg_1, concat_cvc("" "", "" ""), """"), """")
else
    concat_cvc("" "", replace_cvc(_arg_1, concat_cvc("" "", "" ""), """"))
end",0.0,0.08717465400695801,No updates
11,"if true
    at_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), -1)
else
    at_cvc("""", 1)
end",0.0,0.1288137435913086,No updates
12,"at_cvc(at_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), -1), indexof_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), 0))",0.0,0.09863948822021484,No updates
13,"replace_cvc(concat_cvc(_arg_1, """"), concat_cvc("" "", "" ""), """")",0.6666666666666666,0.0957942008972168,No updates
14,"replace_cvc(concat_cvc(replace_cvc(_arg_1, concat_cvc("" "", "" ""), """"), """"), concat_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), _arg_1), replace_cvc(_arg_1, concat_cvc("" "", "" ""), """"))",0.0,0.09869766235351562,No updates
15,"replace_cvc(prefixof_cvc("" "", """"), concat_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), _arg_1), replace_cvc(_arg_1, concat_cvc("" "", "" ""), """"))",0.0,0.10103225708007812,No updates
16,"replace_cvc(suffixof_cvc("""", """"), concat_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), _arg_1), replace_cvc(_arg_1, concat_cvc("" "", "" ""), """"))",0.0,0.10551619529724121,No updates
17,"replace_cvc(contains_cvc(_arg_1, """"), concat_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), _arg_1), replace_cvc(_arg_1, concat_cvc("" "", "" ""), """"))",0.0,0.11264610290527344,No updates
18,"replace_cvc(contains_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), """"), concat_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), _arg_1), replace_cvc(_arg_1, concat_cvc("" "", "" ""), """"))",0.0,0.09464812278747559,No updates
19,"replace_cvc(at_cvc("" "", -1), at_cvc(_arg_1, 1), replace_cvc(_arg_1, concat_cvc("" "", "" ""), """"))",0.0,0.08690071105957031,No updates
20,"replace_cvc(at_cvc("""", 0), """", prefixof_cvc(_arg_1, replace_cvc(_arg_1, concat_cvc("" "", "" ""), """")))",0.0,0.09536290168762207,No updates
21,"replace_cvc(concat_cvc("""", replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """")), """", prefixof_cvc(_arg_1, replace_cvc(_arg_1, concat_cvc("" "", "" ""), """")))",0.0,0.11461472511291504,No updates
22,"replace_cvc(prefixof_cvc(_arg_1, replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """")), """", prefixof_cvc(_arg_1, replace_cvc(_arg_1, concat_cvc("" "", "" ""), """")))",0.0,0.09631228446960449,No updates
23,"replace_cvc(prefixof_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """")), """", prefixof_cvc(_arg_1, replace_cvc(_arg_1, concat_cvc("" "", "" ""), """")))",0.0,0.09678149223327637,No updates
24,"replace_cvc(suffixof_cvc(replace_cvc(_arg_1, concat_cvc("" "", "" ""), """"), replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """")), """", prefixof_cvc(_arg_1, replace_cvc(_arg_1, concat_cvc("" "", "" ""), """")))",0.0,0.09656000137329102,No updates
25,"replace_cvc(_arg_1, concat_cvc("" "", "" ""), concat_cvc("""", """"))",0.6666666666666666,0.0971825122833252,No updates
26,"replace_cvc(_arg_1, prefixof_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), """"), prefixof_cvc(_arg_1, replace_cvc(_arg_1, concat_cvc("" "", "" ""), """")))",0.0,0.10910773277282715,No updates
27,"replace_cvc("""", prefixof_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), """"), prefixof_cvc(_arg_1, replace_cvc(_arg_1, concat_cvc("" "", "" ""), """")))",0.0,0.09697842597961426,No updates
28,"replace_cvc("" "", prefixof_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), """"), prefixof_cvc(_arg_1, replace_cvc(_arg_1, concat_cvc("" "", "" ""), """")))",0.0,0.09444022178649902,No updates
29,"replace_cvc(replace_cvc(_arg_1, concat_cvc("" "", "" ""), """"), prefixof_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), """"), prefixof_cvc(_arg_1, replace_cvc(_arg_1, concat_cvc("" "", "" ""), """")))",0.0,0.09054970741271973,No updates
30,"replace_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), prefixof_cvc(replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), """"), """"), prefixof_cvc(_arg_1, replace_cvc(_arg_1, concat_cvc("" "", "" ""), """")))",0.0,0.10125327110290527,No updates
