attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.09329509735107422,No updates
2,"replace_cvc(at_cvc(""."", 2), prefixof_cvc(""."", "" ""), "" "")",0.0,0.09087371826171875,No updates
3,"replace_cvc("" "", suffixof_cvc(""."", _arg_1), concat_cvc("" "", "".""))",0.0,0.09306740760803223,No updates
4,"replace_cvc(prefixof_cvc(""."", "" ""), "" "", contains_cvc(""."", _arg_1))",0.0,0.08706116676330566,No updates
5,"replace_cvc(substr_cvc(_arg_1, 0, 2), ""."", concat_cvc(""."", "" ""))",0.0,0.12471175193786621,No updates
6,"replace_cvc(int_to_str_cvc(1), substr_cvc(_arg_1, 0, 2), int_to_str_cvc(2))",0.0,0.08720779418945312,No updates
7,"replace_cvc(concat_cvc(_arg_1, "" ""), "" "", substr_cvc(""."", 0, 0))",0.0,0.0978703498840332,No updates
8,"replace_cvc("" "", substr_cvc("" "", 0, 2), prefixof_cvc(_arg_1, "" ""))",0.0,0.0895841121673584,No updates
9,"replace_cvc(""."", prefixof_cvc(""."", "" ""), substr_cvc("" "", 0, 2))",0.0,0.09794235229492188,No updates
10,"substr_cvc(suffixof_cvc("" "", "".""), indexof_cvc(""."", ""."", 1), 0)",0.0,0.09437346458435059,No updates
11,"substr_cvc("" "", indexof_cvc("" "", ""."", 0), 1 + 1)",0.0,0.128648042678833,No updates
12,"replace_cvc(prefixof_cvc(_arg_1, "".""), contains_cvc("" "", "" ""), int_to_str_cvc(2))",0.0,0.09810829162597656,No updates
13,"replace_cvc(""."", at_cvc("" "", 0), replace_cvc(""."", ""."", _arg_1))",0.0,0.08124470710754395,No updates
14,"replace_cvc(substr_cvc("" "", 2, 2), int_to_str_cvc(0), concat_cvc(""."", "" ""))",0.0,0.09257936477661133,No updates
15,"replace_cvc("" "", substr_cvc(_arg_1, 2, 0), substr_cvc("" "", 2, 2))",0.0,0.11315417289733887,No updates
16,"replace_cvc(replace_cvc(_arg_1, ""."", "".""), substr_cvc(""."", 0, 0), _arg_1)",0.0,0.07472991943359375,No updates
17,"replace_cvc(replace_cvc(""."", ""."", _arg_1), replace_cvc(_arg_1, "" "", _arg_1), "" "")",0.0,0.08463072776794434,No updates
18,"replace_cvc(prefixof_cvc("" "", _arg_1), at_cvc(_arg_1, 1), prefixof_cvc(_arg_1, "".""))",0.0,0.09499025344848633,No updates
19,"substr_cvc(substr_cvc(_arg_1, 0, 1), indexof_cvc(_arg_1, _arg_1, 1), 0)",0.0,0.1337440013885498,No updates
20,"replace_cvc(int_to_str_cvc(0), replace_cvc("" "", ""."", "" ""), contains_cvc("" "", "" ""))",0.0,0.08420991897583008,No updates
21,"substr_cvc(prefixof_cvc("" "", "".""), 1 - 1, 1 + 2)",0.0,0.10320734977722168,No updates
22,"replace_cvc(prefixof_cvc(_arg_1, _arg_1), suffixof_cvc("" "", _arg_1), at_cvc(""."", 0))",0.0,0.09637284278869629,No updates
23,"replace_cvc(replace_cvc("" "", ""."", "".""), ""."", substr_cvc("" "", 2, 1))",0.0,0.09265017509460449,No updates
24,"replace_cvc(at_cvc(_arg_1, 2), concat_cvc(_arg_1, "".""), contains_cvc(""."", "".""))",0.0,0.11489009857177734,No updates
25,"replace_cvc(concat_cvc(_arg_1, _arg_1), concat_cvc(""."", "".""), suffixof_cvc(_arg_1, _arg_1))",0.0,0.104217529296875,No updates
26,"replace_cvc(concat_cvc(""."", "" ""), contains_cvc(""."", "" ""), prefixof_cvc(_arg_1, "" ""))",0.0,0.10698390007019043,No updates
27,"replace_cvc(prefixof_cvc(""."", _arg_1), suffixof_cvc(""."", _arg_1), concat_cvc(_arg_1, "".""))",0.0,0.10774421691894531,No updates
28,"replace_cvc(suffixof_cvc("" "", "".""), prefixof_cvc("" "", "" ""), contains_cvc("" "", _arg_1))",0.0,0.12382292747497559,No updates
29,"replace_cvc(contains_cvc("" "", "" ""), concat_cvc("" "", _arg_1), suffixof_cvc("" "", "" ""))",0.0,0.09632205963134766,No updates
30,"replace_cvc(int_to_str_cvc(0), substr_cvc(_arg_1, 0, 0), concat_cvc("" "", "".""))",0.0,0.07240080833435059,No updates
31,"replace_cvc(substr_cvc("" "", 0, 2), suffixof_cvc("" "", "".""), int_to_str_cvc(0))",0.0,0.09108495712280273,No updates
32,"substr_cvc("" "", indexof_cvc("" "", _arg_1, 2), indexof_cvc(""."", ""."", 1))",0.0,0.0918724536895752,No updates
33,"replace_cvc(suffixof_cvc(_arg_1, _arg_1), at_cvc("" "", 1), replace_cvc(_arg_1, ""."", "".""))",0.0,0.0963895320892334,No updates
34,"replace_cvc(at_cvc("" "", 2), replace_cvc(""."", ""."", _arg_1), suffixof_cvc(_arg_1, _arg_1))",0.0,0.0956888198852539,No updates
35,"replace_cvc(concat_cvc(""."", "" ""), replace_cvc(_arg_1, "" "", "".""), prefixof_cvc(_arg_1, "" ""))",0.0,0.1187736988067627,No updates
36,"replace_cvc(prefixof_cvc(""."", "".""), replace_cvc("" "", "" "", "" ""), concat_cvc(_arg_1, "".""))",0.0,0.10950040817260742,No updates
37,"replace_cvc(contains_cvc(_arg_1, _arg_1), replace_cvc(""."", _arg_1, "".""), contains_cvc("" "", _arg_1))",0.0,0.10725092887878418,No updates
38,"replace_cvc(concat_cvc(_arg_1, "".""), concat_cvc(_arg_1, "".""), substr_cvc(_arg_1, 1, 1))",0.0,0.11045241355895996,No updates
39,"replace_cvc(prefixof_cvc("" "", _arg_1), prefixof_cvc("" "", _arg_1), substr_cvc("" "", 1, 2))",0.0,0.10393857955932617,No updates
40,"replace_cvc(suffixof_cvc("" "", "" ""), suffixof_cvc("" "", "" ""), substr_cvc(""."", 2, 0))",0.0,0.10418343544006348,No updates
41,"replace_cvc(contains_cvc("" "", "".""), contains_cvc(""."", _arg_1), substr_cvc(_arg_1, 2, 1))",0.0,0.13402223587036133,No updates
