attempt,best_program,program_score,time,new_updated_rules
1,"at_cvc(_arg_1, _arg_2)",0.75,1.7128486633300781,"New Rule: at_cvc(_arg_1, 2)New Rule: substr_cvc(_arg_1, 3, _arg_2)New Rule: substr_cvc(_arg_1, 1 + 3, _arg_2)New Rule: at_cvc(_arg_1, _arg_2)"
2,"at_cvc(_arg_1, _arg_2)",0.75,0.16213226318359375,No updates
3,"if false
    _arg_1
else
    at_cvc(_arg_1, _arg_2)
end",0.75,0.16886115074157715,No updates
4,"replace_cvc(at_cvc(_arg_1, _arg_2), _arg_1, _arg_1)",0.75,0.09199380874633789,No updates
5,"replace_cvc(at_cvc(at_cvc(_arg_1, 2), 2), _arg_1, "" "")",0.0,0.09205389022827148,No updates
6,"replace_cvc(_arg_1, at_cvc(_arg_1, 1), """")",0.25,0.0967414379119873,No updates
7,"replace_cvc(_arg_1, _arg_1, at_cvc(_arg_1, _arg_2))",0.75,0.1306753158569336,No updates
8,"substr_cvc(_arg_1, _arg_2 + 0, _arg_2)",0.75,0.08485198020935059,No updates
9,"replace_cvc(at_cvc(_arg_1, _arg_2), _arg_1, int_to_str_cvc(_arg_2))",0.75,0.0881187915802002,No updates
10,"replace_cvc(prefixof_cvc(at_cvc(_arg_1, 2), """"), at_cvc(_arg_1, _arg_2), int_to_str_cvc(_arg_2))",0.0,0.09635162353515625,No updates
11,"if true
    substr_cvc(_arg_1, _arg_2, _arg_2)
else
    _arg_1
end",0.75,0.12819647789001465,No updates
12,"if false
    int_to_str_cvc(_arg_2)
else
    at_cvc(_arg_1, _arg_2)
end",0.75,0.06953024864196777,No updates
13,"if false
    _arg_1
else
    substr_cvc(_arg_1, _arg_2, _arg_2)
end",0.75,0.0682365894317627,No updates
14,"replace_cvc(substr_cvc(_arg_1, _arg_2, _arg_2), _arg_1, _arg_1)",0.75,0.08931827545166016,No updates
15,"at_cvc(concat_cvc(_arg_1, _arg_1), _arg_2 + _arg_2)",0.75,0.09865331649780273,"New Rule: at_cvc(concat_cvc(_arg_1, _arg_1), 1 + 3)"
16,"at_cvc(_arg_1, _arg_2)",0.75,0.13885140419006348,No updates
17,"if true
    at_cvc(_arg_1, _arg_2)
else
    _arg_1
end",0.75,0.08084869384765625,No updates
18,"at_cvc(substr_cvc(_arg_1, _arg_2, _arg_2), 1)",0.75,0.09013223648071289,No updates
19,"replace_cvc(concat_cvc(at_cvc(concat_cvc(_arg_1, _arg_1), 1 + 3), substr_cvc(_arg_1, 1 + 3, _arg_2)), "" "", "" "")",0.0,0.09824824333190918,No updates
20,"replace_cvc(at_cvc(_arg_1, _arg_2), _arg_1, _arg_1)",0.75,0.1370258331298828,No updates
21,"replace_cvc("" "", concat_cvc(substr_cvc(_arg_1, 1 + 3, _arg_2), at_cvc(_arg_1, _arg_2)), "" "")",0.0,0.08924007415771484,No updates
22,"replace_cvc(_arg_1, at_cvc(_arg_1, 1), """")",0.25,0.08940744400024414,No updates
23,"replace_cvc("" "", "" "", prefixof_cvc(at_cvc(_arg_1, _arg_2), "" ""))",0.0,0.08866262435913086,No updates
24,"replace_cvc(_arg_1, _arg_1, at_cvc(_arg_1, _arg_2))",0.75,0.09305214881896973,No updates
25,"substr_cvc(_arg_1, _arg_2 + 0, _arg_2)",0.75,0.10747790336608887,No updates
26,"substr_cvc(_arg_1, _arg_2, _arg_2 + 0)",0.75,0.08338785171508789,No updates
27,"substr_cvc(at_cvc(_arg_1, 2), 2, if false
        3
    else
        _arg_2
    end)",0.0,0.09282565116882324,No updates
28,"replace_cvc(suffixof_cvc(substr_cvc(_arg_1, 1 + 3, _arg_2), "" ""), substr_cvc(_arg_1, 1 + 3, _arg_2), int_to_str_cvc(2))",0.0,0.09422779083251953,No updates
29,"replace_cvc(at_cvc(_arg_1, 2), contains_cvc(at_cvc(_arg_1, 2), _arg_1), int_to_str_cvc(0))",0.0,0.08572745323181152,No updates
30,"if true
    substr_cvc(_arg_1, _arg_2, _arg_2)
else
    _arg_1
end",0.75,0.10852622985839844,No updates
31,"if false
    int_to_str_cvc(_arg_2)
else
    at_cvc(_arg_1, _arg_2)
end",0.75,0.07253575325012207,No updates
32,"if false
    _arg_1
else
    substr_cvc(_arg_1, _arg_2, _arg_2)
end",0.75,0.06467676162719727,No updates
33,"replace_cvc(substr_cvc(_arg_1, _arg_2, _arg_2), _arg_1, _arg_1)",0.75,0.09165477752685547,No updates
34,"replace_cvc(substr_cvc("""", 2, 2), """", "" "")",0.0,0.2021951675415039,No updates
35,"at_cvc(concat_cvc(_arg_1, _arg_1), _arg_2 + _arg_2)",0.75,0.09310245513916016,No updates
36,"at_cvc(concat_cvc(at_cvc(_arg_1, _arg_2), substr_cvc(_arg_1, 3, _arg_2)), -1 - 2)",0.0,0.09622550010681152,No updates
37,"at_cvc(suffixof_cvc("" "", """"), 0 + 0)",0.0,0.0955970287322998,No updates
38,"at_cvc(contains_cvc(substr_cvc(_arg_1, 1 + 3, _arg_2), substr_cvc(_arg_1, 1 + 3, _arg_2)), 1 == _arg_2)",0.0,0.0966036319732666,No updates
39,"replace_cvc("""", at_cvc(concat_cvc(_arg_1, _arg_1), 1 + 3), replace_cvc(substr_cvc(_arg_1, 1 + 3, _arg_2), at_cvc(_arg_1, 2), "" ""))",0.0,0.09733128547668457,No updates
40,"replace_cvc(substr_cvc(_arg_1, 3, _arg_2), at_cvc(_arg_1, 2), replace_cvc("""", substr_cvc(_arg_1, 1 + 3, _arg_2), "" ""))",0.0,0.09674811363220215,No updates
41,"at_cvc(at_cvc(_arg_1, _arg_2), 1 + 0)",0.75,0.10698890686035156,No updates
42,"at_cvc(int_to_str_cvc(_arg_2), indexof_cvc("""", substr_cvc(_arg_1, 3, _arg_2), 0))",0.0,0.08822965621948242,No updates
43,"replace_cvc(at_cvc(concat_cvc(_arg_1, _arg_1), 1 + 3), substr_cvc(_arg_1, 3, _arg_2), if false
        at_cvc(_arg_1, 2)
    else
        "" ""
    end)",0.0,0.0891425609588623,No updates
44,"replace_cvc(int_to_str_cvc(_arg_2), prefixof_cvc(at_cvc(_arg_1, _arg_2), at_cvc(concat_cvc(_arg_1, _arg_1), 1 + 3)), "" "")",0.0,0.09580349922180176,No updates
