attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.07680559158325195,No updates
2,"replace_cvc(prefixof_cvc("","", "" ""), _arg_1, _arg_2)",0.0,0.09093856811523438,No updates
3,"replace_cvc(_arg_1, "","", suffixof_cvc(_arg_2, "",""))",0.0,0.08361339569091797,No updates
4,"replace_cvc(suffixof_cvc("","", """"), _arg_2, int_to_str_cvc(1))",0.0,0.05109834671020508,No updates
5,"if true
    "",""
else
    substr_cvc("" "", 0, 0)
end",0.0,0.07433676719665527,No updates
6,"replace_cvc(_arg_1, _arg_2, replace_cvc("" "", _arg_3, _arg_3))",0.0,0.035353899002075195,No updates
7,"replace_cvc("" "", _arg_1, if false
        "" ""
    else
        _arg_1
    end)",0.0,0.044661521911621094,No updates
8,"replace_cvc(replace_cvc("""", _arg_1, _arg_2), "","", "" "")",0.0,0.05524301528930664,No updates
9,"replace_cvc(_arg_1, replace_cvc(_arg_2, """", "" ""), _arg_3)",0.0,0.04129624366760254,No updates
10,"replace_cvc(int_to_str_cvc(1), "" "", prefixof_cvc("""", _arg_1))",0.0,0.07626199722290039,No updates
11,"substr_cvc(substr_cvc("" "", 1, -1), 1, 0)",0.0,0.06426453590393066,No updates
12,"replace_cvc(if false
        """"
    else
        """"
    end, _arg_1, int_to_str_cvc(-1))",0.0,0.06928539276123047,No updates
13,"if false
    at_cvc("" "", -1)
else
    suffixof_cvc("","", _arg_1)
end",0.0,0.05786585807800293,No updates
14,"if true
    prefixof_cvc("","", _arg_1)
else
    concat_cvc("""", "" "")
end",0.0,0.02568817138671875,No updates
15,"if true
    contains_cvc("" "", """")
else
    suffixof_cvc(_arg_3, _arg_3)
end",0.0,0.025612592697143555,No updates
16,"if false
    prefixof_cvc("" "", _arg_2)
else
    concat_cvc(_arg_2, _arg_1)
end",0.0,0.026194095611572266,No updates
17,"if false
    contains_cvc("""", "" "")
else
    prefixof_cvc("","", "" "")
end",0.0,0.0594329833984375,No updates
18,"if false
    replace_cvc(_arg_2, _arg_1, _arg_3)
else
    int_to_str_cvc(-1)
end",0.0,0.049892425537109375,No updates
19,"at_cvc(substr_cvc(_arg_3, 1, 1), 1 == 1)",0.0,0.1118931770324707,No updates
20,"at_cvc(replace_cvc("","", _arg_2, "",""), 1 + 0)",0.0,0.09289336204528809,No updates
21,"at_cvc(suffixof_cvc(_arg_3, _arg_3), indexof_cvc(_arg_3, _arg_1, -1))",0.0,0.08689641952514648,No updates
22,"replace_cvc(concat_cvc(_arg_1, _arg_3), prefixof_cvc("","", "",""), _arg_1)",0.0,0.08495664596557617,No updates
