attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.09650707244873047,No updates
2,"substr_cvc(concat_cvc("" "", ""_""), _arg_2, 2)",0.0,0.07539701461791992,No updates
3,"if false
    substr_cvc("" "", -1, 2)
else
    ""_""
end",0.0,0.10238027572631836,No updates
4,"at_cvc(contains_cvc(""_"", ""_""), _arg_2 == -1)",0.0,0.06682348251342773,No updates
5,"replace_cvc(""_"", replace_cvc("""", ""_"", """"), _arg_1)",0.0,0.0763709545135498,No updates
6,"substr_cvc(if true
        "" ""
    else
        """"
    end, _arg_2, _arg_2)",0.0,0.07776856422424316,No updates
7,"substr_cvc(int_to_str_cvc(1), 2, if true
        _arg_2
    else
        _arg_2
    end)",0.0,0.08455634117126465,No updates
8,"replace_cvc(int_to_str_cvc(2), at_cvc(""_"", 1), int_to_str_cvc(_arg_2))",0.0,0.045015811920166016,No updates
9,"if false
    contains_cvc(_arg_1, ""_"")
else
    contains_cvc(""_"", _arg_1)
end",0.0,0.07340455055236816,No updates
10,"if false
    int_to_str_cvc(-1)
else
    substr_cvc("""", 2, -1)
end",0.0,0.07780981063842773,No updates
11,"at_cvc(substr_cvc(""_"", _arg_2, 2), _arg_2 + -1)",0.0,0.0858309268951416,No updates
12,"at_cvc(replace_cvc(""_"", "" "", ""_""), _arg_2 + -1)",0.0,0.09827303886413574,No updates
13,"replace_cvc(concat_cvc("" "", ""_""), concat_cvc(""_"", """"), _arg_1)",0.0,0.10139083862304688,No updates
14,"replace_cvc(contains_cvc(_arg_1, "" ""), prefixof_cvc(_arg_1, """"), _arg_1)",0.0,0.09350872039794922,No updates
15,"replace_cvc(at_cvc(""_"", 0), at_cvc(_arg_1, 1), _arg_1)",0.0,0.07079005241394043,No updates
16,"replace_cvc(at_cvc("""", _arg_2), _arg_1, concat_cvc("""", _arg_1))",0.0,0.09234833717346191,No updates
17,"replace_cvc(prefixof_cvc("" "", _arg_1), _arg_1, prefixof_cvc("""", _arg_1))",0.0,0.10399198532104492,No updates
18,"replace_cvc(contains_cvc(""_"", ""_""), _arg_1, suffixof_cvc("""", _arg_1))",0.0,0.10999488830566406,No updates
19,"replace_cvc("" "", prefixof_cvc("" "", _arg_1), contains_cvc("""", _arg_1))",0.0,0.09704089164733887,No updates
20,"replace_cvc("" "", at_cvc("" "", -1), concat_cvc("""", _arg_1))",0.0,0.08284401893615723,No updates
21,"replace_cvc(int_to_str_cvc(1), _arg_1, replace_cvc("""", """", _arg_1))",0.0,0.08938193321228027,No updates
22,"replace_cvc(_arg_1, concat_cvc(""_"", """"), at_cvc(""_"", 1))",0.0,0.08655333518981934,No updates
23,"substr_cvc(at_cvc("" "", -1), 1 == 1, 1)",0.0,0.08215808868408203,No updates
24,"substr_cvc(prefixof_cvc("""", _arg_1), 1 - 1, 1)",0.0,0.11007928848266602,No updates
25,"substr_cvc(suffixof_cvc(""_"", ""_""), 1 + 1, 1)",0.0,0.09544634819030762,No updates
26,"substr_cvc(int_to_str_cvc(_arg_2), if true
        0
    else
        1
    end, 1)",0.0,0.08092498779296875,No updates
27,"substr_cvc(concat_cvc(_arg_1, ""_""), 0, 1 - 1)",0.0,0.09816670417785645,No updates
