attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.12382078170776367,No updates
2,"replace_cvc(int_to_str_cvc(1), _arg_1, contains_cvc("""", """"))",0.0,0.060417890548706055,No updates
3,"replace_cvc(_arg_1, substr_cvc(_arg_1, 0, 0), int_to_str_cvc(-1))",0.0,0.08922553062438965,No updates
4,"replace_cvc(int_to_str_cvc(-1), if true
        "" ""
    else
        "" ""
    end, _arg_1)",0.0,0.09966278076171875,No updates
5,"replace_cvc("""", at_cvc("" "", 1), contains_cvc("" "", """"))",0.0,0.0990152359008789,No updates
6,"substr_cvc(concat_cvc("""", """"), 0, -1 - -1)",0.0,0.10241389274597168,No updates
7,"replace_cvc(concat_cvc("" "", """"), suffixof_cvc(_arg_1, _arg_1), int_to_str_cvc(1))",0.0,0.12486767768859863,No updates
8,"if false
    replace_cvc(_arg_1, "" "", """")
else
    contains_cvc(_arg_1, """")
end",0.0,0.051886558532714844,No updates
9,"if true
    prefixof_cvc("" "", "" "")
else
    replace_cvc("" "", _arg_1, "" "")
end",0.0,0.07767701148986816,No updates
10,"replace_cvc(concat_cvc("" "", _arg_1), replace_cvc("""", _arg_1, """"), _arg_1)",0.0,0.09467625617980957,No updates
11,"replace_cvc("""", suffixof_cvc("" "", "" ""), replace_cvc("""", """", """"))",0.0,0.11091113090515137,No updates
12,"replace_cvc(suffixof_cvc(_arg_1, _arg_1), if true
        "" ""
    else
        """"
    end, "" "")",0.0,0.09064483642578125,No updates
13,"replace_cvc(replace_cvc("""", """", _arg_1), """", suffixof_cvc("" "", _arg_1))",0.0,0.09634208679199219,No updates
14,"replace_cvc(concat_cvc("" "", _arg_1), int_to_str_cvc(1), prefixof_cvc("" "", """"))",0.0,0.09559321403503418,No updates
15,"replace_cvc(_arg_1, replace_cvc("" "", _arg_1, """"), prefixof_cvc("" "", "" ""))",0.0,0.10748577117919922,No updates
16,"replace_cvc("" "", prefixof_cvc(_arg_1, _arg_1), substr_cvc("""", 1, 1))",0.0,0.08869743347167969,No updates
17,"substr_cvc(suffixof_cvc("""", _arg_1), indexof_cvc("""", "" "", 1), 0)",0.0,0.08976864814758301,No updates
18,"substr_cvc(int_to_str_cvc(1), 0 == 1, 1 + -1)",0.0,0.08971691131591797,No updates
19,"substr_cvc(contains_cvc("" "", """"), 0, indexof_cvc("""", """", 1))",0.0,0.08471798896789551,No updates
20,"replace_cvc("""", if false
        """"
    else
        "" ""
    end, substr_cvc("" "", 0, 0))",0.0,0.07206511497497559,No updates
21,"substr_cvc("""", if true
        -1
    else
        1
    end, if true
        0
    else
        -1
    end)",0.0,0.09480977058410645,No updates
22,"replace_cvc(if true
        "" ""
    else
        "" ""
    end, at_cvc("""", -1), int_to_str_cvc(1))",0.0,0.0837101936340332,No updates
23,"substr_cvc(concat_cvc(_arg_1, "" ""), 1 - 1, -1 == 0)",0.0,0.09921669960021973,No updates
24,"substr_cvc(prefixof_cvc("" "", """"), 1 + -1, -1 + -1)",0.0,0.11569452285766602,No updates
25,"substr_cvc(contains_cvc(_arg_1, "" ""), 0 == 1, 1 == 1)",0.0,0.09726119041442871,No updates
26,"substr_cvc(at_cvc("" "", 1), 0 == -1, 1 + 0)",0.0,0.08838820457458496,No updates
27,"replace_cvc(concat_cvc("" "", """"), if false
        """"
    else
        _arg_1
    end, int_to_str_cvc(-1))",0.0,0.08263206481933594,No updates
28,"replace_cvc(contains_cvc("""", _arg_1), substr_cvc("""", -1, 0), int_to_str_cvc(1))",0.0,0.07369399070739746,No updates
29,"substr_cvc(substr_cvc("""", -1, 0), 1, indexof_cvc(_arg_1, """", 0))",0.0,0.08035922050476074,No updates
30,"substr_cvc(substr_cvc("""", -1, 1), -1, if true
        0
    else
        -1
    end)",0.0,0.12096834182739258,No updates
31,"replace_cvc(substr_cvc("""", 0, 0), replace_cvc("" "", "" "", "" ""), _arg_1)",0.0,0.07059144973754883,No updates
32,"replace_cvc(concat_cvc(_arg_1, _arg_1), suffixof_cvc(_arg_1, _arg_1), contains_cvc("" "", """"))",0.0,0.10627436637878418,No updates
33,"replace_cvc(concat_cvc("" "", "" ""), concat_cvc("" "", "" ""), suffixof_cvc("" "", "" ""))",0.0,0.11771178245544434,No updates
34,"replace_cvc(prefixof_cvc("" "", _arg_1), contains_cvc("" "", """"), suffixof_cvc(_arg_1, _arg_1))",0.0,0.13504505157470703,No updates
35,"replace_cvc(suffixof_cvc("""", "" ""), suffixof_cvc("" "", _arg_1), prefixof_cvc(_arg_1, """"))",0.0,0.10750198364257812,No updates
36,"replace_cvc(contains_cvc("""", """"), prefixof_cvc("""", "" ""), concat_cvc(_arg_1, "" ""))",0.0,0.10254240036010742,No updates
37,"replace_cvc(at_cvc("""", 1), concat_cvc("""", _arg_1), contains_cvc("""", _arg_1))",0.0,0.09001994132995605,No updates
38,"replace_cvc(concat_cvc(_arg_1, "" ""), at_cvc("" "", 0), concat_cvc("""", """"))",0.0,0.10742831230163574,No updates
39,"replace_cvc(contains_cvc("" "", _arg_1), at_cvc("""", -1), contains_cvc("""", "" ""))",0.0,0.08556079864501953,No updates
40,"replace_cvc(int_to_str_cvc(1), substr_cvc(_arg_1, -1, 1), contains_cvc("" "", _arg_1))",0.0,0.08533835411071777,No updates
41,"replace_cvc(substr_cvc("""", 1, 1), """", replace_cvc("""", "" "", """"))",0.0,0.09440040588378906,No updates
42,"replace_cvc(prefixof_cvc("" "", _arg_1), concat_cvc("" "", "" ""), at_cvc("" "", -1))",0.0,0.09427094459533691,No updates
43,"substr_cvc(if true
        """"
    else
        """"
    end, indexof_cvc("""", """", 1), 1)",0.0,0.08649730682373047,No updates
44,"substr_cvc(if false
        "" ""
    else
        """"
    end, if true
        -1
    else
        1
    end, 0)",0.0,0.08501577377319336,No updates
45,"substr_cvc(int_to_str_cvc(0), indexof_cvc("""", "" "", 0), 1 + -1)",0.0,0.08677172660827637,No updates
46,"replace_cvc(int_to_str_cvc(0), substr_cvc("" "", -1, 0), at_cvc("""", 1))",0.0,0.08294415473937988,No updates
47,"replace_cvc(substr_cvc("""", 0, 1), int_to_str_cvc(1), substr_cvc("" "", 0, 0))",0.0,0.09873366355895996,No updates
48,"substr_cvc(replace_cvc(_arg_1, "" "", "" ""), 1 + -1, 0 + -1)",0.0,0.0926673412322998,No updates
49,"substr_cvc(replace_cvc("" "", """", _arg_1), 0 == 1, -1 - 1)",0.0,0.10385560989379883,No updates
50,"replace_cvc(substr_cvc("" "", 1, 0), at_cvc(_arg_1, 0), prefixof_cvc("" "", """"))",0.0,0.09163546562194824,No updates
51,"substr_cvc(int_to_str_cvc(1), indexof_cvc("""", _arg_1, 1), if true
        -1
    else
        -1
    end)",0.0,0.08612775802612305,No updates
52,"substr_cvc(substr_cvc(_arg_1, 0, -1), -1 - 0, 1 == 1)",0.0,0.12804031372070312,No updates
53,"substr_cvc(substr_cvc("" "", 1, 0), 1 - 1, 1 + 0)",0.0,0.08555173873901367,No updates
