attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.10595035552978516,No updates
2,"replace_cvc(suffixof_cvc(_arg_1, "" ""), concat_cvc(_arg_1, _arg_1), suffixof_cvc("" "", _arg_1))",0.0,0.1007378101348877,No updates
3,"replace_cvc(prefixof_cvc(_arg_1, "" ""), suffixof_cvc(_arg_1, "" ""), replace_cvc(_arg_1, "" "", _arg_1))",0.0,0.10902214050292969,No updates
4,"substr_cvc(prefixof_cvc(_arg_1, _arg_1), indexof_cvc("" "", "" "", 1), 1 + 0)",0.0,0.11205267906188965,No updates
5,"replace_cvc(substr_cvc(_arg_1, 1, 1), substr_cvc(_arg_1, 1, 1), prefixof_cvc("" "", _arg_1))",0.0,0.15584278106689453,No updates
6,"replace_cvc(replace_cvc(_arg_1, _arg_1, "" ""), replace_cvc(_arg_1, "" "", "" ""), substr_cvc(_arg_1, 1, 0))",0.0,165.89783596992493,No updates
7,"substr_cvc(_arg_1, 0, indexof_cvc("" "", suffixof_cvc(_arg_1, "" ""), 0))",0.0,0.10655689239501953,No updates
8,"at_cvc(prefixof_cvc(at_cvc("" "", 0), prefixof_cvc(_arg_1, "" "")), 0)",0.0,0.11057877540588379,No updates
9,"replace_cvc(prefixof_cvc(_arg_1, concat_cvc(_arg_1, _arg_1)), _arg_1, suffixof_cvc("" "", _arg_1))",0.0,0.11645102500915527,No updates
10,"replace_cvc(suffixof_cvc(concat_cvc(_arg_1, "" ""), "" ""), _arg_1, at_cvc("" "", 0))",0.0,0.1787431240081787,No updates
11,"substr_cvc("" "", 1, indexof_cvc(_arg_1, replace_cvc("" "", _arg_1, "" ""), 0))",0.0,0.10746479034423828,No updates
12,"replace_cvc("" "", prefixof_cvc("" "", _arg_1), prefixof_cvc(suffixof_cvc(_arg_1, "" ""), _arg_1))",0.0,0.10614275932312012,No updates
13,"replace_cvc("" "", at_cvc(suffixof_cvc(_arg_1, _arg_1), 0 - 1), _arg_1)",0.0,0.1056063175201416,No updates
14,"substr_cvc(suffixof_cvc("" "", "" ""), 1 + (0 - 1), 0)",0.0,0.1065220832824707,No updates
15,"substr_cvc(at_cvc("" "", 1), 1, 1 + (1 + 0))",0.0,0.10576701164245605,No updates
16,"at_cvc(concat_cvc("" "", "" ""), 1 - indexof_cvc(_arg_1, "" "", 0))",0.0,0.11636829376220703,No updates
