attempt,best_program,program_score,iterations,time_seconds
1,_arg_1,0.0,10000,0.1714029312133789
2,"replace_cvc(""+"", contains_cvc("" "", ""(""), ""-"")",0.0,10000,0.19135308265686035
3,"replace_cvc(concat_cvc("")"", ""+""), "")"", _arg_1)",0.0,10000,0.12270188331604004
4,"replace_cvc("" "", ""."", contains_cvc(""("", "".""))",0.0,10000,0.1509380340576172
5,"substr_cvc("" "", 0 - 5, 2)",0.0,10000,0.12415504455566406
6,"substr_cvc(contains_cvc(""-"", ""+""), 4, 0)",0.0,10000,0.13330507278442383
7,"at_cvc(""("", indexof_cvc(""+"", _arg_1, 4))",0.0,10000,0.19215917587280273
8,"replace_cvc(substr_cvc(""("", 2, 1), "")"", "" "")",0.0,10000,0.3649420738220215
9,"replace_cvc(replace_cvc(""+"", "")"", ""(""), "")"", ""("")",0.0,10000,0.3664059638977051
10,"replace_cvc(int_to_str_cvc(0), at_cvc(""-"", 0), ""-"")",0.0,10000,0.18505096435546875
11,"replace_cvc(at_cvc(_arg_1, 3), int_to_str_cvc(1), _arg_1)",0.0,10000,0.17588281631469727
12,"replace_cvc(_arg_1, substr_cvc(_arg_1, 3, 1), ""."")",0.0,10000,0.3319261074066162
13,"replace_cvc(""("", substr_cvc(""("", 1, 2), "" "")",0.0,10000,0.22609782218933105
14,"replace_cvc(""."", ""+"", substr_cvc("")"", 2, 1))",0.0,10000,0.3301260471343994
15,"replace_cvc(""+"", replace_cvc("" "", "")"", _arg_1), ""+"")",0.0,10000,0.3765590190887451
16,"replace_cvc("")"", replace_cvc(""-"", _arg_1, _arg_1), "")"")",0.0,10000,0.19608712196350098
17,"replace_cvc(_arg_1, int_to_str_cvc(2), concat_cvc("" "", ""-""))",0.0,10000,0.1667320728302002
18,"replace_cvc("" "", int_to_str_cvc(3), at_cvc(""."", 4))",0.0,10000,0.1215980052947998
19,"substr_cvc(substr_cvc("")"", 4, 0), 0, 2)",0.0,10000,0.21863293647766113
20,"substr_cvc(replace_cvc(""("", ""+"", "")""), 5, 0)",0.0,10000,0.11736011505126953
21,"substr_cvc(""."", indexof_cvc(_arg_1, ""."", 3), 4)",0.0,10000,0.22150897979736328
22,"replace_cvc(_arg_1, "")"", replace_cvc(""."", ""."", _arg_1))",0.0,10000,0.4167048931121826
23,"replace_cvc(""("", _arg_1, replace_cvc(""("", ""."", "".""))",0.0,10000,0.2940859794616699
