attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.07452774047851562,No updates
2,"if true
    """"
else
    prefixof_cvc(""5"", ""1"")
end",0.0,0.021393299102783203,No updates
3,"if false
    _arg_1
else
    concat_cvc(""5"", ""5"")
end",0.0,0.023958444595336914,No updates
4,"if false
    ""9""
else
    contains_cvc(""5"", ""9"")
end",0.0,0.037474632263183594,No updates
5,"if true
    suffixof_cvc(""9"", ""6"")
else
    "" ""
end",0.0,0.022175312042236328,No updates
6,"if false
    suffixof_cvc(""4"", ""6"")
else
    ""3""
end",0.0,0.04687047004699707,No updates
7,"at_cvc(replace_cvc(""2"", ""0"", ""8""), 0)",0.0,0.07545065879821777,No updates
8,"at_cvc(""5"", indexof_cvc("" "", ""0"", -1))",0.0,0.06119799613952637,No updates
9,"replace_cvc(concat_cvc("" "", ""1""), ""2"", ""_"")",0.0,0.027331829071044922,No updates
10,"replace_cvc(concat_cvc(""2"", ""0""), ""2"", ""4"")",0.0,0.02766895294189453,No updates
11,"replace_cvc(concat_cvc(""6"", ""5""), ""2"", ""8"")",0.0,0.027654409408569336,No updates
12,"replace_cvc(concat_cvc(""0"", ""_""), ""3"", """")",0.0,0.09344696998596191,No updates
13,"replace_cvc(prefixof_cvc("" "", ""9""), ""3"", ""2"")",0.0,0.0960381031036377,No updates
14,"replace_cvc(prefixof_cvc(""3"", ""4""), ""3"", ""6"")",0.0,0.0964968204498291,No updates
15,"replace_cvc(prefixof_cvc(""7"", "" ""), ""3"", ""0"")",0.0,0.09662175178527832,No updates
16,"replace_cvc(prefixof_cvc(""0"", ""8""), ""4"", ""_"")",0.0,0.1312868595123291,No updates
17,"replace_cvc(suffixof_cvc(""_"", ""3""), ""4"", ""4"")",0.0,0.09640145301818848,No updates
18,"replace_cvc(suffixof_cvc(""4"", """"), ""4"", ""8"")",0.0,0.09627294540405273,No updates
19,"replace_cvc(suffixof_cvc(""7"", ""7""), ""5"", """")",0.0,0.09648680686950684,No updates
20,"replace_cvc(contains_cvc(_arg_1, ""2""), ""5"", ""2"")",0.0,0.0970914363861084,No updates
21,"replace_cvc(contains_cvc(""1"", _arg_1), ""5"", ""6"")",0.0,0.10158896446228027,No updates
22,"replace_cvc(contains_cvc(""4"", ""6""), ""5"", ""0"")",0.0,0.10424113273620605,No updates
23,"replace_cvc(contains_cvc(""8"", ""1""), ""6"", ""_"")",0.0,0.0964665412902832,No updates
24,"replace_cvc(at_cvc(""1"", 0), ""6"", ""4"")",0.0,0.08135485649108887,No updates
25,"replace_cvc(_arg_1, prefixof_cvc(""5"", ""6""), ""8"")",0.0,0.07914519309997559,No updates
26,"replace_cvc("""", prefixof_cvc(""_"", ""7""), """")",0.0,0.08050298690795898,No updates
27,"replace_cvc("" "", concat_cvc(""9"", ""7""), ""2"")",0.0,0.08547616004943848,No updates
28,"replace_cvc(""_"", concat_cvc(""4"", ""7""), ""6"")",0.0,0.08466053009033203,No updates
29,"replace_cvc(""1"", concat_cvc("" "", ""7""), ""0"")",0.0,0.09388446807861328,No updates
30,"replace_cvc(""1"", contains_cvc(""8"", ""8""), ""_"")",0.0,0.07722330093383789,No updates
31,"replace_cvc(""2"", contains_cvc(""3"", ""8""), ""4"")",0.0,0.07747340202331543,No updates
32,"replace_cvc(""3"", contains_cvc("""", ""8""), ""8"")",0.0,0.07816195487976074,No updates
33,"replace_cvc(""4"", suffixof_cvc(""7"", ""9""), """")",0.0,0.07748293876647949,No updates
34,"replace_cvc(""5"", suffixof_cvc(""2"", ""9""), ""2"")",0.0,0.08787798881530762,No updates
35,"replace_cvc(""6"", suffixof_cvc(_arg_1, ""9""), ""6"")",0.0,0.07765364646911621,No updates
36,"replace_cvc(""7"", prefixof_cvc(""6"", ""9""), ""0"")",0.0,0.07706141471862793,No updates
37,"replace_cvc(""8"", prefixof_cvc(""1"", ""0""), ""_"")",0.0,0.07728981971740723,No updates
38,"replace_cvc(""9"", concat_cvc(""0"", ""0""), ""4"")",0.0,0.09407734870910645,No updates
39,"replace_cvc(""0"", concat_cvc(""5"", ""0""), ""8"")",0.0,0.08702325820922852,No updates
40,"replace_cvc("""", at_cvc("""", -1), """")",0.0,0.07054352760314941,No updates
41,"replace_cvc(_arg_1, ""_"", concat_cvc(""2"", ""2""))",0.0,0.08216047286987305,No updates
