attempt,best_program,program_score,iterations,time_seconds
1,_arg_1,0.0,10000,0.09225893020629883
2,"if true
    int_to_str_cvc(0)
else
    prefixof_cvc("" "", """")
end",0.0,10000,0.054698944091796875
3,"replace_cvc("""", if false
        "" ""
    else
        """"
    end, _arg_1)",0.0,10000,0.06461501121520996
4,"replace_cvc(int_to_str_cvc(1), concat_cvc("""", """"), int_to_str_cvc(0))",0.0,10000,0.05276799201965332
5,"if false
    suffixof_cvc("""", ""/"")
else
    contains_cvc("""", _arg_1)
end",0.0,10000,0.05656003952026367
6,"at_cvc(replace_cvc(_arg_1, ""/"", """"), 0 - 0)",0.0,10000,0.08148598670959473
7,"replace_cvc(prefixof_cvc(_arg_1, ""/""), prefixof_cvc("" "", """"), _arg_1)",0.0,10000,0.10279202461242676
8,"replace_cvc(contains_cvc("" "", "" ""), prefixof_cvc(""/"", """"), _arg_1)",0.0,10000,0.06932711601257324
9,"replace_cvc(at_cvc("""", -1), """", suffixof_cvc("""", _arg_1))",0.0,10000,0.08574914932250977
10,"replace_cvc(suffixof_cvc(_arg_1, _arg_1), """", contains_cvc("""", _arg_1))",0.0,10000,0.10199713706970215
11,"replace_cvc(_arg_1, prefixof_cvc(""/"", "" ""), concat_cvc("""", _arg_1))",0.0,10000,0.08969306945800781
12,"replace_cvc("" "", contains_cvc("" "", "" ""), prefixof_cvc("""", _arg_1))",0.0,10000,0.08111810684204102
13,"replace_cvc(at_cvc("""", 0), prefixof_cvc("" "", """"), _arg_1)",0.0,10000,0.08791685104370117
14,"substr_cvc(at_cvc(_arg_1, 0), -1 - -1, 1)",0.0,10000,0.08395195007324219
15,"substr_cvc(prefixof_cvc("""", "" ""), 0, -1 == 0)",0.0,10000,0.08397793769836426
16,"substr_cvc(suffixof_cvc("""", ""/""), 1, if true
        -1
    else
        -1
    end)",0.0,10000,0.09751009941101074
17,"replace_cvc(suffixof_cvc(_arg_1, "" ""), contains_cvc(""/"", "" ""), int_to_str_cvc(1))",0.0,10000,0.08973813056945801
18,"replace_cvc(contains_cvc("" "", "" ""), at_cvc(""/"", -1), int_to_str_cvc(0))",0.0,10000,0.05008101463317871
19,"if true
    replace_cvc("" "", """", """")
else
    concat_cvc("""", "" "")
end",0.0,10000,0.047883033752441406
20,"if false
    substr_cvc(""/"", 1, -1)
else
    prefixof_cvc("""", "" "")
end",0.0,10000,0.04349708557128906
21,"if true
    at_cvc(""/"", 1)
else
    substr_cvc(""/"", 0, 1)
end",0.0,10000,0.054852962493896484
22,"if true
    prefixof_cvc("""", ""/"")
else
    replace_cvc(""/"", _arg_1, "" "")
end",0.0,10000,0.07517409324645996
23,"replace_cvc(concat_cvc("" "", _arg_1), ""/"", if false
        "" ""
    else
        "" ""
    end)",0.0,10000,0.08455014228820801
24,"replace_cvc(at_cvc("" "", 0), _arg_1, if true
        """"
    else
        "" ""
    end)",0.0,10000,0.07179498672485352
25,"replace_cvc(prefixof_cvc(""/"", """"), ""/"", replace_cvc("""", """", "" ""))",0.0,10000,0.09139108657836914
26,"replace_cvc(concat_cvc("""", _arg_1), replace_cvc(""/"", "" "", """"), "" "")",0.0,10000,0.09064698219299316
27,"replace_cvc(suffixof_cvc("" "", ""/""), replace_cvc(""/"", ""/"", """"), "" "")",0.0,10000,0.09353899955749512
28,"at_cvc(if true
        ""/""
    else
        "" ""
    end, if false
        1
    else
        0
    end)",0.0,10000,0.09633708000183105
29,"replace_cvc(""/"", contains_cvc(""/"", "" ""), if false
        """"
    else
        "" ""
    end)",0.0,10000,0.07790207862854004
30,"replace_cvc(_arg_1, prefixof_cvc("" "", ""/""), replace_cvc("" "", """", "" ""))",0.0,10000,0.0849158763885498
31,"replace_cvc("" "", contains_cvc("""", ""/""), replace_cvc(""/"", """", "" ""))",0.0,10000,0.09354710578918457
32,"replace_cvc(substr_cvc("" "", 0, 1), concat_cvc(_arg_1, """"), "" "")",0.0,10000,0.08509206771850586
33,"replace_cvc(replace_cvc("""", "" "", _arg_1), concat_cvc("""", """"), "" "")",0.0,10000,0.0810689926147461
34,"replace_cvc(replace_cvc(""/"", ""/"", ""/""), concat_cvc("" "", """"), "" "")",0.0,10000,0.07087206840515137
