attempt,best_program,program_score,iterations,time_seconds
1,_arg_1,0.0,10000,0.07208800315856934
2,"replace_cvc(prefixof_cvc(""b"", "">""), _arg_1, """")",0.0,10000,0.07640910148620605
3,"replace_cvc(_arg_1, ""b"", suffixof_cvc("""", ""b""))",0.0,10000,0.07441592216491699
4,"replace_cvc(suffixof_cvc(""b"", ""<""), """", int_to_str_cvc(1))",0.0,10000,0.04851579666137695
5,"if true
    ""b""
else
    substr_cvc("">"", 0, 0)
end",0.0,10000,0.07399106025695801
6,"replace_cvc(_arg_1, """", replace_cvc("">"", "" "", "" ""))",0.0,10000,0.037106990814208984
7,"replace_cvc("">"", _arg_1, if false
        "">""
    else
        _arg_1
    end)",0.0,10000,0.04481101036071777
8,"replace_cvc(replace_cvc(""<"", _arg_1, """"), ""b"", "">"")",0.0,10000,0.04636120796203613
9,"replace_cvc(_arg_1, replace_cvc("""", ""<"", "">""), "" "")",0.0,10000,0.0572359561920166
10,"replace_cvc(int_to_str_cvc(1), "">"", prefixof_cvc(""<"", _arg_1))",0.0,10000,0.07008099555969238
11,"substr_cvc(substr_cvc("">"", 1, -1), 1, 0)",0.0,10000,0.053044795989990234
12,"replace_cvc(if false
        ""<""
    else
        ""<""
    end, _arg_1, int_to_str_cvc(-1))",0.0,10000,0.06405401229858398
13,"if false
    at_cvc("">"", -1)
else
    suffixof_cvc(""b"", _arg_1)
end",0.0,10000,0.02763509750366211
14,"if true
    prefixof_cvc(""b"", _arg_1)
else
    concat_cvc(""<"", "">"")
end",0.0,10000,0.04458284378051758
15,"if true
    contains_cvc("">"", ""<"")
else
    suffixof_cvc("" "", "" "")
end",0.0,10000,0.02730107307434082
16,"if false
    prefixof_cvc("">"", """")
else
    concat_cvc("""", _arg_1)
end",0.0,10000,0.027284860610961914
17,"if false
    contains_cvc(""<"", "">"")
else
    prefixof_cvc(""b"", "">"")
end",0.0,10000,0.04873085021972656
18,"if false
    replace_cvc("""", _arg_1, "" "")
else
    int_to_str_cvc(-1)
end",0.0,10000,0.0568690299987793
19,"at_cvc(substr_cvc("" "", 1, 1), 1 == 1)",0.0,10000,0.07866811752319336
20,"at_cvc(replace_cvc(""b"", """", ""b""), 1 + 0)",0.0,10000,0.08307600021362305
