attempt,best_program,program_score,iterations,time_seconds
1,_arg_1,0.0,10000,3.955935001373291
2,"replace_cvc(concat_cvc("""", ""_""), "" "", "" "")",0.0,10000,0.09776091575622559
3,"substr_cvc(at_cvc("""", 0), 4, 1)",0.0,10000,0.06955909729003906
4,"substr_cvc(""_"", 2, 2 == 3)",0.0,10000,0.06944584846496582
5,"replace_cvc(_arg_1, at_cvc("""", 3), int_to_str_cvc(-1))",0.0,10000,0.034945011138916016
6,"if false
    "".""
else
    if false
        _arg_1
    else
        """"
    end
end",0.0,10000,0.06255507469177246
7,"at_cvc(prefixof_cvc("" "", "".""), -1 + -1)",0.0,10000,0.08722209930419922
8,"at_cvc(at_cvc(_arg_1, -1), -1 == 0)",0.0,10000,0.06451296806335449
9,"replace_cvc(replace_cvc(_arg_1, """", "".""), _arg_1, ""."")",0.0,10000,0.05137801170349121
10,"replace_cvc("""", replace_cvc(""_"", "" "", _arg_1), ""."")",0.0,10000,0.07407188415527344
11,"replace_cvc(_arg_1, int_to_str_cvc(3), prefixof_cvc(_arg_1, "".""))",0.0,10000,0.06610798835754395
12,"substr_cvc(int_to_str_cvc(2), -1 + -1, 0)",0.0,10000,0.06189703941345215
13,"substr_cvc(substr_cvc("""", -1, 2), 1, 4)",0.0,10000,0.06905293464660645
14,"substr_cvc(""_"", indexof_cvc("" "", ""_"", 4), 2)",0.0,10000,0.07514214515686035
15,"substr_cvc(""."", -1, indexof_cvc(_arg_1, "" "", 0))",0.0,10000,0.04500603675842285
16,"replace_cvc(substr_cvc("""", -1, 3), """", int_to_str_cvc(4))",0.0,10000,0.06622004508972168
17,"at_cvc(prefixof_cvc("" "", _arg_1), if false
        -1
    else
        2
    end)",0.0,10000,0.07941985130310059
18,"if false
    at_cvc("" "", 1)
else
    contains_cvc(""_"", """")
end",0.0,10000,0.025873184204101562
19,"if true
    contains_cvc("""", "" "")
else
    contains_cvc(""_"", """")
end",0.0,10000,0.025814056396484375
20,"if false
    contains_cvc("""", "" "")
else
    contains_cvc(""_"", """")
end",0.0,10000,0.05865597724914551
21,"replace_cvc(suffixof_cvc("" "", ""_""), int_to_str_cvc(2), int_to_str_cvc(4))",0.0,10000,0.05001187324523926
22,"replace_cvc(""_"", if true
        """"
    else
        ""_""
    end, int_to_str_cvc(2))",0.0,10000,0.048419952392578125
23,"replace_cvc(_arg_1, replace_cvc("" "", ""_"", _arg_1), int_to_str_cvc(0))",0.0,10000,0.07576203346252441
24,"at_cvc(substr_cvc("""", 3, 0), -1 - 4)",0.0,10000,0.07976794242858887
25,"at_cvc(substr_cvc(""."", 0, 3), 0 + 2)",0.0,10000,0.0750131607055664
26,"at_cvc(at_cvc("" "", 1), indexof_cvc(_arg_1, _arg_1, 0))",0.0,10000,0.08256387710571289
27,"at_cvc(replace_cvc("" "", ""_"", "" ""), 3 - 4)",0.0,10000,0.07342004776000977
28,"at_cvc(prefixof_cvc(_arg_1, _arg_1), indexof_cvc("""", ""_"", 2))",0.0,10000,0.08908796310424805
29,"at_cvc(contains_cvc(""_"", "" ""), indexof_cvc(_arg_1, _arg_1, 0))",0.0,10000,0.07728695869445801
30,"replace_cvc(concat_cvc("" "", _arg_1), prefixof_cvc(_arg_1, ""_""), """")",0.0,10000,0.08078598976135254
31,"replace_cvc(prefixof_cvc("""", _arg_1), prefixof_cvc(_arg_1, ""_""), """")",0.0,10000,0.10067200660705566
32,"replace_cvc(suffixof_cvc(_arg_1, _arg_1), prefixof_cvc(_arg_1, ""_""), """")",0.0,10000,0.09116792678833008
33,"replace_cvc(suffixof_cvc(""."", _arg_1), prefixof_cvc(_arg_1, ""_""), """")",0.0,10000,0.091278076171875
34,"replace_cvc(contains_cvc(""_"", _arg_1), prefixof_cvc(_arg_1, ""_""), """")",0.0,10000,0.09090709686279297
35,"replace_cvc(prefixof_cvc("""", "".""), at_cvc("""", -1), """")",0.0,10000,0.0807490348815918
36,"replace_cvc(at_cvc(_arg_1, 1), at_cvc(""."", 3), """")",0.0,10000,0.0513460636138916
37,"replace_cvc(substr_cvc(_arg_1, -1, 0), int_to_str_cvc(1), """")",0.0,10000,0.055773019790649414
38,"replace_cvc(int_to_str_cvc(-1), substr_cvc("""", 1, -1), """")",0.0,10000,0.054412126541137695
39,"replace_cvc(at_cvc(_arg_1, 4), ""_"", prefixof_cvc(""_"", """"))",0.0,10000,0.07634592056274414
40,"replace_cvc(at_cvc(""."", 0), ""_"", prefixof_cvc(""_"", """"))",0.0,10000,0.08458495140075684
41,"replace_cvc(concat_cvc(""_"", _arg_1), ""_"", prefixof_cvc(""_"", """"))",0.0,10000,0.08489513397216797
42,"replace_cvc(prefixof_cvc("" "", _arg_1), ""_"", prefixof_cvc(""_"", """"))",0.0,10000,0.10085415840148926
43,"replace_cvc(suffixof_cvc("""", _arg_1), ""_"", prefixof_cvc(""_"", """"))",0.0,10000,0.09136295318603516
44,"replace_cvc(contains_cvc(_arg_1, _arg_1), ""_"", prefixof_cvc(""_"", """"))",0.0,10000,0.0916900634765625
