attempt,best_program,program_score,iterations,time_seconds
1,_arg_1,0.0,10000,3.9969120025634766
2,"replace_cvc(""."", prefixof_cvc(""."", "" ""), suffixof_cvc(""."", "" ""))",0.0,10000,0.16336488723754883
3,"replace_cvc(concat_cvc("" "", _arg_1), concat_cvc(_arg_1, "".""), ""."")",0.0,10000,0.08417081832885742
4,"replace_cvc(_arg_1, substr_cvc(""."", 0, 1), suffixof_cvc(_arg_1, _arg_1))",0.0,10000,0.08120918273925781
5,"replace_cvc(substr_cvc("" "", 1, 0), _arg_1, at_cvc(_arg_1, 1))",0.0,10000,0.1459040641784668
6,"substr_cvc(concat_cvc(_arg_1, "" ""), 1, indexof_cvc("" "", _arg_1, 2))",0.0,10000,0.0746910572052002
7,"replace_cvc(at_cvc(""."", 1), ""."", substr_cvc(""."", 1, 0))",0.0,10000,0.08053708076477051
8,"replace_cvc(prefixof_cvc("" "", "".""), substr_cvc("" "", 0, 1), "" "")",0.0,10000,0.11879110336303711
9,"replace_cvc(at_cvc(_arg_1, 1), concat_cvc(""."", "".""), prefixof_cvc("" "", "".""))",0.0,10000,0.10457181930541992
10,"replace_cvc(concat_cvc(""."", _arg_1), concat_cvc(_arg_1, _arg_1), suffixof_cvc(""."", _arg_1))",0.0,10000,0.09663796424865723
11,"replace_cvc(suffixof_cvc(_arg_1, "" ""), suffixof_cvc(_arg_1, "".""), concat_cvc(""."", "" ""))",0.0,10000,0.10642409324645996
12,"replace_cvc(concat_cvc(_arg_1, "" ""), at_cvc("" "", 0), prefixof_cvc(""."", "".""))",0.0,10000,0.08389091491699219
13,"substr_cvc(substr_cvc(""."", 0, 1), 2, indexof_cvc(_arg_1, _arg_1, 0))",0.0,10000,0.07876086235046387
14,"substr_cvc(at_cvc(_arg_1, 2), 0 + 0, 0 - 1)",0.0,10000,0.09766697883605957
15,"substr_cvc(suffixof_cvc("" "", "".""), 2 - 1, 0 + 2)",0.0,10000,0.07354378700256348
16,"replace_cvc(substr_cvc(""."", 1, 0), replace_cvc(_arg_1, _arg_1, "" ""), _arg_1)",0.0,10000,0.0727541446685791
17,"replace_cvc("" "", replace_cvc(_arg_1, _arg_1, "" ""), replace_cvc("" "", "" "", "" ""))",0.0,10000,0.07697010040283203
18,"replace_cvc(replace_cvc(""."", ""."", _arg_1), replace_cvc(""."", ""."", "" ""), ""."")",0.0,10000,0.0855410099029541
19,"replace_cvc(replace_cvc(_arg_1, "" "", "" ""), prefixof_cvc("" "", _arg_1), at_cvc(""."", 0))",0.0,10000,0.0940861701965332
20,"replace_cvc(substr_cvc(""."", 0, 0), prefixof_cvc(""."", "" ""), at_cvc(""."", 1))",0.0,10000,0.08528280258178711
21,"replace_cvc(at_cvc(_arg_1, 1), substr_cvc(""."", 2, 0), suffixof_cvc(""."", "".""))",0.0,10000,0.09232187271118164
22,"replace_cvc(concat_cvc(""."", _arg_1), replace_cvc("" "", ""."", "".""), prefixof_cvc(_arg_1, _arg_1))",0.0,10000,0.10005307197570801
23,"replace_cvc(suffixof_cvc(_arg_1, "".""), replace_cvc("" "", _arg_1, _arg_1), suffixof_cvc(_arg_1, "" ""))",0.0,10000,0.09724283218383789
24,"replace_cvc(replace_cvc("" "", _arg_1, _arg_1), at_cvc(""."", 0), at_cvc(_arg_1, 2))",0.0,10000,0.07801389694213867
25,"replace_cvc(at_cvc("" "", 2), replace_cvc(""."", "" "", _arg_1), prefixof_cvc("" "", _arg_1))",0.0,10000,0.08945894241333008
