attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.10073399543762207,No updates
2,"if true
    int_to_str_cvc(0)
else
    prefixof_cvc("" "", """")
end",0.0,0.05887722969055176,No updates
3,"replace_cvc("""", if false
        "" ""
    else
        """"
    end, _arg_1)",0.0,0.10413575172424316,No updates
4,"replace_cvc(int_to_str_cvc(1), concat_cvc("""", """"), int_to_str_cvc(0))",0.0,0.04603314399719238,No updates
5,"if false
    suffixof_cvc("""", ""."")
else
    contains_cvc("""", _arg_1)
end",0.0,0.0616917610168457,No updates
6,"at_cvc(replace_cvc(_arg_1, ""."", """"), 0 - 0)",0.0,0.0902254581451416,No updates
7,"replace_cvc(prefixof_cvc(_arg_1, "".""), prefixof_cvc("" "", """"), _arg_1)",0.0,0.10830259323120117,No updates
8,"replace_cvc(contains_cvc("" "", "" ""), prefixof_cvc(""."", """"), _arg_1)",0.0,0.08666229248046875,No updates
9,"replace_cvc(at_cvc("""", -1), """", suffixof_cvc("""", _arg_1))",0.0,0.1433107852935791,No updates
10,"replace_cvc(suffixof_cvc(_arg_1, _arg_1), """", contains_cvc("""", _arg_1))",0.0,0.10128545761108398,No updates
11,"replace_cvc(_arg_1, prefixof_cvc(""."", "" ""), concat_cvc("""", _arg_1))",0.0,0.09918975830078125,No updates
12,"replace_cvc("" "", contains_cvc("" "", "" ""), prefixof_cvc("""", _arg_1))",0.0,0.09000086784362793,No updates
13,"replace_cvc(at_cvc("""", 0), prefixof_cvc("" "", """"), _arg_1)",0.0,0.09150147438049316,No updates
14,"substr_cvc(at_cvc(_arg_1, 0), -1 - -1, 1)",0.0,0.11428093910217285,No updates
15,"substr_cvc(prefixof_cvc("""", "" ""), 0, -1 == 0)",0.0,0.09280920028686523,No updates
16,"substr_cvc(suffixof_cvc("""", "".""), 1, if true
        -1
    else
        -1
    end)",0.0,0.09695291519165039,No updates
17,"replace_cvc(suffixof_cvc(_arg_1, "" ""), contains_cvc(""."", "" ""), int_to_str_cvc(1))",0.0,0.09927773475646973,No updates
18,"replace_cvc(contains_cvc("" "", "" ""), at_cvc(""."", -1), int_to_str_cvc(0))",0.0,0.09474873542785645,No updates
19,"if true
    replace_cvc("" "", """", """")
else
    concat_cvc("""", "" "")
end",0.0,0.04140019416809082,No updates
20,"if false
    substr_cvc(""."", 1, -1)
else
    prefixof_cvc("""", "" "")
end",0.0,0.047698974609375,No updates
21,"if true
    at_cvc(""."", 1)
else
    substr_cvc(""."", 0, 1)
end",0.0,0.05996966361999512,No updates
22,"if true
    prefixof_cvc("""", ""."")
else
    replace_cvc(""."", _arg_1, "" "")
end",0.0,0.05238914489746094,No updates
23,"replace_cvc(concat_cvc("" "", _arg_1), ""."", if false
        "" ""
    else
        "" ""
    end)",0.0,0.11218380928039551,No updates
24,"replace_cvc(at_cvc("" "", 0), _arg_1, if true
        """"
    else
        "" ""
    end)",0.0,0.0771784782409668,No updates
25,"replace_cvc(prefixof_cvc(""."", """"), ""."", replace_cvc("""", """", "" ""))",0.0,0.09956765174865723,No updates
26,"replace_cvc(concat_cvc("""", _arg_1), replace_cvc(""."", "" "", """"), "" "")",0.0,0.0931706428527832,No updates
27,"replace_cvc(suffixof_cvc("" "", "".""), replace_cvc(""."", ""."", """"), "" "")",0.0,0.10679173469543457,No updates
28,"at_cvc(if true
        "".""
    else
        "" ""
    end, if false
        1
    else
        0
    end)",0.0,0.08613753318786621,No updates
29,"replace_cvc(""."", contains_cvc(""."", "" ""), if false
        """"
    else
        "" ""
    end)",0.0,0.08598995208740234,No updates
30,"replace_cvc(_arg_1, prefixof_cvc("" "", "".""), replace_cvc("" "", """", "" ""))",0.0,0.10530662536621094,No updates
31,"replace_cvc("" "", contains_cvc("""", "".""), replace_cvc(""."", """", "" ""))",0.0,0.09151077270507812,No updates
32,"replace_cvc(substr_cvc("" "", 0, 1), concat_cvc(_arg_1, """"), "" "")",0.0,0.09267711639404297,No updates
33,"replace_cvc(replace_cvc("""", "" "", _arg_1), concat_cvc("""", """"), "" "")",0.0,0.09971332550048828,No updates
34,"replace_cvc(replace_cvc(""."", ""."", "".""), concat_cvc("" "", """"), "" "")",0.0,0.0781545639038086,No updates
35,"replace_cvc(prefixof_cvc("" "", "" ""), if false
        "".""
    else
        """"
    end, "" "")",0.0,0.09179902076721191,No updates
36,"replace_cvc(concat_cvc(""."", """"), substr_cvc(""."", 1, -1), "" "")",0.0,0.10132598876953125,No updates
37,"replace_cvc(""."", at_cvc("" "", 0), replace_cvc("""", """", "" ""))",0.0,0.08431839942932129,No updates
38,"replace_cvc(if false
        "" ""
    else
        _arg_1
    end, ""."", concat_cvc("""", "" ""))",0.0,0.09351396560668945,No updates
39,"replace_cvc(replace_cvc("""", ""."", "".""), ""."", prefixof_cvc("""", "" ""))",0.0,0.1009209156036377,No updates
40,"replace_cvc(substr_cvc(_arg_1, -1, 1), ""."", suffixof_cvc("""", "" ""))",0.0,0.09310388565063477,No updates
41,"replace_cvc(int_to_str_cvc(1), suffixof_cvc("""", "".""), contains_cvc("""", "" ""))",0.0,0.10144948959350586,No updates
42,"replace_cvc(int_to_str_cvc(1), at_cvc("""", 0), concat_cvc("""", "" ""))",0.0,0.10566329956054688,No updates
43,"replace_cvc(suffixof_cvc("" "", """"), int_to_str_cvc(0), prefixof_cvc("""", "" ""))",0.0,0.09556794166564941,No updates
44,"replace_cvc("""", if false
        """"
    else
        _arg_1
    end, suffixof_cvc("""", "" ""))",0.0,0.09677839279174805,No updates
45,"replace_cvc("""", substr_cvc(""."", -1, -1), contains_cvc("""", "" ""))",0.0,0.09265637397766113,No updates
46,"replace_cvc("""", replace_cvc("""", """", _arg_1), concat_cvc("""", "" ""))",0.0,0.09050869941711426,No updates
47,"replace_cvc(""."", replace_cvc(""."", _arg_1, _arg_1), prefixof_cvc("""", "" ""))",0.0,0.10297584533691406,No updates
48,"replace_cvc(contains_cvc(""."", "" ""), """", substr_cvc(""."", -1, 0))",0.0,0.08639264106750488,No updates
49,"replace_cvc(_arg_1, suffixof_cvc(""."", "".""), substr_cvc("" "", -1, -1))",0.0,0.10220122337341309,No updates
50,"substr_cvc(substr_cvc(_arg_1, 1, -1), 0 - 1, 1)",0.0,0.08553767204284668,No updates
51,"substr_cvc(replace_cvc(""."", "" "", """"), -1 == 1, 0)",0.0,0.09459948539733887,No updates
52,"substr_cvc(contains_cvc("""", "" ""), indexof_cvc(_arg_1, _arg_1, 1), -1)",0.0,0.10208559036254883,No updates
53,"replace_cvc(contains_cvc(_arg_1, "".""), int_to_str_cvc(-1), at_cvc("" "", 1))",0.0,0.08477616310119629,No updates
54,"substr_cvc(int_to_str_cvc(-1), 0 - 1, 0 + 0)",0.0,0.09554219245910645,No updates
55,"replace_cvc("" "", substr_cvc(_arg_1, 0, -1), at_cvc(""."", -1))",0.0,0.09201407432556152,No updates
56,"substr_cvc(contains_cvc(_arg_1, "".""), -1, indexof_cvc(""."", """", 1))",0.0,0.08689737319946289,No updates
57,"replace_cvc(""."", replace_cvc("" "", """", """"), at_cvc("" "", 0))",0.0,0.08932662010192871,No updates
58,"replace_cvc(replace_cvc(_arg_1, ""."", "".""), """", replace_cvc("""", _arg_1, "".""))",0.0,0.06394124031066895,No updates
59,"replace_cvc(replace_cvc(""."", """", "" ""), """", replace_cvc("" "", _arg_1, "".""))",0.0,0.06876206398010254,No updates
60,"replace_cvc("" "", if false
        _arg_1
    else
        """"
    end, substr_cvc("""", -1, 1))",0.0,0.0746920108795166,No updates
61,"replace_cvc(_arg_1, replace_cvc("""", "" "", "" ""), replace_cvc("""", _arg_1, """"))",0.0,0.0895681381225586,No updates
62,"replace_cvc("" "", replace_cvc(""."", """", "" ""), replace_cvc("" "", _arg_1, """"))",0.0,0.06975483894348145,No updates
63,"substr_cvc(substr_cvc(""."", -1, 0), if true
        1
    else
        0
    end, -1)",0.0,0.0930018424987793,No updates
64,"replace_cvc(if true
        "" ""
    else
        _arg_1
    end, contains_cvc(_arg_1, "".""), int_to_str_cvc(1))",0.0,0.10547256469726562,No updates
65,"replace_cvc(replace_cvc("""", ""."", _arg_1), contains_cvc("" "", _arg_1), int_to_str_cvc(0))",0.0,0.09590888023376465,No updates
