attempt,best_program,program_score,iterations,time_seconds
1,_arg_1,0.0,10000,0.08097314834594727
2,"replace_cvc(at_cvc(""."", 2), prefixof_cvc(""."", "" ""), "" "")",0.0,10000,0.08334183692932129
3,"replace_cvc("" "", suffixof_cvc(""."", _arg_1), concat_cvc("" "", "".""))",0.0,10000,0.09762001037597656
4,"replace_cvc(prefixof_cvc(""."", "" ""), "" "", contains_cvc(""."", _arg_1))",0.0,10000,0.07937502861022949
5,"replace_cvc(substr_cvc(_arg_1, 0, 2), ""."", concat_cvc(""."", "" ""))",0.0,10000,0.08200383186340332
6,"replace_cvc(int_to_str_cvc(1), substr_cvc(_arg_1, 0, 2), int_to_str_cvc(2))",0.0,10000,0.08037805557250977
7,"replace_cvc(concat_cvc(_arg_1, "" ""), "" "", substr_cvc(""."", 0, 0))",0.0,10000,0.10201883316040039
8,"replace_cvc("" "", substr_cvc("" "", 0, 2), prefixof_cvc(_arg_1, "" ""))",0.0,10000,0.08192706108093262
9,"replace_cvc(""."", prefixof_cvc(""."", "" ""), substr_cvc("" "", 0, 2))",0.0,10000,0.08084797859191895
10,"substr_cvc(suffixof_cvc("" "", "".""), indexof_cvc(""."", ""."", 1), 0)",0.0,10000,0.07646393775939941
11,"substr_cvc("" "", indexof_cvc("" "", ""."", 0), 1 + 1)",0.0,10000,0.11337995529174805
12,"replace_cvc(prefixof_cvc(_arg_1, "".""), contains_cvc("" "", "" ""), int_to_str_cvc(2))",0.0,10000,0.0894019603729248
13,"replace_cvc(""."", at_cvc("" "", 0), replace_cvc(""."", ""."", _arg_1))",0.0,10000,0.07526016235351562
14,"replace_cvc(substr_cvc("" "", 2, 2), int_to_str_cvc(0), concat_cvc(""."", "" ""))",0.0,10000,0.08417487144470215
15,"replace_cvc("" "", substr_cvc(_arg_1, 2, 0), substr_cvc("" "", 2, 2))",0.0,10000,0.08973312377929688
16,"replace_cvc(replace_cvc(_arg_1, ""."", "".""), substr_cvc(""."", 0, 0), _arg_1)",0.0,10000,0.08723282814025879
17,"replace_cvc(replace_cvc(""."", ""."", _arg_1), replace_cvc(_arg_1, "" "", _arg_1), "" "")",0.0,10000,0.0784299373626709
18,"replace_cvc(prefixof_cvc("" "", _arg_1), at_cvc(_arg_1, 1), prefixof_cvc(_arg_1, "".""))",0.0,10000,0.0867760181427002
19,"substr_cvc(substr_cvc(_arg_1, 0, 1), indexof_cvc(_arg_1, _arg_1, 1), 0)",0.0,10000,0.08608102798461914
20,"replace_cvc(int_to_str_cvc(0), replace_cvc("" "", ""."", "" ""), contains_cvc("" "", "" ""))",0.0,10000,0.0897819995880127
21,"substr_cvc(prefixof_cvc("" "", "".""), 1 - 1, 1 + 2)",0.0,10000,0.0937509536743164
22,"replace_cvc(prefixof_cvc(_arg_1, _arg_1), suffixof_cvc("" "", _arg_1), at_cvc(""."", 0))",0.0,10000,0.08779788017272949
23,"replace_cvc(replace_cvc("" "", ""."", "".""), ""."", substr_cvc("" "", 2, 1))",0.0,10000,0.09076189994812012
24,"replace_cvc(at_cvc(_arg_1, 2), concat_cvc(_arg_1, "".""), contains_cvc(""."", "".""))",0.0,10000,0.08563709259033203
25,"replace_cvc(concat_cvc(_arg_1, _arg_1), concat_cvc(""."", "".""), suffixof_cvc(_arg_1, _arg_1))",0.0,10000,0.09497714042663574
26,"replace_cvc(concat_cvc(""."", "" ""), contains_cvc(""."", "" ""), prefixof_cvc(_arg_1, "" ""))",0.0,10000,0.09735393524169922
27,"replace_cvc(prefixof_cvc(""."", _arg_1), suffixof_cvc(""."", _arg_1), concat_cvc(_arg_1, "".""))",0.0,10000,0.10836601257324219
28,"replace_cvc(suffixof_cvc("" "", "".""), prefixof_cvc("" "", "" ""), contains_cvc("" "", _arg_1))",0.0,10000,0.09771490097045898
29,"replace_cvc(contains_cvc("" "", "" ""), concat_cvc("" "", _arg_1), suffixof_cvc("" "", "" ""))",0.0,10000,0.08797311782836914
30,"replace_cvc(int_to_str_cvc(0), substr_cvc(_arg_1, 0, 0), concat_cvc("" "", "".""))",0.0,10000,0.0789949893951416
31,"replace_cvc(substr_cvc("" "", 0, 2), suffixof_cvc("" "", "".""), int_to_str_cvc(0))",0.0,10000,0.0835411548614502
32,"substr_cvc("" "", indexof_cvc("" "", _arg_1, 2), indexof_cvc(""."", ""."", 1))",0.0,10000,0.07497501373291016
33,"replace_cvc(suffixof_cvc(_arg_1, _arg_1), at_cvc("" "", 1), replace_cvc(_arg_1, ""."", "".""))",0.0,10000,0.09858298301696777
34,"replace_cvc(at_cvc("" "", 2), replace_cvc(""."", ""."", _arg_1), suffixof_cvc(_arg_1, _arg_1))",0.0,10000,0.08833098411560059
