attempt,best_program,program_score,iterations,time_seconds
1,_arg_1,0.0,10000,0.08286905288696289
2,"at_cvc(substr_cvc("" "", 0, 2), 4)",0.0,10000,0.06995201110839844
3,"substr_cvc(at_cvc("""", -1), 0, -1)",0.0,10000,0.06705403327941895
4,"substr_cvc(_arg_1, 3 == 7, 2)",0.0,10000,0.06584620475769043
5,"substr_cvc(_arg_1, 4, 1 + 9)",0.3333333333333333,10000,0.0618138313293457
6,"substr_cvc("" "", 8, 1 + 4)",0.0,10000,0.08904409408569336
7,"replace_cvc(concat_cvc("" "", _arg_1), _arg_1, int_to_str_cvc(5))",0.0,10000,0.04954695701599121
8,"if false
    contains_cvc(_arg_1, "" "")
else
    int_to_str_cvc(0)
end",0.0,10000,0.05818009376525879
9,"at_cvc(prefixof_cvc(_arg_1, "" ""), 7 - 6)",0.0,10000,0.08812808990478516
10,"at_cvc(at_cvc(_arg_1, -1), 3 - 6)",0.0,10000,0.07527995109558105
11,"at_cvc(at_cvc("" "", 7), 1 + 7)",0.0,10000,0.07041287422180176
12,"replace_cvc(_arg_1, substr_cvc(_arg_1, 1, 3), """")",0.3333333333333333,10000,0.07195401191711426
13,"replace_cvc(int_to_str_cvc(6), """", at_cvc(_arg_1, 5))",0.0,10000,0.07231712341308594
14,"substr_cvc(int_to_str_cvc(-1), -1 - 6, 6)",0.0,10000,0.09538793563842773
15,"substr_cvc(int_to_str_cvc(3), 7 == 2, 7)",0.0,10000,0.06371378898620605
16,"substr_cvc(int_to_str_cvc(6), -1 - 9, 8)",0.0,10000,0.06847000122070312
17,"substr_cvc(int_to_str_cvc(8), 7 == 5, 9)",0.0,10000,0.058207035064697266
18,"substr_cvc(substr_cvc(_arg_1, 1, -1), 2, 1)",0.0,10000,0.0584101676940918
19,"substr_cvc(substr_cvc(_arg_1, 6, 6), 9, 0)",0.0,10000,0.06540298461914062
20,"substr_cvc(substr_cvc("""", 3, -1), 5, -1)",0.0,10000,0.08195090293884277
21,"substr_cvc(substr_cvc("" "", 1, 7), -1, 2)",0.0,10000,0.07007694244384766
22,"substr_cvc(substr_cvc("" "", 7, -1), 8, 3)",0.0,10000,0.05067300796508789
23,"substr_cvc("" "", if true
        7
    else
        4
    end, 4)",0.0,10000,0.0661020278930664
24,"substr_cvc(int_to_str_cvc(0), 1, 0 + 5)",0.0,10000,0.06646299362182617
25,"substr_cvc(int_to_str_cvc(2), 4, 7 - 6)",0.0,10000,0.08026599884033203
26,"substr_cvc(int_to_str_cvc(5), 1, 3 + 7)",0.0,10000,0.06691098213195801
27,"substr_cvc(int_to_str_cvc(7), 4, 1 == 8)",0.0,10000,0.06569194793701172
28,"substr_cvc(_arg_1, 1, indexof_cvc("" "", """", 9))",0.0,10000,0.055526018142700195
29,"substr_cvc(int_to_str_cvc(-1), 5, if true
        3
    else
        1
    end)",0.0,10000,0.0551149845123291
30,"substr_cvc(int_to_str_cvc(5), 2, if false
        1
    else
        0
    end)",0.0,10000,0.06836700439453125
