attempt,best_program,program_score,iterations,time_seconds
1,"replace_cvc(_arg_1, concat_cvc("" "", "" ""), """")",0.6666666666666666,10000,0.0850839614868164
2,"replace_cvc(int_to_str_cvc(1), _arg_1, contains_cvc("""", """"))",0.0,10000,0.06847620010375977
3,"replace_cvc(concat_cvc(_arg_1, """"), concat_cvc("" "", "" ""), """")",0.6666666666666666,10000,0.0816340446472168
4,"replace_cvc(_arg_1, concat_cvc("" "", "" ""), concat_cvc("""", """"))",0.6666666666666666,10000,0.0881190299987793
5,"replace_cvc("""", at_cvc("" "", 1), contains_cvc("" "", """"))",0.0,10000,0.0821540355682373
6,"substr_cvc(concat_cvc("""", """"), 0, -1 - -1)",0.0,10000,0.09610819816589355
7,"replace_cvc(concat_cvc("" "", """"), suffixof_cvc(_arg_1, _arg_1), int_to_str_cvc(1))",0.0,10000,0.0749368667602539
8,"if false
    replace_cvc(_arg_1, "" "", """")
else
    contains_cvc(_arg_1, """")
end",0.0,10000,0.049742937088012695
9,"replace_cvc(concat_cvc(_arg_1, """"), replace_cvc("" "", """", "" ""), """")",0.3333333333333333,10000,0.07395005226135254
10,"replace_cvc(_arg_1, concat_cvc("" "", "" ""), if true
        """"
    else
        _arg_1
    end)",0.6666666666666666,10000,0.09383392333984375
11,"replace_cvc(replace_cvc(_arg_1, _arg_1, _arg_1), concat_cvc("" "", "" ""), """")",0.6666666666666666,10000,0.08361315727233887
12,"replace_cvc(suffixof_cvc(_arg_1, _arg_1), if true
        "" ""
    else
        """"
    end, "" "")",0.0,10000,0.09418797492980957
13,"replace_cvc(replace_cvc("""", """", _arg_1), """", suffixof_cvc("" "", _arg_1))",0.0,10000,0.08790421485900879
14,"replace_cvc(concat_cvc("" "", _arg_1), int_to_str_cvc(1), prefixof_cvc("" "", """"))",0.0,10000,0.0875699520111084
15,"replace_cvc(_arg_1, concat_cvc("" "", "" ""), substr_cvc(_arg_1, 1, 0))",0.6666666666666666,10000,0.09340381622314453
16,"replace_cvc("" "", prefixof_cvc(_arg_1, _arg_1), substr_cvc("""", 1, 1))",0.0,10000,0.08123493194580078
17,"substr_cvc(suffixof_cvc("""", _arg_1), indexof_cvc("""", "" "", 1), 0)",0.0,10000,0.08241105079650879
18,"substr_cvc(int_to_str_cvc(1), 0 == 1, 1 + -1)",0.0,10000,0.09060215950012207
19,"substr_cvc(contains_cvc("" "", """"), 0, indexof_cvc("""", """", 1))",0.0,10000,0.07424712181091309
20,"replace_cvc(_arg_1, replace_cvc("" "", """", "" ""), replace_cvc(_arg_1, _arg_1, """"))",0.3333333333333333,10000,0.0784151554107666
21,"substr_cvc("""", if true
        -1
    else
        1
    end, if true
        0
    else
        -1
    end)",0.0,10000,0.08387112617492676
22,"replace_cvc(if true
        "" ""
    else
        "" ""
    end, at_cvc("""", -1), int_to_str_cvc(1))",0.0,10000,0.08268594741821289
23,"substr_cvc(concat_cvc(_arg_1, "" ""), 1 - 1, -1 == 0)",0.0,10000,0.10620498657226562
24,"substr_cvc(prefixof_cvc("" "", """"), 1 + -1, -1 + -1)",0.0,10000,0.09702515602111816
25,"substr_cvc(contains_cvc(_arg_1, "" ""), 0 == 1, 1 == 1)",0.0,10000,0.09775114059448242
