attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.16813135147094727,No updates
2,"replace_cvc(at_cvc(""."", 2), prefixof_cvc(""."", "" ""), "" "")",0.0,0.15027618408203125,No updates
3,"replace_cvc("" "", suffixof_cvc(""."", _arg_1), concat_cvc("" "", "".""))",0.0,0.1270768642425537,No updates
4,"replace_cvc(prefixof_cvc(""."", "" ""), "" "", contains_cvc(""."", _arg_1))",0.0,0.14663290977478027,No updates
5,"replace_cvc(substr_cvc(_arg_1, 0, 2), ""."", concat_cvc(""."", "" ""))",0.0,0.14416122436523438,No updates
6,"replace_cvc(int_to_str_cvc(1), substr_cvc(_arg_1, 0, 2), int_to_str_cvc(2))",0.0,0.17978787422180176,No updates
7,"replace_cvc(concat_cvc(_arg_1, "" ""), "" "", substr_cvc(""."", 0, 0))",0.0,0.13484406471252441,No updates
8,"replace_cvc("" "", substr_cvc("" "", 0, 2), prefixof_cvc(_arg_1, "" ""))",0.0,0.16405534744262695,No updates
9,"replace_cvc(""."", prefixof_cvc(""."", "" ""), substr_cvc("" "", 0, 2))",0.0,0.15409016609191895,No updates
10,"substr_cvc(suffixof_cvc("" "", "".""), indexof_cvc(""."", ""."", 1), 0)",0.0,0.16201305389404297,No updates
11,"substr_cvc("" "", indexof_cvc("" "", ""."", 0), 1 + 1)",0.0,0.16477203369140625,No updates
12,"replace_cvc(prefixof_cvc(_arg_1, "".""), contains_cvc("" "", "" ""), int_to_str_cvc(2))",0.0,0.13459992408752441,No updates
13,"replace_cvc(""."", at_cvc("" "", 0), replace_cvc(""."", ""."", _arg_1))",0.0,0.19649267196655273,No updates
14,"replace_cvc(substr_cvc("" "", 2, 2), int_to_str_cvc(0), concat_cvc(""."", "" ""))",0.0,0.1968245506286621,No updates
15,"replace_cvc("" "", substr_cvc(_arg_1, 2, 0), substr_cvc("" "", 2, 2))",0.0,0.16002511978149414,No updates
16,"replace_cvc(replace_cvc(_arg_1, ""."", "".""), substr_cvc(""."", 0, 0), _arg_1)",0.0,0.2657332420349121,No updates
17,"replace_cvc(replace_cvc(""."", ""."", _arg_1), replace_cvc(_arg_1, "" "", _arg_1), "" "")",0.0,0.19859981536865234,No updates
18,"replace_cvc(prefixof_cvc("" "", _arg_1), at_cvc(_arg_1, 1), prefixof_cvc(_arg_1, "".""))",0.0,0.12820863723754883,No updates
19,"substr_cvc(substr_cvc(_arg_1, 0, 1), indexof_cvc(_arg_1, _arg_1, 1), 0)",0.0,0.14870452880859375,No updates
20,"replace_cvc(int_to_str_cvc(0), replace_cvc("" "", ""."", "" ""), contains_cvc("" "", "" ""))",0.0,0.16351532936096191,No updates
21,"substr_cvc(prefixof_cvc("" "", "".""), 1 - 1, 1 + 2)",0.0,0.11642026901245117,No updates
22,"replace_cvc(prefixof_cvc(_arg_1, _arg_1), suffixof_cvc("" "", _arg_1), at_cvc(""."", 0))",0.0,0.12447047233581543,No updates
23,"replace_cvc(replace_cvc("" "", ""."", "".""), ""."", substr_cvc("" "", 2, 1))",0.0,0.15769290924072266,No updates
24,"replace_cvc(at_cvc(_arg_1, 2), concat_cvc(_arg_1, "".""), contains_cvc(""."", "".""))",0.0,0.11612153053283691,No updates
25,"replace_cvc(concat_cvc(_arg_1, _arg_1), concat_cvc(""."", "".""), suffixof_cvc(_arg_1, _arg_1))",0.0,0.12460756301879883,No updates
26,"replace_cvc(concat_cvc(""."", "" ""), contains_cvc(""."", "" ""), prefixof_cvc(_arg_1, "" ""))",0.0,0.12523984909057617,No updates
27,"replace_cvc(prefixof_cvc(""."", _arg_1), suffixof_cvc(""."", _arg_1), concat_cvc(_arg_1, "".""))",0.0,0.11247086524963379,No updates
28,"replace_cvc(suffixof_cvc("" "", "".""), prefixof_cvc("" "", "" ""), contains_cvc("" "", _arg_1))",0.0,0.11244630813598633,No updates
29,"replace_cvc(contains_cvc("" "", "" ""), concat_cvc("" "", _arg_1), suffixof_cvc("" "", "" ""))",0.0,0.139693021774292,No updates
30,"replace_cvc(int_to_str_cvc(0), substr_cvc(_arg_1, 0, 0), concat_cvc("" "", "".""))",0.0,0.24918437004089355,No updates
31,"replace_cvc(substr_cvc("" "", 0, 2), suffixof_cvc("" "", "".""), int_to_str_cvc(0))",0.0,0.17135953903198242,No updates
32,"substr_cvc("" "", indexof_cvc("" "", _arg_1, 2), indexof_cvc(""."", ""."", 1))",0.0,0.23099374771118164,No updates
33,"replace_cvc(suffixof_cvc(_arg_1, _arg_1), at_cvc("" "", 1), replace_cvc(_arg_1, ""."", "".""))",0.0,0.12499547004699707,No updates
34,"replace_cvc(at_cvc("" "", 2), replace_cvc(""."", ""."", _arg_1), suffixof_cvc(_arg_1, _arg_1))",0.0,0.1930248737335205,No updates
35,"replace_cvc(concat_cvc(""."", "" ""), replace_cvc(_arg_1, "" "", "".""), prefixof_cvc(_arg_1, "" ""))",0.0,0.12654876708984375,No updates
36,"replace_cvc(prefixof_cvc(""."", "".""), replace_cvc("" "", "" "", "" ""), concat_cvc(_arg_1, "".""))",0.0,0.11514973640441895,No updates
37,"replace_cvc(contains_cvc(_arg_1, _arg_1), replace_cvc(""."", _arg_1, "".""), contains_cvc("" "", _arg_1))",0.0,0.13218927383422852,No updates
38,"replace_cvc(concat_cvc(_arg_1, "".""), concat_cvc(_arg_1, "".""), substr_cvc(_arg_1, 1, 1))",0.0,0.12569785118103027,No updates
39,"replace_cvc(prefixof_cvc("" "", _arg_1), prefixof_cvc("" "", _arg_1), substr_cvc("" "", 1, 2))",0.0,0.10822653770446777,No updates
40,"replace_cvc(suffixof_cvc("" "", "" ""), suffixof_cvc("" "", "" ""), substr_cvc(""."", 2, 0))",0.0,0.11959600448608398,No updates
41,"replace_cvc(contains_cvc("" "", "".""), contains_cvc(""."", _arg_1), substr_cvc(_arg_1, 2, 1))",0.0,0.12385869026184082,No updates
42,"replace_cvc(contains_cvc(_arg_1, "" ""), substr_cvc(""."", 1, 1), at_cvc(""."", 2))",0.0,0.17940855026245117,No updates
43,"replace_cvc(concat_cvc(""."", "" ""), replace_cvc(_arg_1, _arg_1, _arg_1), at_cvc(_arg_1, 0))",0.0,0.15470266342163086,No updates
44,"replace_cvc(concat_cvc(_arg_1, _arg_1), substr_cvc(""."", 1, 0), prefixof_cvc(_arg_1, "" ""))",0.0,0.1546323299407959,No updates
45,"replace_cvc(prefixof_cvc(_arg_1, "".""), substr_cvc(_arg_1, 0, 2), concat_cvc(_arg_1, "".""))",0.0,0.10743975639343262,No updates
46,"replace_cvc(suffixof_cvc("" "", _arg_1), substr_cvc("" "", 0, 0), contains_cvc("" "", _arg_1))",0.0,0.11893796920776367,No updates
47,"replace_cvc(contains_cvc("" "", "" ""), substr_cvc("" "", 2, 2), suffixof_cvc("" "", "" ""))",0.0,0.12641692161560059,No updates
48,"replace_cvc(replace_cvc("" "", ""."", "".""), at_cvc(""."", 1), prefixof_cvc("" "", "".""))",0.0,0.12384772300720215,No updates
49,"replace_cvc(at_cvc("" "", 1), contains_cvc(""."", "".""), substr_cvc(_arg_1, 2, 0))",0.0,0.14497947692871094,No updates
50,"substr_cvc(prefixof_cvc("" "", _arg_1), indexof_cvc("" "", "" "", 2), 2 + 1)",0.0,0.11275649070739746,No updates
51,"substr_cvc(contains_cvc(""."", _arg_1), indexof_cvc(_arg_1, _arg_1, 2), 2 - 2)",0.0,0.188262939453125,No updates
52,"substr_cvc(at_cvc(""."", 2), 1 - 0, indexof_cvc("" "", _arg_1, 0))",0.0,0.22117066383361816,No updates
53,"substr_cvc(substr_cvc("" "", 2, 1), 2 - 1, 0 + 1)",0.0,0.14753198623657227,No updates
54,"replace_cvc(int_to_str_cvc(0), replace_cvc(_arg_1, ""."", _arg_1), substr_cvc(_arg_1, 0, 2))",0.0,0.14910316467285156,No updates
55,"replace_cvc(at_cvc(""."", 2), substr_cvc(_arg_1, 1, 2), suffixof_cvc("" "", _arg_1))",0.0,0.14411568641662598,No updates
56,"replace_cvc(replace_cvc(_arg_1, ""."", "" ""), concat_cvc("" "", "" ""), prefixof_cvc("" "", "" ""))",0.0,0.12927031517028809,No updates
57,"replace_cvc(replace_cvc("" "", "" "", "".""), contains_cvc("" "", _arg_1), concat_cvc("" "", "".""))",0.0,0.12674856185913086,No updates
58,"replace_cvc(replace_cvc(""."", "" "", "" ""), suffixof_cvc(_arg_1, "" ""), contains_cvc(""."", _arg_1))",0.0,0.12977051734924316,No updates
59,"replace_cvc(substr_cvc(_arg_1, 1, 0), prefixof_cvc(_arg_1, _arg_1), suffixof_cvc(""."", "" ""))",0.0,0.11864495277404785,No updates
60,"replace_cvc(substr_cvc("" "", 0, 1), contains_cvc(""."", "".""), prefixof_cvc(""."", "".""))",0.0,0.11257076263427734,No updates
61,"replace_cvc(substr_cvc(""."", 0, 0), suffixof_cvc(""."", "" ""), prefixof_cvc(_arg_1, _arg_1))",0.0,0.12337207794189453,No updates
62,"replace_cvc(substr_cvc(""."", 2, 2), prefixof_cvc(""."", _arg_1), concat_cvc(_arg_1, "" ""))",0.0,0.2802090644836426,No updates
63,"substr_cvc(replace_cvc(""."", "" "", _arg_1), 1 - 2, 0 + 2)",0.0,0.14283967018127441,No updates
64,"replace_cvc(replace_cvc(""."", _arg_1, _arg_1), contains_cvc("" "", "".""), at_cvc("" "", 0))",0.0,0.12742114067077637,No updates
65,"replace_cvc(substr_cvc(""."", 1, 1), at_cvc(""."", 0), contains_cvc("" "", "" ""))",0.0,0.18825387954711914,No updates
66,"replace_cvc(at_cvc(""."", 0), suffixof_cvc("" "", "" ""), replace_cvc("" "", "" "", "".""))",0.0,0.17933034896850586,No updates
67,"substr_cvc(prefixof_cvc(_arg_1, "".""), 1 + 2, indexof_cvc(""."", ""."", 0))",0.0,0.11313891410827637,No updates
68,"substr_cvc(contains_cvc("" "", "" ""), 2 - 1, indexof_cvc(_arg_1, ""."", 1))",0.0,0.1262977123260498,No updates
