attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,1.4029998779296875,No updates
2,"replace_cvc(concat_cvc("""", ""_""), "" "", "" "")",0.0,0.16457819938659668,No updates
3,"substr_cvc(at_cvc("""", 0), 4, 1)",0.0,0.08145904541015625,No updates
4,"substr_cvc(""_"", 2, 2 == 3)",0.0,0.13020730018615723,No updates
5,"replace_cvc(_arg_1, at_cvc("""", 3), int_to_str_cvc(-1))",0.0,0.03680586814880371,No updates
6,"if false
    "".""
else
    if false
        _arg_1
    else
        """"
    end
end",0.0,0.06523442268371582,No updates
7,"at_cvc(prefixof_cvc("" "", "".""), -1 + -1)",0.0,0.07977867126464844,No updates
8,"at_cvc(at_cvc(_arg_1, -1), -1 == 0)",0.0,0.0786137580871582,No updates
9,"replace_cvc(replace_cvc(_arg_1, """", "".""), _arg_1, ""."")",0.0,0.0989847183227539,No updates
10,"replace_cvc("""", replace_cvc(""_"", "" "", _arg_1), ""."")",0.0,0.06337642669677734,No updates
11,"replace_cvc(_arg_1, int_to_str_cvc(3), prefixof_cvc(_arg_1, "".""))",0.0,0.07017707824707031,No updates
12,"substr_cvc(int_to_str_cvc(2), -1 + -1, 0)",0.0,0.06967711448669434,No updates
13,"substr_cvc(substr_cvc("""", -1, 2), 1, 4)",0.0,0.10802316665649414,No updates
14,"substr_cvc(""_"", indexof_cvc("" "", ""_"", 4), 2)",0.0,0.0663599967956543,No updates
15,"substr_cvc(""."", -1, indexof_cvc(_arg_1, "" "", 0))",0.0,0.04696154594421387,No updates
16,"replace_cvc(substr_cvc("""", -1, 3), """", int_to_str_cvc(4))",0.0,0.07660865783691406,No updates
17,"at_cvc(prefixof_cvc("" "", _arg_1), if false
        -1
    else
        2
    end)",0.0,0.09315800666809082,No updates
18,"if false
    at_cvc("" "", 1)
else
    contains_cvc(""_"", """")
end",0.0,0.0253751277923584,No updates
19,"if true
    contains_cvc("""", "" "")
else
    contains_cvc(""_"", """")
end",0.0,0.02519536018371582,No updates
20,"if false
    contains_cvc("""", "" "")
else
    contains_cvc(""_"", """")
end",0.0,0.052724361419677734,No updates
21,"replace_cvc(suffixof_cvc("" "", ""_""), int_to_str_cvc(2), int_to_str_cvc(4))",0.0,0.0621640682220459,No updates
22,"replace_cvc(""_"", if true
        """"
    else
        ""_""
    end, int_to_str_cvc(2))",0.0,0.05171322822570801,No updates
23,"replace_cvc(_arg_1, replace_cvc("" "", ""_"", _arg_1), int_to_str_cvc(0))",0.0,0.07190513610839844,No updates
