attempt,best_program,program_score,iterations,time_seconds
1,_arg_1,0.0,10000,0.09012579917907715
2,"substr_cvc(concat_cvc("" "", "",""), _arg_2, 2)",0.0,10000,0.07061290740966797
3,"if false
    substr_cvc("" "", -1, 2)
else
    "",""
end",0.0,10000,0.06529498100280762
4,"at_cvc(contains_cvc("","", "",""), _arg_2 == -1)",0.0,10000,0.0998070240020752
5,"replace_cvc("","", replace_cvc("""", "","", """"), _arg_1)",0.0,10000,0.07558298110961914
6,"substr_cvc(if true
        "" ""
    else
        """"
    end, _arg_2, _arg_2)",0.0,10000,0.0703279972076416
7,"substr_cvc(int_to_str_cvc(1), 2, if true
        _arg_2
    else
        _arg_2
    end)",0.0,10000,0.07108497619628906
8,"replace_cvc(int_to_str_cvc(2), at_cvc("","", 1), int_to_str_cvc(_arg_2))",0.0,10000,0.03698992729187012
9,"if false
    contains_cvc(_arg_1, "","")
else
    contains_cvc("","", _arg_1)
end",0.0,10000,0.06211090087890625
10,"if false
    int_to_str_cvc(-1)
else
    substr_cvc("""", 2, -1)
end",0.0,10000,0.09594106674194336
11,"at_cvc(substr_cvc("","", _arg_2, 2), _arg_2 + -1)",0.0,10000,0.08306097984313965
12,"at_cvc(replace_cvc("","", "" "", "",""), _arg_2 + -1)",0.0,10000,0.0866098403930664
13,"replace_cvc(concat_cvc("" "", "",""), concat_cvc("","", """"), _arg_1)",0.0,10000,0.09769010543823242
14,"replace_cvc(contains_cvc(_arg_1, "" ""), prefixof_cvc(_arg_1, """"), _arg_1)",0.0,10000,0.08864903450012207
15,"replace_cvc(at_cvc("","", 0), at_cvc(_arg_1, 1), _arg_1)",0.0,10000,0.07205510139465332
16,"replace_cvc(at_cvc("""", _arg_2), _arg_1, concat_cvc("""", _arg_1))",0.0,10000,0.08535408973693848
17,"replace_cvc(prefixof_cvc("" "", _arg_1), _arg_1, prefixof_cvc("""", _arg_1))",0.0,10000,0.09431910514831543
18,"replace_cvc(contains_cvc("","", "",""), _arg_1, suffixof_cvc("""", _arg_1))",0.0,10000,0.10366582870483398
19,"replace_cvc("" "", prefixof_cvc("" "", _arg_1), contains_cvc("""", _arg_1))",0.0,10000,0.09218907356262207
20,"replace_cvc("" "", at_cvc("" "", -1), concat_cvc("""", _arg_1))",0.0,10000,0.0765070915222168
21,"replace_cvc(int_to_str_cvc(1), _arg_1, replace_cvc("""", """", _arg_1))",0.0,10000,0.07484197616577148
22,"replace_cvc(_arg_1, concat_cvc("","", """"), at_cvc("","", 1))",0.0,10000,0.0904238224029541
23,"substr_cvc(at_cvc("" "", -1), 1 == 1, 1)",0.0,10000,0.07584285736083984
24,"substr_cvc(prefixof_cvc("""", _arg_1), 1 - 1, 1)",0.0,10000,0.0983588695526123
25,"substr_cvc(suffixof_cvc("","", "",""), 1 + 1, 1)",0.0,10000,0.08842802047729492
26,"substr_cvc(int_to_str_cvc(_arg_2), if true
        0
    else
        1
    end, 1)",0.0,10000,0.08481383323669434
27,"substr_cvc(concat_cvc(_arg_1, "",""), 0, 1 - 1)",0.0,10000,0.0825049877166748
28,"substr_cvc(prefixof_cvc("","", "" ""), _arg_2, 1 == 1)",0.0,10000,0.09537696838378906
29,"substr_cvc(contains_cvc("" "", _arg_1), 2, 1 + 1)",0.0,10000,0.09558391571044922
30,"substr_cvc("""", -1 + _arg_2, 1 == 1)",0.0,10000,0.08532881736755371
31,"substr_cvc("" "", 2 == 2, 1 + 1)",0.0,10000,0.07304000854492188
32,"substr_cvc(at_cvc(_arg_1, 1), 1, if true
        1
    else
        1
    end)",0.0,10000,0.07179999351501465
33,"substr_cvc(prefixof_cvc("""", """"), 1, if true
        1
    else
        1
    end)",0.0,10000,0.10889887809753418
34,"substr_cvc(contains_cvc("","", """"), 1, if true
        1
    else
        1
    end)",0.0,10000,0.07227110862731934
35,"substr_cvc("" "", 0 - 1, if true
        1
    else
        1
    end)",0.0,10000,0.08537912368774414
36,"replace_cvc(concat_cvc("","", """"), prefixof_cvc("","", """"), int_to_str_cvc(1))",0.0,10000,0.10662007331848145
37,"replace_cvc(suffixof_cvc("","", _arg_1), suffixof_cvc("","", """"), int_to_str_cvc(1))",0.0,10000,0.09473109245300293
38,"replace_cvc(at_cvc("" "", 1), contains_cvc("","", """"), int_to_str_cvc(1))",0.0,10000,0.08880615234375
39,"replace_cvc(at_cvc("" "", _arg_2), at_cvc("""", _arg_2), int_to_str_cvc(1))",0.0,10000,0.08890008926391602
40,"substr_cvc(substr_cvc(_arg_1, 2, 2), _arg_2, _arg_2 - 1)",0.0,10000,0.08437108993530273
41,"substr_cvc(substr_cvc("" "", _arg_2, _arg_2), -1, _arg_2 == 1)",0.0,10000,0.08160519599914551
42,"substr_cvc(substr_cvc("","", _arg_2, 0), 0, _arg_2 + 1)",0.0,10000,0.08338189125061035
43,"if true
    if false
        """"
    else
        "",""
    end
else
    contains_cvc("""", "" "")
end",0.0,10000,0.0345461368560791
44,"if false
    replace_cvc("","", """", _arg_1)
else
    concat_cvc("""", "" "")
end",0.0,10000,0.055375099182128906
45,"if false
    substr_cvc("""", -1, 2)
else
    prefixof_cvc("""", "" "")
end",0.0,10000,0.05891013145446777
46,"if true
    replace_cvc("","", "" "", """")
else
    at_cvc("","", -1)
end",0.0,10000,0.048130035400390625
47,"replace_cvc(replace_cvc("","", _arg_1, _arg_1), int_to_str_cvc(_arg_2), int_to_str_cvc(0))",0.0,10000,0.04795384407043457
48,"if true
    suffixof_cvc("" "", "","")
else
    substr_cvc(_arg_1, 2, 0)
end",0.0,10000,0.06623506546020508
49,"at_cvc(replace_cvc(_arg_1, "" "", """"), indexof_cvc(_arg_1, _arg_1, 0))",0.0,10000,0.053433895111083984
50,"if false
    prefixof_cvc("""", "","")
else
    replace_cvc("" "", _arg_1, "" "")
end",0.0,10000,0.06391716003417969
51,"if false
    at_cvc("","", 0)
else
    replace_cvc("" "", "" "", "" "")
end",0.0,10000,0.09247112274169922
