attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.09202289581298828,No updates
2,"substr_cvc(""+"", 0, 5 - 0)",0.0,0.08032846450805664,No updates
3,"replace_cvc(_arg_1, ""."", prefixof_cvc(""-"", _arg_1))",0.0,0.07043790817260742,No updates
4,"substr_cvc(substr_cvc(""-"", 0, 4), 5, 3)",0.0,0.08516764640808105,No updates
5,"substr_cvc(""-"", indexof_cvc(""+"", _arg_1, 4), 1)",0.0,0.06371235847473145,No updates
6,"at_cvc(prefixof_cvc(_arg_1, "" ""), 2 - 5)",0.0,0.08476400375366211,No updates
7,"replace_cvc(substr_cvc(_arg_1, 1, 3), _arg_1, _arg_1)",0.0,0.07444572448730469,No updates
8,"replace_cvc(""+"", substr_cvc(""."", 2, 4), _arg_1)",0.0,0.0735483169555664,No updates
9,"replace_cvc(at_cvc("" "", 3), ""."", contains_cvc(_arg_1, _arg_1))",0.0,0.08620953559875488,No updates
10,"replace_cvc(at_cvc(""."", 5), ""."", contains_cvc(_arg_1, _arg_1))",0.0,0.10289597511291504,No updates
11,"replace_cvc(concat_cvc(""-"", "".""), ""."", contains_cvc(_arg_1, _arg_1))",0.0,0.09946465492248535,No updates
12,"replace_cvc(prefixof_cvc(""+"", "".""), ""."", contains_cvc(_arg_1, _arg_1))",0.0,0.1024620532989502,No updates
13,"replace_cvc(suffixof_cvc("" "", "".""), ""."", contains_cvc(_arg_1, _arg_1))",0.0,0.11328792572021484,No updates
14,"replace_cvc(contains_cvc(_arg_1, "".""), ""."", contains_cvc(_arg_1, _arg_1))",0.0,0.10190844535827637,No updates
15,"replace_cvc(contains_cvc(""."", "".""), ""."", contains_cvc(_arg_1, _arg_1))",0.0,0.09988570213317871,No updates
16,"replace_cvc(_arg_1, contains_cvc(""."", "".""), contains_cvc(_arg_1, _arg_1))",0.0,0.11013579368591309,No updates
17,"replace_cvc("" "", contains_cvc(""."", "".""), contains_cvc(_arg_1, _arg_1))",0.0,0.09843659400939941,No updates
18,"replace_cvc(""+"", contains_cvc(""."", "".""), contains_cvc(_arg_1, _arg_1))",0.0,0.09878182411193848,No updates
19,"replace_cvc(""-"", contains_cvc(""."", "".""), contains_cvc(_arg_1, _arg_1))",0.0,0.11034989356994629,No updates
20,"replace_cvc(""."", contains_cvc(""."", "".""), contains_cvc(_arg_1, _arg_1))",0.0,0.0875997543334961,No updates
21,"replace_cvc(""-"", at_cvc("" "", 3), contains_cvc(_arg_1, _arg_1))",0.0,0.09567570686340332,No updates
22,"replace_cvc(prefixof_cvc("" "", ""-""), _arg_1, at_cvc(""."", 1))",0.0,0.0912618637084961,No updates
23,"replace_cvc(contains_cvc(""."", "".""), ""."", at_cvc(_arg_1, 5))",0.0,0.07930517196655273,No updates
24,"substr_cvc(at_cvc(""-"", 5), 1 + 0, 3)",0.0,0.08040785789489746,No updates
25,"substr_cvc(concat_cvc(""-"", "" ""), 2 + 5, 1)",0.0,0.08733916282653809,No updates
26,"substr_cvc(prefixof_cvc(""+"", "".""), 4 + 3, 5)",0.0,0.10142230987548828,No updates
