attempt,best_program,program_score,iterations,time_seconds
1,1,0.0,10000,0.14014697074890137
2,"indexof_cvc(suffixof_cvc(_arg_1, """"), concat_cvc("""", _arg_1), 0)",0.0,10000,0.08765292167663574
3,"indexof_cvc(contains_cvc("""", """"), "" "", 1 == -1)",0.0,10000,0.0646669864654541
4,"indexof_cvc(substr_cvc("""", 0, 0), contains_cvc(_arg_1, """"), 1)",0.0,10000,0.0964958667755127
5,"indexof_cvc(if true
        """"
    else
        _arg_1
    end, "" "", 0 - 0)",0.0,10000,0.12105107307434082
6,"indexof_cvc(concat_cvc("" "", """"), substr_cvc(_arg_1, -1, 0), -1)",0.0,10000,0.08664488792419434
7,"indexof_cvc(substr_cvc("" "", 1, 0), "" "", -1 + 1)",0.0,10000,0.07211804389953613
8,"if false
    indexof_cvc("" "", "" "", 1)
else
    -1 - 0
end",0.0,10000,0.12748384475708008
9,"indexof_cvc(prefixof_cvc("""", _arg_1), "" "", if false
        -1
    else
        -1
    end)",0.0,10000,0.070465087890625
10,"indexof_cvc(concat_cvc(_arg_1, "" ""), if true
        "" ""
    else
        _arg_1
    end, len_cvc(_arg_1))",0.0,10000,0.08321690559387207
11,"indexof_cvc(substr_cvc("""", 1, 1), concat_cvc("" "", """"), str_to_int_cvc(""""))",0.0,10000,0.09433197975158691
12,"indexof_cvc(replace_cvc("" "", """", _arg_1), contains_cvc(_arg_1, _arg_1), len_cvc("" ""))",0.0,10000,0.12960100173950195
13,"indexof_cvc(at_cvc(_arg_1, 0), suffixof_cvc("""", """"), 0 - 1)",0.0,10000,0.08092188835144043
14,"indexof_cvc(prefixof_cvc("""", """"), replace_cvc("""", """", _arg_1), str_to_int_cvc(""""))",0.0,10000,0.08941388130187988
15,"indexof_cvc(if true
        """"
    else
        _arg_1
    end, replace_cvc("""", _arg_1, """"), -1)",0.0,10000,0.12355804443359375
16,"indexof_cvc(concat_cvc("" "", _arg_1), contains_cvc(_arg_1, "" ""), -1 - 1)",0.0,10000,0.09634900093078613
17,"indexof_cvc(prefixof_cvc("" "", "" ""), concat_cvc("""", _arg_1), -1 == 0)",0.0,10000,0.09746503829956055
18,"indexof_cvc(contains_cvc(_arg_1, _arg_1), prefixof_cvc("""", "" ""), -1 + -1)",0.0,10000,0.13987183570861816
19,"indexof_cvc(at_cvc("" "", 1), at_cvc("" "", 1), 1 == 1)",0.0,10000,0.08242011070251465
20,"indexof_cvc(if false
        """"
    else
        """"
    end, if true
        _arg_1
    else
        _arg_1
    end, 0)",0.0,10000,0.08459806442260742
21,"indexof_cvc(substr_cvc("" "", -1, 1), _arg_1, indexof_cvc("""", _arg_1, -1))",0.0,10000,0.08176898956298828
22,"indexof_cvc(substr_cvc("" "", 0, 1), substr_cvc("""", -1, 0), 1)",0.0,10000,0.11837196350097656
23,"indexof_cvc(at_cvc("""", 1), replace_cvc(_arg_1, """", _arg_1), 0 + 0)",0.0,10000,0.08522915840148926
24,"indexof_cvc(concat_cvc("" "", "" ""), contains_cvc(_arg_1, "" ""), if true
        0
    else
        -1
    end)",0.0,10000,0.09995007514953613
25,"indexof_cvc(suffixof_cvc("" "", _arg_1), concat_cvc("" "", "" ""), if false
        -1
    else
        1
    end)",0.0,10000,0.14067721366882324
26,"indexof_cvc(if false
        _arg_1
    else
        _arg_1
    end, at_cvc("" "", 0), -1 + 0)",0.0,10000,0.09319901466369629
27,"indexof_cvc(replace_cvc(_arg_1, "" "", "" ""), concat_cvc("" "", "" ""), -1 - -1)",0.0,10000,0.09309506416320801
28,"indexof_cvc(replace_cvc("" "", _arg_1, _arg_1), suffixof_cvc(_arg_1, """"), 1 + 1)",0.0,10000,0.10320687294006348
29,"indexof_cvc(replace_cvc("""", _arg_1, """"), substr_cvc("" "", -1, 1), len_cvc(""""))",0.0,10000,0.1021270751953125
30,"indexof_cvc(concat_cvc("" "", _arg_1), substr_cvc(_arg_1, 0, 1), 1 == -1)",0.0,10000,0.09231710433959961
31,"indexof_cvc(suffixof_cvc(_arg_1, """"), substr_cvc("" "", 0, -1), 0 + 1)",0.0,10000,0.10549211502075195
32,"indexof_cvc(contains_cvc("" "", _arg_1), substr_cvc("""", -1, 1), 0 - 0)",0.0,10000,0.08414602279663086
33,"indexof_cvc(concat_cvc("" "", _arg_1), at_cvc("" "", 0), indexof_cvc("" "", """", -1))",0.0,10000,0.08777785301208496
34,"indexof_cvc(substr_cvc(_arg_1, 0, 1), concat_cvc(_arg_1, _arg_1), -1 + 1)",0.0,10000,0.09677004814147949
35,"indexof_cvc(substr_cvc("""", 0, 0), prefixof_cvc(_arg_1, """"), -1 - 0)",0.0,10000,0.08860898017883301
36,"indexof_cvc(substr_cvc("" "", 0, -1), suffixof_cvc(_arg_1, "" ""), -1 == -1)",0.0,10000,0.09367489814758301
37,"indexof_cvc(if true
        _arg_1
    else
        _arg_1
    end, contains_cvc("""", """"), 1 - 1)",0.0,10000,0.08977484703063965
38,"indexof_cvc(if false
        _arg_1
    else
        "" ""
    end, concat_cvc("""", "" ""), 1 == 0)",0.0,10000,0.08902382850646973
39,"indexof_cvc(at_cvc("""", 0), substr_cvc("""", -1, 0), 1 + -1)",0.0,10000,0.0919179916381836
40,"indexof_cvc(at_cvc(_arg_1, 1), if true
        "" ""
    else
        "" ""
    end, 0 - 1)",0.0,10000,0.08457398414611816
41,"indexof_cvc(concat_cvc(_arg_1, """"), suffixof_cvc(_arg_1, _arg_1), indexof_cvc("" "", """", 0))",0.0,10000,0.09915399551391602
42,"indexof_cvc(prefixof_cvc(_arg_1, "" ""), contains_cvc(_arg_1, "" ""), indexof_cvc(_arg_1, """", -1))",0.0,10000,0.09681081771850586
43,"indexof_cvc(suffixof_cvc("""", """"), concat_cvc("""", _arg_1), indexof_cvc("""", "" "", 1))",0.0,10000,0.10481500625610352
44,"indexof_cvc(contains_cvc("""", "" ""), prefixof_cvc("""", """"), indexof_cvc("" "", "" "", 0))",0.0,10000,0.08573603630065918
45,"indexof_cvc(concat_cvc("" "", "" ""), replace_cvc("" "", "" "", _arg_1), -1 + -1)",0.0,10000,0.1093130111694336
46,"indexof_cvc(suffixof_cvc("""", """"), replace_cvc("""", "" "", """"), 1 == 1)",0.0,10000,0.10831093788146973
47,"indexof_cvc(if true
        _arg_1
    else
        """"
    end, replace_cvc("""", """", """"), str_to_int_cvc(""""))",0.0,10000,0.08642697334289551
48,"indexof_cvc(substr_cvc("" "", 1, 1), substr_cvc(_arg_1, -1, 1), len_cvc("" ""))",0.0,10000,0.0907289981842041
49,"indexof_cvc(at_cvc(_arg_1, 1), contains_cvc(_arg_1, "" ""), indexof_cvc("" "", """", 1))",0.0,10000,0.08268499374389648
