attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.09838080406188965,No updates
2,"if true
    int_to_str_cvc(0)
else
    prefixof_cvc("" "", """")
end",0.0,0.06139850616455078,No updates
3,"replace_cvc("""", if false
        "" ""
    else
        """"
    end, _arg_1)",0.0,0.06780600547790527,No updates
4,"replace_cvc(int_to_str_cvc(1), concat_cvc("""", """"), int_to_str_cvc(0))",0.0,0.04393887519836426,No updates
5,"if false
    suffixof_cvc("""", "","")
else
    contains_cvc("""", _arg_1)
end",0.0,0.07045388221740723,No updates
6,"at_cvc(replace_cvc(_arg_1, "","", """"), 0 - 0)",0.0,0.08906006813049316,No updates
7,"replace_cvc(prefixof_cvc(_arg_1, "",""), prefixof_cvc("" "", """"), _arg_1)",0.0,0.10281085968017578,No updates
8,"replace_cvc(contains_cvc("" "", "" ""), prefixof_cvc("","", """"), _arg_1)",0.0,0.08503007888793945,No updates
9,"replace_cvc(at_cvc("""", -1), """", suffixof_cvc("""", _arg_1))",0.0,0.09382438659667969,No updates
10,"replace_cvc(suffixof_cvc(_arg_1, _arg_1), """", contains_cvc("""", _arg_1))",0.0,0.1016533374786377,No updates
11,"replace_cvc(_arg_1, prefixof_cvc("","", "" ""), concat_cvc("""", _arg_1))",0.0,0.0994117259979248,No updates
12,"replace_cvc("" "", contains_cvc("" "", "" ""), prefixof_cvc("""", _arg_1))",0.0,0.0980386734008789,No updates
13,"replace_cvc(at_cvc("""", 0), prefixof_cvc("" "", """"), _arg_1)",0.0,0.08494234085083008,No updates
14,"substr_cvc(at_cvc(_arg_1, 0), -1 - -1, 1)",0.0,0.09196972846984863,No updates
15,"substr_cvc(prefixof_cvc("""", "" ""), 0, -1 == 0)",0.0,0.10140395164489746,No updates
16,"substr_cvc(suffixof_cvc("""", "",""), 1, if true
        -1
    else
        -1
    end)",0.0,0.09641408920288086,No updates
17,"replace_cvc(suffixof_cvc(_arg_1, "" ""), contains_cvc("","", "" ""), int_to_str_cvc(1))",0.0,0.09917569160461426,No updates
18,"replace_cvc(contains_cvc("" "", "" ""), at_cvc("","", -1), int_to_str_cvc(0))",0.0,0.06108832359313965,No updates
19,"if true
    replace_cvc("" "", """", """")
else
    concat_cvc("""", "" "")
end",0.0,0.03878068923950195,No updates
20,"if false
    substr_cvc("","", 1, -1)
else
    prefixof_cvc("""", "" "")
end",0.0,0.045302629470825195,No updates
21,"if true
    at_cvc("","", 1)
else
    substr_cvc("","", 0, 1)
end",0.0,0.09169363975524902,No updates
22,"if true
    prefixof_cvc("""", "","")
else
    replace_cvc("","", _arg_1, "" "")
end",0.0,0.04050469398498535,No updates
23,"replace_cvc(concat_cvc("" "", _arg_1), "","", if false
        "" ""
    else
        "" ""
    end)",0.0,0.09206652641296387,No updates
24,"replace_cvc(at_cvc("" "", 0), _arg_1, if true
        """"
    else
        "" ""
    end)",0.0,0.07529997825622559,No updates
25,"replace_cvc(prefixof_cvc("","", """"), "","", replace_cvc("""", """", "" ""))",0.0,0.10842323303222656,No updates
26,"replace_cvc(concat_cvc("""", _arg_1), replace_cvc("","", "" "", """"), "" "")",0.0,0.11386656761169434,No updates
27,"replace_cvc(suffixof_cvc("" "", "",""), replace_cvc("","", "","", """"), "" "")",0.0,0.0921635627746582,No updates
28,"at_cvc(if true
        "",""
    else
        "" ""
    end, if false
        1
    else
        0
    end)",0.0,0.08436846733093262,No updates
29,"replace_cvc("","", contains_cvc("","", "" ""), if false
        """"
    else
        "" ""
    end)",0.0,0.08333706855773926,No updates
30,"replace_cvc(_arg_1, prefixof_cvc("" "", "",""), replace_cvc("" "", """", "" ""))",0.0,0.10335612297058105,No updates
31,"replace_cvc("" "", contains_cvc("""", "",""), replace_cvc("","", """", "" ""))",0.0,0.0903632640838623,No updates
32,"replace_cvc(substr_cvc("" "", 0, 1), concat_cvc(_arg_1, """"), "" "")",0.0,0.09044170379638672,No updates
