attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.0964348316192627,No updates
2,"substr_cvc(concat_cvc("" "", ""/""), 0, 3)",0.0,0.0969691276550293,No updates
3,"if false
    substr_cvc("" "", 2, 3)
else
    ""/""
end",0.0,0.06793737411499023,No updates
4,"at_cvc(contains_cvc(""/"", ""/""), 0 == 2)",0.0,0.06439757347106934,No updates
5,"replace_cvc(""/"", replace_cvc("""", ""/"", """"), _arg_1)",0.0,0.07198524475097656,No updates
6,"substr_cvc(if true
        "" ""
    else
        """"
    end, 0, 0)",0.0,0.0705263614654541,No updates
7,"substr_cvc(int_to_str_cvc(-1), 3, if true
        0
    else
        0
    end)",0.0,0.08067512512207031,No updates
8,"replace_cvc(int_to_str_cvc(3), at_cvc(""/"", -1), int_to_str_cvc(0))",0.0,0.08222556114196777,No updates
9,"if false
    contains_cvc(_arg_1, ""/"")
else
    contains_cvc(""/"", _arg_1)
end",0.0,0.05327486991882324,No updates
10,"if false
    int_to_str_cvc(2)
else
    substr_cvc("""", 3, 2)
end",0.0,0.07549929618835449,No updates
11,"at_cvc(substr_cvc(""/"", 0, 3), 0 + 2)",0.0,0.08440899848937988,No updates
12,"at_cvc(replace_cvc(""/"", "" "", ""/""), 0 + 2)",0.0,0.08780717849731445,No updates
13,"replace_cvc(concat_cvc("" "", ""/""), concat_cvc(""/"", """"), _arg_1)",0.0,0.10968971252441406,No updates
14,"replace_cvc(contains_cvc(_arg_1, "" ""), prefixof_cvc(_arg_1, """"), _arg_1)",0.0,0.10710644721984863,No updates
15,"replace_cvc(at_cvc(""/"", 1), at_cvc(_arg_1, -1), _arg_1)",0.0,0.05680680274963379,No updates
16,"replace_cvc(at_cvc("""", 0), _arg_1, concat_cvc("""", _arg_1))",0.0,0.09123373031616211,No updates
17,"replace_cvc(prefixof_cvc("" "", _arg_1), _arg_1, prefixof_cvc("""", _arg_1))",0.0,0.10311245918273926,No updates
18,"replace_cvc(contains_cvc(""/"", ""/""), _arg_1, suffixof_cvc("""", _arg_1))",0.0,0.11269974708557129,No updates
19,"replace_cvc("" "", prefixof_cvc("" "", _arg_1), contains_cvc("""", _arg_1))",0.0,0.09582781791687012,No updates
20,"replace_cvc("" "", at_cvc("" "", 2), concat_cvc("""", _arg_1))",0.0,0.08007001876831055,No updates
21,"replace_cvc(int_to_str_cvc(-1), _arg_1, replace_cvc("""", """", _arg_1))",0.0,0.07819008827209473,No updates
22,"replace_cvc(_arg_1, concat_cvc(""/"", """"), at_cvc(""/"", -1))",0.0,0.0953986644744873,No updates
23,"substr_cvc(at_cvc("" "", 2), -1 == -1, -1)",0.0,0.08016371726989746,No updates
24,"substr_cvc(prefixof_cvc("""", _arg_1), -1 - -1, -1)",0.0,0.10115289688110352,No updates
25,"substr_cvc(suffixof_cvc(""/"", ""/""), -1 + -1, -1)",0.0,0.09476041793823242,No updates
26,"substr_cvc(int_to_str_cvc(0), if true
        1
    else
        -1
    end, -1)",0.0,0.11240696907043457,No updates
27,"substr_cvc(concat_cvc(_arg_1, ""/""), 1, -1 - -1)",0.0,0.08766293525695801,No updates
28,"substr_cvc(prefixof_cvc(""/"", "" ""), 0, -1 == -1)",0.0,0.10136032104492188,No updates
29,"substr_cvc(contains_cvc("" "", _arg_1), 3, -1 + -1)",0.0,0.08546280860900879,No updates
30,"substr_cvc("""", 2 + 0, -1 == -1)",0.0,0.09222817420959473,No updates
31,"substr_cvc("" "", 3 == 3, -1 + -1)",0.0,0.0950925350189209,No updates
32,"substr_cvc(at_cvc(_arg_1, -1), -1, if true
        -1
    else
        -1
    end)",0.0,0.07460951805114746,No updates
33,"substr_cvc(prefixof_cvc("""", """"), -1, if true
        -1
    else
        -1
    end)",0.0,0.1021733283996582,No updates
34,"substr_cvc(contains_cvc(""/"", """"), -1, if true
        -1
    else
        -1
    end)",0.0,0.07363677024841309,No updates
35,"substr_cvc("" "", 1 - -1, if true
        -1
    else
        -1
    end)",0.0,0.09662461280822754,No updates
