attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.3333333333333333,0.14835786819458008,New Rule: _arg_1
2,_arg_1,0.3333333333333333,0.09230351448059082,No updates
3,"if false
    int_to_str_cvc(1)
else
    concat_cvc(_arg_1, """")
end",0.3333333333333333,0.06516861915588379,No updates
4,"replace_cvc("""", if false
        "" ""
    else
        """"
    end, _arg_1)",0.3333333333333333,0.08046793937683105,No updates
5,"if false
    at_cvc(_arg_1, 1)
else
    concat_cvc(_arg_1, """")
end",0.3333333333333333,0.05175018310546875,No updates
6,"if false
    suffixof_cvc("" "", _arg_1)
else
    concat_cvc(_arg_1, """")
end",0.3333333333333333,0.10912179946899414,No updates
7,"replace_cvc(concat_cvc(_arg_1, _arg_1), concat_cvc(_arg_1, _arg_1), _arg_1)",0.3333333333333333,0.08993697166442871,No updates
8,"replace_cvc(prefixof_cvc(_arg_1, ""/n""), prefixof_cvc("" "", """"), _arg_1)",0.0,0.10274386405944824,No updates
9,"replace_cvc(concat_cvc(_arg_1, """"), at_cvc("" "", 1), "" "")",0.3333333333333333,0.07902097702026367,No updates
10,"replace_cvc(at_cvc("" "", 1), "" "", concat_cvc(_arg_1, """"))",0.3333333333333333,0.1055910587310791,No updates
11,"replace_cvc(_arg_1, concat_cvc(_arg_1, _arg_1), concat_cvc(_arg_1, _arg_1))",0.3333333333333333,0.14844322204589844,No updates
12,"replace_cvc("""", concat_cvc("""", """"), concat_cvc(_arg_1, """"))",0.3333333333333333,0.09952569007873535,No updates
13,"replace_cvc(""/n"", concat_cvc("""", ""/n""), concat_cvc(_arg_1, """"))",0.3333333333333333,0.0901479721069336,No updates
14,"replace_cvc(at_cvc("" "", 1), concat_cvc("""", "" ""), _arg_1)",0.3333333333333333,0.0863046646118164,No updates
15,"replace_cvc(_arg_1, at_cvc(_arg_1, 1), at_cvc(_arg_1, 1))",0.3333333333333333,0.10372233390808105,No updates
16,"replace_cvc(_arg_1, int_to_str_cvc(1), substr_cvc(_arg_1, 1, 1))",0.3333333333333333,0.1166086196899414,No updates
17,"replace_cvc(concat_cvc(_arg_1, """"), concat_cvc(_arg_1, _arg_1), int_to_str_cvc(1))",0.3333333333333333,0.09664440155029297,No updates
18,"replace_cvc(concat_cvc(_arg_1, """"), at_cvc(_arg_1, 1), int_to_str_cvc(1))",0.3333333333333333,0.09916877746582031,No updates
19,"if true
    if true
        _arg_1
    else
        _arg_1
    end
else
    concat_cvc(_arg_1, _arg_1)
end",0.3333333333333333,0.056005239486694336,No updates
20,"if true
    replace_cvc("" "", "" "", _arg_1)
else
    concat_cvc(_arg_1, _arg_1)
end",0.3333333333333333,0.05711007118225098,No updates
21,"if false
    substr_cvc(""/n"", 0, 1)
else
    concat_cvc(_arg_1, """")
end",0.3333333333333333,0.04684805870056152,No updates
22,"if true
    concat_cvc(_arg_1, """")
else
    substr_cvc(_arg_1, 1, 1)
end",0.3333333333333333,0.05958199501037598,No updates
23,"if false
    concat_cvc(_arg_1, _arg_1)
else
    replace_cvc(_arg_1, _arg_1, _arg_1)
end",0.3333333333333333,0.045714378356933594,No updates
24,"replace_cvc(concat_cvc("" "", """"), "" "", if true
        _arg_1
    else
        _arg_1
    end)",0.3333333333333333,0.10422062873840332,No updates
25,"replace_cvc(concat_cvc(_arg_1, """"), _arg_1, replace_cvc(_arg_1, _arg_1, _arg_1))",0.3333333333333333,0.08486437797546387,No updates
26,"replace_cvc(concat_cvc(_arg_1, """"), replace_cvc(_arg_1, _arg_1, _arg_1), _arg_1)",0.3333333333333333,0.11125302314758301,No updates
27,"replace_cvc(concat_cvc("""", _arg_1), replace_cvc(""/n"", "" "", """"), "" "")",0.3333333333333333,0.09244894981384277,No updates
28,"replace_cvc(at_cvc("" "", 1), "" "", replace_cvc(_arg_1, _arg_1, _arg_1))",0.3333333333333333,0.10541486740112305,No updates
29,"replace_cvc(if true
        _arg_1
    else
        _arg_1
    end, at_cvc("" "", 1), "" "")",0.3333333333333333,0.087066650390625,No updates
30,"replace_cvc(if true
        _arg_1
    else
        _arg_1
    end, concat_cvc(_arg_1, _arg_1), _arg_1)",0.3333333333333333,0.08765435218811035,No updates
31,"replace_cvc("""", concat_cvc("""", """"), replace_cvc(_arg_1, _arg_1, _arg_1))",0.3333333333333333,0.10468864440917969,No updates
32,"replace_cvc(""/n"", concat_cvc("""", ""/n""), replace_cvc(_arg_1, _arg_1, _arg_1))",0.3333333333333333,0.09218621253967285,No updates
33,"replace_cvc(substr_cvc("" "", 0, -1), concat_cvc("""", """"), _arg_1)",0.3333333333333333,0.10848259925842285,No updates
