attempt,best_program,program_score,iterations,time_seconds
1,"at_cvc(_arg_1, _arg_2)",0.75,10000,3.952316999435425
2,"replace_cvc(at_cvc(_arg_1, _arg_2), _arg_1, int_to_str_cvc(_arg_2))",0.75,10000,0.09069299697875977
3,"at_cvc(concat_cvc("" "", _arg_1), _arg_2 + 1)",0.75,10000,0.07839584350585938
4,"replace_cvc(_arg_1, _arg_1, substr_cvc(_arg_1, _arg_2, _arg_2))",0.75,10000,0.0723419189453125
5,"substr_cvc(_arg_1, if true
        _arg_2
    else
        _arg_2
    end, _arg_2)",0.75,10000,0.15147900581359863
6,"replace_cvc(substr_cvc(_arg_1, _arg_2, _arg_2), _arg_1, int_to_str_cvc(_arg_2))",0.75,10000,0.07034993171691895
7,"if false
    concat_cvc(_arg_1, _arg_1)
else
    at_cvc(_arg_1, _arg_2)
end",0.75,10000,0.04832005500793457
8,"if false
    int_to_str_cvc(_arg_2)
else
    substr_cvc(_arg_1, _arg_2, _arg_2)
end",0.75,10000,0.07531189918518066
9,"at_cvc(if true
        _arg_1
    else
        _arg_1
    end, _arg_2 + 0)",0.75,10000,0.09665584564208984
10,"at_cvc(replace_cvc("" "", """", _arg_1), _arg_2 + 0)",0.75,10000,0.08413004875183105
11,"replace_cvc(at_cvc(_arg_1, _arg_2), at_cvc(_arg_1, 1), _arg_1)",0.75,10000,0.06866002082824707
12,"replace_cvc(_arg_1, at_cvc(_arg_1, 1), concat_cvc("""", """"))",0.25,10000,0.10578298568725586
13,"replace_cvc(at_cvc(_arg_1, _arg_2), concat_cvc(_arg_1, _arg_1), _arg_1)",0.75,10000,0.07637286186218262
14,"substr_cvc(at_cvc(_arg_1, _arg_2), 1 + 0, 1)",0.75,10000,0.07563209533691406
15,"substr_cvc(concat_cvc(_arg_1, _arg_1), _arg_2 + 0, _arg_2)",0.75,10000,0.07944488525390625
16,"substr_cvc(prefixof_cvc("""", _arg_1), -1 == 0, -1)",0.0,10000,0.10420513153076172
17,"replace_cvc("" "", at_cvc("" "", 1), at_cvc(_arg_1, _arg_2))",0.75,10000,0.08141183853149414
18,"substr_cvc(at_cvc(_arg_1, _arg_2), 1, 1 + 0)",0.75,10000,0.07571911811828613
19,"substr_cvc(concat_cvc(_arg_1, _arg_1), _arg_2, _arg_2 + 0)",0.75,10000,0.08917593955993652
20,"substr_cvc(prefixof_cvc("""", _arg_1), _arg_2, -1 - 1)",0.0,10000,0.09143304824829102
21,"replace_cvc(int_to_str_cvc(_arg_2), int_to_str_cvc(_arg_2), at_cvc(_arg_1, _arg_2))",0.75,10000,0.0805351734161377
22,"substr_cvc(_arg_1, _arg_2 - 0, _arg_2 + 0)",0.75,10000,0.09315204620361328
23,"substr_cvc("""", -1 + 0, 3 + 1)",0.0,10000,0.078948974609375
