attempt,best_program,program_score,time,new_updated_rules
1,"indexof_cvc(_arg_1, ""_"", _arg_2)",0.3333333333333333,0.4867119789123535,"New Rule: indexof_cvc(_arg_1, ""_"", _arg_2)"
2,"indexof_cvc(_arg_1, ""_"", _arg_2)",0.3333333333333333,0.12411141395568848,No updates
3,"if false
    _arg_2
else
    indexof_cvc(_arg_1, ""_"", _arg_2)
end",0.3333333333333333,0.16405344009399414,No updates
4,"indexof_cvc(_arg_1, at_cvc(""_"", 1), len_cvc(""""))",0.3333333333333333,0.1383192539215088,No updates
5,"if false
    len_cvc(_arg_1)
else
    indexof_cvc(_arg_1, ""_"", _arg_2)
end",0.3333333333333333,0.10544514656066895,No updates
6,"indexof_cvc(prefixof_cvc(_arg_1, _arg_1), concat_cvc("" "", """"), _arg_2)",0.0,0.13191771507263184,No updates
7,"indexof_cvc(concat_cvc(_arg_1, _arg_1), at_cvc(""_"", 1), _arg_2)",0.3333333333333333,0.10156989097595215,No updates
8,"indexof_cvc(_arg_1, at_cvc(""_"", 1), _arg_2 + _arg_2)",0.3333333333333333,0.10707569122314453,No updates
9,"indexof_cvc(_arg_1, concat_cvc("""", ""_""), _arg_2 + _arg_2)",0.3333333333333333,0.1259157657623291,No updates
10,"indexof_cvc("" "", concat_cvc("" "", """"), 0 + _arg_2)",0.0,0.11499571800231934,No updates
11,"indexof_cvc(concat_cvc(_arg_1, _arg_1), ""_"", _arg_2 + _arg_2)",0.3333333333333333,0.0935366153717041,No updates
12,"indexof_cvc(prefixof_cvc(_arg_1, _arg_1), ""_"", 0 == _arg_2)",0.0,0.13286423683166504,No updates
13,"indexof_cvc(contains_cvc(_arg_1, "" ""), """", 0 + _arg_2)",0.0,0.11401772499084473,No updates
14,"indexof_cvc(if true
        _arg_1
    else
        _arg_1
    end, ""_"", len_cvc(""""))",0.3333333333333333,0.10854673385620117,No updates
15,"if true
    _arg_2 + 1
else
    -1 == 1
end",0.0,0.0590360164642334,No updates
16,"indexof_cvc(if true
        _arg_1
    else
        _arg_1
    end, at_cvc(""_"", 1), _arg_2)",0.3333333333333333,0.06603407859802246,No updates
17,"if false
    _arg_2 + _arg_2
else
    indexof_cvc(_arg_1, ""_"", _arg_2)
end",0.3333333333333333,0.08529424667358398,No updates
18,"indexof_cvc(replace_cvc("" "", "" "", _arg_1), at_cvc(""_"", 1), _arg_2)",0.3333333333333333,0.08442401885986328,No updates
19,"if false
    indexof_cvc(_arg_1, ""_"", _arg_2) == _arg_2
else
    if false
        -1
    else
        1
    end
end",0.0,0.10874462127685547,No updates
20,"indexof_cvc(substr_cvc("""", 1, _arg_2), suffixof_cvc("""", "" ""), 1)",0.0,0.09525108337402344,No updates
21,"indexof_cvc(substr_cvc("" "", 0, 1), contains_cvc("""", "" ""), 1)",0.0,0.12368488311767578,No updates
22,"indexof_cvc(concat_cvc(_arg_1, _arg_1), concat_cvc("""", ""_""), len_cvc(""""))",0.3333333333333333,0.10034680366516113,No updates
23,"indexof_cvc(concat_cvc(""_"", ""_""), concat_cvc(""_"", """"), str_to_int_cvc(""_""))",0.0,0.11861824989318848,No updates
24,"indexof_cvc(suffixof_cvc(_arg_1, "" ""), suffixof_cvc(""_"", ""_""), str_to_int_cvc(""_""))",0.0,0.1335151195526123,No updates
25,"indexof_cvc(if true
        _arg_1
    else
        _arg_1
    end, ""_"", _arg_2 + _arg_2)",0.3333333333333333,0.10817766189575195,No updates
26,"indexof_cvc(if false
        _arg_1
    else
        _arg_1
    end, ""_"", _arg_2 + _arg_2)",0.3333333333333333,0.09920430183410645,No updates
27,"indexof_cvc(if true
        _arg_1
    else
        _arg_1
    end, concat_cvc("""", ""_""), _arg_2)",0.3333333333333333,0.11897134780883789,No updates
28,"indexof_cvc(if false
        _arg_1
    else
        _arg_1
    end, concat_cvc("""", ""_""), _arg_2)",0.3333333333333333,0.09320855140686035,No updates
29,"indexof_cvc(replace_cvc(_arg_1, "" "", _arg_1), concat_cvc("" "", ""_""), _arg_2)",0.3333333333333333,0.10836195945739746,"New Rule: indexof_cvc(replace_cvc(_arg_1, "" "", _arg_1), concat_cvc("" "", ""_""), _arg_2)"
30,"indexof_cvc(_arg_1, ""_"", _arg_2)",0.3333333333333333,0.13141679763793945,No updates
31,"if false
    _arg_2
else
    indexof_cvc(_arg_1, ""_"", _arg_2)
end",0.3333333333333333,0.08804631233215332,No updates
32,"indexof_cvc(replace_cvc(""_"", ""_"", _arg_1), ""_"", _arg_2)",0.3333333333333333,0.10485076904296875,No updates
33,"indexof_cvc(_arg_1, ""_"", indexof_cvc(_arg_1, _arg_1, _arg_2))",0.3333333333333333,0.08584094047546387,No updates
34,"if false
    len_cvc(_arg_1)
else
    indexof_cvc(_arg_1, ""_"", _arg_2)
end",0.3333333333333333,0.10422348976135254,No updates
35,"indexof_cvc(concat_cvc("" "", _arg_1), concat_cvc("" "", ""_""), _arg_2)",0.3333333333333333,0.14420247077941895,No updates
36,"indexof_cvc(suffixof_cvc(_arg_1, """"), prefixof_cvc(""_"", ""_""), _arg_2)",0.0,0.12346243858337402,No updates
37,"indexof_cvc(concat_cvc(_arg_1, _arg_1), at_cvc(""_"", 1), _arg_2)",0.3333333333333333,0.10611081123352051,No updates
