attempt,best_program,program_score,iterations,time_seconds
1,_arg_1,0.0,10000,0.08080005645751953
2,"replace_cvc(""-"", concat_cvc(""."", ""+""), _arg_1)",0.0,10000,0.07475399971008301
3,"substr_cvc(replace_cvc(""-"", _arg_1, _arg_1), 1, 1)",0.0,10000,0.06939220428466797
4,"replace_cvc(""-"", ""+"", substr_cvc(_arg_1, 1, 1))",0.0,10000,0.05780506134033203
5,"replace_cvc(""-"", replace_cvc(""+"", ""."", ""-""), _arg_1)",0.0,10000,0.10845303535461426
6,"replace_cvc(at_cvc(""."", 2), "" "", concat_cvc(""-"", _arg_1))",0.0,10000,0.0828399658203125
7,"replace_cvc(concat_cvc(""-"", ""-""), "" "", concat_cvc(""-"", _arg_1))",0.0,10000,0.08849811553955078
8,"replace_cvc(prefixof_cvc(""+"", ""-""), "" "", concat_cvc(""-"", _arg_1))",0.0,10000,0.09843206405639648
9,"replace_cvc(suffixof_cvc("" "", ""-""), "" "", concat_cvc(""-"", _arg_1))",0.0,10000,0.1021890640258789
10,"replace_cvc(contains_cvc(_arg_1, ""-""), "" "", concat_cvc(""-"", _arg_1))",0.0,10000,0.10187292098999023
11,"replace_cvc(contains_cvc(""."", ""-""), "" "", concat_cvc(""-"", _arg_1))",0.0,10000,0.11160016059875488
12,"replace_cvc(_arg_1, contains_cvc(""-"", "" ""), concat_cvc(""-"", _arg_1))",0.0,10000,0.08873414993286133
13,"replace_cvc("" "", contains_cvc(""-"", "" ""), concat_cvc(""-"", _arg_1))",0.0,10000,0.0888059139251709
14,"replace_cvc(""+"", contains_cvc(""-"", "" ""), concat_cvc(""-"", _arg_1))",0.0,10000,0.10107183456420898
15,"replace_cvc(""-"", contains_cvc(""-"", "" ""), concat_cvc(""-"", _arg_1))",0.0,10000,0.0886690616607666
16,"replace_cvc(""."", contains_cvc(""-"", "" ""), concat_cvc(""-"", _arg_1))",0.0,10000,0.0804908275604248
17,"replace_cvc(""."", at_cvc(""+"", 3), concat_cvc(""-"", _arg_1))",0.0,10000,0.09071898460388184
18,"replace_cvc(contains_cvc(""-"", "" ""), _arg_1, at_cvc(""-"", 3))",0.0,10000,0.07680702209472656
19,"substr_cvc(suffixof_cvc(_arg_1, "" ""), 1 + 2, 3)",0.0,10000,0.08722591400146484
20,"replace_cvc(_arg_1, contains_cvc(""+"", ""+""), at_cvc(""-"", 3))",0.0,10000,0.08783793449401855
21,"substr_cvc(at_cvc(""-"", 1), 2, 2 - 3)",0.0,10000,0.08075904846191406
22,"substr_cvc(suffixof_cvc(""."", "" ""), 3, 2 + 3)",0.0,10000,0.07517886161804199
23,"replace_cvc(""-"", at_cvc(_arg_1, 3), at_cvc(""-"", 3))",0.0,10000,0.0847940444946289
24,"at_cvc(prefixof_cvc(_arg_1, ""+""), indexof_cvc(_arg_1, ""-"", 3))",0.0,10000,0.09126687049865723
25,"replace_cvc(concat_cvc(_arg_1, "" ""), prefixof_cvc(""-"", ""-""), _arg_1)",0.0,10000,0.09258317947387695
26,"replace_cvc(concat_cvc(""."", "" ""), prefixof_cvc(""-"", ""-""), _arg_1)",0.0,10000,0.09043192863464355
27,"replace_cvc(prefixof_cvc(""-"", "" ""), prefixof_cvc(""-"", ""-""), _arg_1)",0.0,10000,0.09181904792785645
28,"replace_cvc(suffixof_cvc(""+"", "" ""), prefixof_cvc(""-"", ""-""), _arg_1)",0.0,10000,0.10034704208374023
29,"replace_cvc(contains_cvc("" "", "" ""), prefixof_cvc(""-"", ""-""), _arg_1)",0.0,10000,0.09035301208496094
30,"replace_cvc(at_cvc(_arg_1, 1), prefixof_cvc(""-"", ""-""), _arg_1)",0.0,10000,0.08646488189697266
31,"replace_cvc(at_cvc("" "", 3), at_cvc(_arg_1, 3), _arg_1)",0.0,10000,0.07902002334594727
32,"replace_cvc(contains_cvc(""+"", ""+""), at_cvc(_arg_1, 3), _arg_1)",0.0,10000,0.10056304931640625
33,"replace_cvc(replace_cvc(_arg_1, ""-"", ""+""), ""+"", concat_cvc(""-"", _arg_1))",0.0,10000,0.0864260196685791
34,"replace_cvc(replace_cvc("" "", ""+"", ""+""), ""+"", concat_cvc(""-"", _arg_1))",0.0,10000,0.09209799766540527
35,"replace_cvc(replace_cvc(""+"", "" "", ""+""), ""+"", concat_cvc(""-"", _arg_1))",0.0,10000,0.0847620964050293
36,"replace_cvc(replace_cvc(""-"", _arg_1, ""+""), ""+"", concat_cvc(""-"", _arg_1))",0.0,10000,0.09330987930297852
37,"replace_cvc(replace_cvc(""-"", ""."", ""+""), ""+"", concat_cvc(""-"", _arg_1))",0.0,10000,0.0833292007446289
38,"replace_cvc(replace_cvc(""."", ""-"", ""+""), ""+"", concat_cvc(""-"", _arg_1))",0.0,10000,0.08759903907775879
39,"substr_cvc(substr_cvc(""-"", 0, 0), 2, 1 + 3)",0.0,10000,0.08063602447509766
40,"replace_cvc(substr_cvc(_arg_1, 2, 3), ""."", contains_cvc(_arg_1, _arg_1))",0.0,10000,0.08210897445678711
41,"replace_cvc(substr_cvc("" "", 3, 3), ""."", contains_cvc(_arg_1, _arg_1))",0.0,10000,0.09066319465637207
42,"replace_cvc(substr_cvc(""-"", 0, 3), ""."", contains_cvc(_arg_1, _arg_1))",0.0,10000,0.0820760726928711
43,"replace_cvc(substr_cvc(""."", 1, 3), ""."", contains_cvc(_arg_1, _arg_1))",0.0,10000,0.09466719627380371
44,"replace_cvc(_arg_1, substr_cvc(""-"", 2, 3), contains_cvc(_arg_1, _arg_1))",0.0,10000,0.08509588241577148
45,"replace_cvc("" "", substr_cvc(""."", 3, 3), contains_cvc(_arg_1, _arg_1))",0.0,10000,0.09278297424316406
46,"replace_cvc(""-"", substr_cvc("" "", 0, 3), contains_cvc(_arg_1, _arg_1))",0.0,10000,0.0841670036315918
47,"replace_cvc(""."", substr_cvc(""+"", 1, 3), contains_cvc(_arg_1, _arg_1))",0.0,10000,0.09250712394714355
48,"replace_cvc(substr_cvc(_arg_1, 2, 3), contains_cvc(""."", _arg_1), _arg_1)",0.0,10000,0.08211612701416016
49,"replace_cvc(substr_cvc("" "", 3, 3), contains_cvc(""."", _arg_1), _arg_1)",0.0,10000,0.09043407440185547
50,"replace_cvc(substr_cvc(""-"", 0, 3), contains_cvc(""."", _arg_1), _arg_1)",0.0,10000,0.08186697959899902
51,"replace_cvc(substr_cvc(""."", 1, 3), contains_cvc(""."", _arg_1), _arg_1)",0.0,10000,0.09484696388244629
52,"replace_cvc(replace_cvc(_arg_1, ""+"", "" ""), contains_cvc(""."", _arg_1), _arg_1)",0.0,10000,0.08629584312438965
53,"replace_cvc(replace_cvc("" "", "" "", "" ""), contains_cvc(""."", _arg_1), _arg_1)",0.0,10000,0.09202909469604492
54,"replace_cvc(replace_cvc(""+"", _arg_1, "" ""), contains_cvc(""."", _arg_1), _arg_1)",0.0,10000,0.08353781700134277
55,"replace_cvc(replace_cvc(""+"", ""."", "" ""), contains_cvc(""."", _arg_1), _arg_1)",0.0,10000,0.09185791015625
56,"replace_cvc(replace_cvc(""-"", ""-"", "" ""), contains_cvc(""."", _arg_1), _arg_1)",0.0,10000,0.08342599868774414
57,"replace_cvc(replace_cvc(""."", ""+"", "" ""), contains_cvc(""."", _arg_1), _arg_1)",0.0,10000,0.0956580638885498
58,"replace_cvc(_arg_1, replace_cvc("" "", "" "", "".""), contains_cvc(_arg_1, _arg_1))",0.0,10000,0.0871729850769043
59,"replace_cvc("" "", replace_cvc(_arg_1, "" "", "".""), contains_cvc(_arg_1, _arg_1))",0.0,10000,0.09408903121948242
60,"replace_cvc("" "", replace_cvc(""."", "" "", "".""), contains_cvc(_arg_1, _arg_1))",0.0,10000,0.0850210189819336
61,"replace_cvc(""+"", replace_cvc(""-"", "" "", "".""), contains_cvc(_arg_1, _arg_1))",0.0,10000,0.09296917915344238
62,"replace_cvc(""-"", replace_cvc(""+"", "" "", "".""), contains_cvc(_arg_1, _arg_1))",0.0,10000,0.08542680740356445
63,"replace_cvc(""."", replace_cvc("" "", "" "", "".""), contains_cvc(_arg_1, _arg_1))",0.0,10000,0.09195685386657715
64,"replace_cvc(replace_cvc(_arg_1, "" "", "".""), at_cvc(""-"", 3), _arg_1)",0.0,10000,0.07281923294067383
65,"replace_cvc(replace_cvc(""."", "" "", "".""), at_cvc(""-"", 3), _arg_1)",0.0,10000,0.07862210273742676
66,"replace_cvc(at_cvc(""-"", 1), ""+"", replace_cvc(""."", _arg_1, _arg_1))",0.0,10000,0.07549095153808594
67,"replace_cvc(substr_cvc(""-"", 2, 3), ""-"", at_cvc(""-"", 3))",0.0,10000,0.08343100547790527
68,"substr_cvc(substr_cvc(""-"", 3, 2), 2 + 1, 3)",0.0,10000,0.07047796249389648
69,"substr_cvc(replace_cvc(""+"", ""+"", _arg_1), 3 + 1, 3)",0.0,10000,0.07887697219848633
70,"replace_cvc(replace_cvc(_arg_1, ""-"", ""+""), "" "", at_cvc(""-"", 3))",0.0,10000,0.07276082038879395
71,"replace_cvc(replace_cvc(""."", ""-"", ""+""), "" "", at_cvc(""-"", 3))",0.0,10000,0.08453989028930664
72,"replace_cvc(_arg_1, concat_cvc("" "", "".""), replace_cvc(""."", ""+"", _arg_1))",0.0,10000,0.08755993843078613
73,"replace_cvc(_arg_1, contains_cvc(""+"", "".""), replace_cvc(""."", ""+"", _arg_1))",0.0,10000,0.09063410758972168
74,"replace_cvc("" "", suffixof_cvc(""-"", "".""), replace_cvc(""."", ""+"", _arg_1))",0.0,10000,0.08127593994140625
75,"replace_cvc(""+"", prefixof_cvc(""."", "".""), replace_cvc(""."", ""+"", _arg_1))",0.0,10000,0.09000897407531738
76,"replace_cvc(""-"", prefixof_cvc(_arg_1, "".""), replace_cvc(""."", ""+"", _arg_1))",0.0,10000,0.088623046875
77,"replace_cvc(""."", concat_cvc("" "", "".""), replace_cvc(""."", ""+"", _arg_1))",0.0,10000,0.08605313301086426
78,"replace_cvc(""."", contains_cvc(""+"", "".""), replace_cvc(""."", ""+"", _arg_1))",0.0,10000,0.07964611053466797
79,"substr_cvc(replace_cvc(""+"", ""-"", ""-""), 0, 3 - 3)",0.0,10000,0.0692739486694336
80,"substr_cvc(_arg_1, indexof_cvc(""."", "" "", 1), 3 + 3)",0.0,10000,0.0841529369354248
81,"substr_cvc(""-"", indexof_cvc(""."", ""."", 1), 3 - 3)",0.0,10000,0.06128191947937012
82,"substr_cvc(concat_cvc(""-"", "" ""), 3, indexof_cvc("" "", ""-"", 3))",0.0,10000,0.08893799781799316
83,"substr_cvc(prefixof_cvc(""-"", "" ""), 3, indexof_cvc("" "", ""-"", 3))",0.0,10000,0.09427189826965332
84,"substr_cvc(suffixof_cvc(""-"", "" ""), 3, indexof_cvc("" "", ""-"", 3))",0.0,10000,0.1029660701751709
85,"substr_cvc(contains_cvc(""-"", "" ""), 3, indexof_cvc("" "", ""-"", 3))",0.0,10000,0.08455514907836914
86,"replace_cvc(""."", substr_cvc("" "", 0, 0), at_cvc(""-"", 3))",0.0,10000,0.07919502258300781
87,"substr_cvc(_arg_1, 1 + 3, indexof_cvc("" "", ""-"", 3))",0.0,10000,0.05654191970825195
88,"substr_cvc(""-"", 2 + 3, indexof_cvc("" "", ""-"", 3))",0.0,10000,0.0744011402130127
89,"replace_cvc("" "", at_cvc(""."", 1), replace_cvc(""."", ""+"", _arg_1))",0.0,10000,0.07238292694091797
90,"replace_cvc(_arg_1, replace_cvc(""."", ""+"", "" ""), at_cvc(""-"", 3))",0.0,10000,0.08250880241394043
91,"replace_cvc(""."", replace_cvc(""."", ""+"", "" ""), at_cvc(""-"", 3))",0.0,10000,0.0724949836730957
92,"replace_cvc(concat_cvc(""."", "".""), "" "", substr_cvc(""-"", 1, 3))",0.0,10000,0.09944701194763184
93,"replace_cvc(prefixof_cvc(""."", "".""), "" "", substr_cvc(""-"", 1, 3))",0.0,10000,0.09126091003417969
94,"replace_cvc(suffixof_cvc(""."", "".""), "" "", substr_cvc(""-"", 1, 3))",0.0,10000,0.09953498840332031
