attempt,best_program,program_score,iterations,time_seconds
1,_arg_1,0.0,10000,0.06538820266723633
2,"at_cvc(_arg_1, indexof_cvc("" "", "","", -1))",0.0,10000,0.07248687744140625
3,"replace_cvc(_arg_1, concat_cvc("" "", ""Inc""), """")",0.3333333333333333,10000,0.08418488502502441
4,"replace_cvc(""LLC"", concat_cvc(_arg_1, "",""), ""."")",0.0,10000,0.07226705551147461
5,"replace_cvc("","", ""Inc"", suffixof_cvc(""."", """"))",0.0,10000,0.07367897033691406
6,"replace_cvc(suffixof_cvc(""LLC"", "".""), ""."", int_to_str_cvc(1))",0.0,10000,0.06042599678039551
7,"if true
    replace_cvc("" "", "","", _arg_1)
else
    "" ""
end",0.0,10000,0.040641069412231445
8,"if false
    _arg_1
else
    replace_cvc(_arg_1, ""Inc"", _arg_1)
end",0.0,10000,0.0650320053100586
9,"at_cvc(contains_cvc("" "", ""LLC""), -1 == 1)",0.0,10000,0.03924989700317383
10,"replace_cvc(""Inc"", "","", replace_cvc(""LLC"", ""."", """"))",0.0,10000,0.04682803153991699
11,"replace_cvc("" "", _arg_1, if false
        _arg_1
    else
        "",""
    end)",0.0,10000,0.03592085838317871
12,"replace_cvc(int_to_str_cvc(0), prefixof_cvc("""", _arg_1), ""."")",0.0,10000,0.046582937240600586
13,"replace_cvc(replace_cvc(""Inc"", """", "" ""), """", """")",0.0,10000,0.042874813079833984
14,"replace_cvc(_arg_1, if false
        """"
    else
        """"
    end, "","")",0.0,10000,0.051048994064331055
15,"replace_cvc(_arg_1, replace_cvc(""Inc"", _arg_1, "" ""), "" "")",0.0,10000,0.03258991241455078
16,"replace_cvc(""."", replace_cvc(""."", """", "" ""), ""LLC"")",0.0,10000,0.05589604377746582
17,"replace_cvc(int_to_str_cvc(1), "","", contains_cvc(""Inc"", ""Inc""))",0.0,10000,0.07213401794433594
18,"replace_cvc(""LLC"", ""."", substr_cvc("" "", 0, 1))",0.0,10000,0.06676197052001953
19,"substr_cvc("""", 1, indexof_cvc("""", _arg_1, 0))",0.0,10000,0.053642988204956055
20,"replace_cvc(if true
        _arg_1
    else
        _arg_1
    end, ""Inc"", int_to_str_cvc(-1))",0.0,10000,0.06943297386169434
21,"if true
    at_cvc("""", -1)
else
    contains_cvc(""Inc"", """")
end",0.0,10000,0.07096099853515625
22,"if true
    concat_cvc("" "", _arg_1)
else
    contains_cvc(""Inc"", "","")
end",0.0,10000,0.0267181396484375
23,"if true
    prefixof_cvc("" "", "" "")
else
    contains_cvc(""."", "" "")
end",0.0,10000,0.02634882926940918
24,"if true
    suffixof_cvc("" "", ""."")
else
    contains_cvc(""."", ""LLC"")
end",0.0,10000,0.026428937911987305
25,"if true
    contains_cvc("" "", ""LLC"")
else
    contains_cvc("","", ""Inc"")
end",0.0,10000,0.027882099151611328
26,"if false
    concat_cvc(""Inc"", """")
else
    contains_cvc(""LLC"", _arg_1)
end",0.0,10000,0.034149169921875
27,"if false
    prefixof_cvc(""Inc"", ""Inc"")
else
    contains_cvc(""LLC"", ""."")
end",0.0,10000,0.03450918197631836
28,"if false
    suffixof_cvc(""Inc"", ""LLC"")
else
    concat_cvc(_arg_1, """")
end",0.0,10000,0.046823978424072266
29,"if false
    contains_cvc(""."", """")
else
    concat_cvc(_arg_1, "","")
end",0.0,10000,0.03538799285888672
30,"if false
    prefixof_cvc(""LLC"", "" "")
else
    at_cvc("","", 0)
end",0.0,10000,0.052388906478881836
31,"replace_cvc(""."", if false
        ""Inc""
    else
        ""LLC""
    end, int_to_str_cvc(-1))",0.0,10000,0.0409090518951416
32,"replace_cvc("","", replace_cvc(""Inc"", _arg_1, """"), int_to_str_cvc(1))",0.0,10000,0.08383297920227051
33,"at_cvc(replace_cvc(_arg_1, "","", _arg_1), -1 + 0)",0.0,10000,0.07621908187866211
34,"at_cvc(concat_cvc("""", "".""), indexof_cvc(""Inc"", ""Inc"", -1))",0.0,10000,0.08098411560058594
35,"at_cvc(prefixof_cvc(""."", "" ""), indexof_cvc(""Inc"", "","", 1))",0.0,10000,0.10149097442626953
36,"at_cvc(contains_cvc(_arg_1, _arg_1), indexof_cvc(""Inc"", ""LLC"", 0))",0.0,10000,0.07728099822998047
37,"replace_cvc(concat_cvc(_arg_1, """"), concat_cvc("" "", ""Inc""), """")",0.3333333333333333,10000,0.07774901390075684
38,"replace_cvc(concat_cvc("""", _arg_1), suffixof_cvc(""Inc"", _arg_1), ""LLC"")",0.0,10000,0.08646488189697266
39,"replace_cvc(concat_cvc("" "", _arg_1), contains_cvc(""."", """"), ""Inc"")",0.0,10000,0.07526302337646484
40,"replace_cvc(concat_cvc(""Inc"", """"), concat_cvc("","", "" ""), _arg_1)",0.0,10000,0.07626199722290039
41,"replace_cvc(concat_cvc(""."", """"), prefixof_cvc(""LLC"", "" ""), ""."")",0.0,10000,0.08616995811462402
42,"replace_cvc(concat_cvc("","", """"), contains_cvc(_arg_1, ""Inc""), """")",0.0,10000,0.07662701606750488
43,"replace_cvc(concat_cvc(""LLC"", "" ""), concat_cvc("""", ""Inc""), "","")",0.0,10000,0.08116316795349121
44,"replace_cvc(prefixof_cvc(_arg_1, "" ""), prefixof_cvc("" "", "".""), "" "")",0.0,10000,0.09987711906433105
45,"replace_cvc(prefixof_cvc("""", "" ""), suffixof_cvc(""Inc"", "".""), ""LLC"")",0.0,10000,0.09030795097351074
46,"replace_cvc(prefixof_cvc("" "", "" ""), contains_cvc(""."", "",""), ""Inc"")",0.0,10000,0.08988308906555176
47,"replace_cvc(prefixof_cvc(""Inc"", ""Inc""), concat_cvc("","", ""LLC""), _arg_1)",0.0,10000,0.09877395629882812
48,"replace_cvc(prefixof_cvc(""."", ""Inc""), prefixof_cvc(""LLC"", ""LLC""), ""."")",0.0,10000,0.09143209457397461
49,"replace_cvc(prefixof_cvc("","", ""Inc""), contains_cvc("""", _arg_1), """")",0.0,10000,0.11169004440307617
50,"replace_cvc(prefixof_cvc(""LLC"", "".""), concat_cvc("" "", _arg_1), "","")",0.0,10000,0.11234188079833984
