attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.12835216522216797,No updates
2,"replace_cvc(int_to_str_cvc(1), _arg_1, contains_cvc("""", """"))",0.0,0.061263084411621094,No updates
3,"replace_cvc(_arg_1, substr_cvc(_arg_1, 0, 0), int_to_str_cvc(-1))",0.0,0.08937335014343262,No updates
4,"replace_cvc(int_to_str_cvc(-1), if true
        "" ""
    else
        "" ""
    end, _arg_1)",0.0,0.09749507904052734,No updates
5,"replace_cvc("""", at_cvc("" "", 1), contains_cvc("" "", """"))",0.0,0.09725499153137207,No updates
6,"substr_cvc(concat_cvc("""", """"), 0, -1 - -1)",0.0,0.10172486305236816,No updates
7,"replace_cvc(concat_cvc("" "", """"), suffixof_cvc(_arg_1, _arg_1), int_to_str_cvc(1))",0.0,0.12685275077819824,No updates
8,"if false
    replace_cvc(_arg_1, "" "", """")
else
    contains_cvc(_arg_1, """")
end",0.0,0.05242562294006348,No updates
9,"if true
    prefixof_cvc("" "", "" "")
else
    replace_cvc("" "", _arg_1, "" "")
end",0.0,0.0812528133392334,No updates
10,"replace_cvc(concat_cvc("" "", _arg_1), replace_cvc("""", _arg_1, """"), _arg_1)",0.0,0.09230256080627441,No updates
11,"replace_cvc("""", suffixof_cvc("" "", "" ""), replace_cvc("""", """", """"))",0.0,0.11613249778747559,No updates
12,"replace_cvc(suffixof_cvc(_arg_1, _arg_1), if true
        "" ""
    else
        """"
    end, "" "")",0.0,0.09431672096252441,No updates
13,"replace_cvc(replace_cvc("""", """", _arg_1), """", suffixof_cvc("" "", _arg_1))",0.0,0.09701371192932129,No updates
14,"replace_cvc(concat_cvc("" "", _arg_1), int_to_str_cvc(1), prefixof_cvc("" "", """"))",0.0,0.0969398021697998,No updates
15,"replace_cvc(_arg_1, replace_cvc("" "", _arg_1, """"), prefixof_cvc("" "", "" ""))",0.0,0.10831809043884277,No updates
16,"replace_cvc("" "", prefixof_cvc(_arg_1, _arg_1), substr_cvc("""", 1, 1))",0.0,0.08922648429870605,No updates
17,"substr_cvc(suffixof_cvc("""", _arg_1), indexof_cvc("""", "" "", 1), 0)",0.0,0.09031486511230469,No updates
18,"substr_cvc(int_to_str_cvc(1), 0 == 1, 1 + -1)",0.0,0.08915114402770996,No updates
19,"substr_cvc(contains_cvc("" "", """"), 0, indexof_cvc("""", """", 1))",0.0,0.09755635261535645,No updates
20,"replace_cvc("""", if false
        """"
    else
        "" ""
    end, substr_cvc("" "", 0, 0))",0.0,0.08199810981750488,No updates
21,"substr_cvc("""", if true
        -1
    else
        1
    end, if true
        0
    else
        -1
    end)",0.0,0.09069490432739258,No updates
22,"replace_cvc(if true
        "" ""
    else
        "" ""
    end, at_cvc("""", -1), int_to_str_cvc(1))",0.0,0.08794140815734863,No updates
23,"substr_cvc(concat_cvc(_arg_1, "" ""), 1 - 1, -1 == 0)",0.0,0.10952997207641602,No updates
24,"substr_cvc(prefixof_cvc("" "", """"), 1 + -1, -1 + -1)",0.0,0.10651111602783203,No updates
25,"substr_cvc(contains_cvc(_arg_1, "" ""), 0 == 1, 1 == 1)",0.0,0.0972592830657959,No updates
26,"substr_cvc(at_cvc("" "", 1), 0 == -1, 1 + 0)",0.0,0.10182690620422363,No updates
27,"replace_cvc(concat_cvc("" "", """"), if false
        """"
    else
        _arg_1
    end, int_to_str_cvc(-1))",0.0,0.07433867454528809,No updates
28,"replace_cvc(contains_cvc("""", _arg_1), substr_cvc("""", -1, 0), int_to_str_cvc(1))",0.0,0.07642936706542969,No updates
29,"substr_cvc(substr_cvc("""", -1, 0), 1, indexof_cvc(_arg_1, """", 0))",0.0,0.09637975692749023,No updates
30,"substr_cvc(substr_cvc("""", -1, 1), -1, if true
        0
    else
        -1
    end)",0.0,0.07966113090515137,No updates
31,"replace_cvc(substr_cvc("""", 0, 0), replace_cvc("" "", "" "", "" ""), _arg_1)",0.0,0.08875489234924316,No updates
32,"replace_cvc(concat_cvc(_arg_1, _arg_1), suffixof_cvc(_arg_1, _arg_1), contains_cvc("" "", """"))",0.0,0.10391759872436523,No updates
33,"replace_cvc(concat_cvc("" "", "" ""), concat_cvc("" "", "" ""), suffixof_cvc("" "", "" ""))",0.0,0.10721254348754883,No updates
34,"replace_cvc(prefixof_cvc("" "", _arg_1), contains_cvc("" "", """"), suffixof_cvc(_arg_1, _arg_1))",0.0,0.1171109676361084,No updates
35,"replace_cvc(suffixof_cvc("""", "" ""), suffixof_cvc("" "", _arg_1), prefixof_cvc(_arg_1, """"))",0.0,0.10722136497497559,No updates
36,"replace_cvc(contains_cvc("""", """"), prefixof_cvc("""", "" ""), concat_cvc(_arg_1, "" ""))",0.0,0.10202264785766602,No updates
37,"replace_cvc(at_cvc("""", 1), concat_cvc("""", _arg_1), contains_cvc("""", _arg_1))",0.0,0.10036635398864746,No updates
38,"replace_cvc(concat_cvc(_arg_1, "" ""), at_cvc("" "", 0), concat_cvc("""", """"))",0.0,0.09429216384887695,No updates
39,"replace_cvc(contains_cvc("" "", _arg_1), at_cvc("""", -1), contains_cvc("""", "" ""))",0.0,0.08655142784118652,No updates
40,"replace_cvc(int_to_str_cvc(1), substr_cvc(_arg_1, -1, 1), contains_cvc("" "", _arg_1))",0.0,0.09697961807250977,No updates
41,"replace_cvc(substr_cvc("""", 1, 1), """", replace_cvc("""", "" "", """"))",0.0,0.08830118179321289,No updates
42,"replace_cvc(prefixof_cvc("" "", _arg_1), concat_cvc("" "", "" ""), at_cvc("" "", -1))",0.0,0.10451292991638184,No updates
