attempt,best_program,program_score,iterations,time_seconds
1,_arg_1,0.0,10000,0.07286405563354492
2,"replace_cvc(substr_cvc(""."", 2, 1), ""."", _arg_1)",0.0,10000,0.07345795631408691
3,"replace_cvc(prefixof_cvc("" "", "" ""), _arg_2, concat_cvc(""."", _arg_1))",0.0,10000,0.09063482284545898
4,"replace_cvc("" "", prefixof_cvc("" "", _arg_2), prefixof_cvc(""."", _arg_1))",0.0,10000,0.08452081680297852
5,"substr_cvc(prefixof_cvc("" "", _arg_2), 1 + 1, 2)",0.0,10000,0.07757806777954102
6,"at_cvc(replace_cvc("" "", "" "", "".""), 2 + 0)",0.0,10000,0.09165096282958984
7,"replace_cvc(prefixof_cvc(""."", "".""), suffixof_cvc(_arg_2, _arg_2), _arg_1)",0.0,10000,0.09314703941345215
8,"replace_cvc(replace_cvc(_arg_1, "" "", _arg_1), ""."", prefixof_cvc(_arg_2, _arg_1))",0.0,10000,0.16112208366394043
9,"replace_cvc(replace_cvc(""."", ""."", _arg_1), ""."", suffixof_cvc(_arg_2, _arg_1))",0.0,10000,0.0818479061126709
10,"replace_cvc(_arg_1, substr_cvc(_arg_2, 0, 2), prefixof_cvc(""."", _arg_1))",0.0,10000,0.08562898635864258
11,"replace_cvc(substr_cvc("" "", 0, 0), suffixof_cvc(""."", "".""), _arg_1)",0.0,10000,0.08102989196777344
12,"replace_cvc(replace_cvc("" "", _arg_1, "".""), concat_cvc(_arg_1, "".""), _arg_1)",0.0,10000,0.0807640552520752
13,"replace_cvc(_arg_2, replace_cvc(_arg_2, ""."", _arg_1), prefixof_cvc(""."", _arg_1))",0.0,10000,0.08162689208984375
14,"replace_cvc(replace_cvc("" "", ""."", _arg_1), at_cvc(""."", 2), _arg_1)",0.0,10000,0.06970596313476562
15,"substr_cvc(replace_cvc("" "", "" "", "".""), 2 + 0, 0)",0.0,10000,0.07923507690429688
16,"replace_cvc(_arg_2, concat_cvc(""."", "".""), replace_cvc(""."", _arg_2, _arg_1))",0.0,10000,0.08899807929992676
17,"substr_cvc(replace_cvc("" "", _arg_1, _arg_2), 0, 1 - 2)",0.0,10000,0.13107705116271973
18,"substr_cvc(suffixof_cvc(_arg_1, _arg_2), 2, indexof_cvc(""."", _arg_1, 0))",0.0,10000,0.07034111022949219
19,"replace_cvc(_arg_2, at_cvc(_arg_2, 1), replace_cvc("" "", _arg_2, _arg_1))",0.0,10000,0.07333588600158691
20,"replace_cvc(suffixof_cvc(_arg_1, "" ""), _arg_1, substr_cvc("" "", 0, 2))",0.0,10000,0.07629108428955078
21,"replace_cvc(concat_cvc(_arg_2, _arg_2), ""."", replace_cvc(_arg_1, _arg_2, _arg_1))",0.0,10000,0.08395981788635254
22,"replace_cvc(suffixof_cvc(""."", _arg_1), ""."", replace_cvc(_arg_2, _arg_2, _arg_1))",0.0,10000,0.07975196838378906
23,"replace_cvc(concat_cvc("" "", _arg_1), replace_cvc(""."", "" "", _arg_2), _arg_1)",0.0,10000,0.08782315254211426
24,"replace_cvc(suffixof_cvc(""."", "".""), replace_cvc(""."", ""."", _arg_2), _arg_1)",0.0,10000,0.08791208267211914
25,"replace_cvc(suffixof_cvc(""."", _arg_2), substr_cvc(_arg_2, 1, 1), _arg_1)",0.0,10000,0.12488794326782227
26,"substr_cvc(suffixof_cvc(_arg_1, _arg_2), indexof_cvc(_arg_2, ""."", 1), 2)",0.0,10000,0.08735990524291992
27,"replace_cvc(_arg_1, substr_cvc(""."", 0, 0), substr_cvc("" "", 2, 0))",0.0,10000,0.0825049877166748
28,"replace_cvc(at_cvc(_arg_1, 2), prefixof_cvc("" "", _arg_2), concat_cvc(_arg_2, _arg_1))",0.0,10000,0.08742904663085938
29,"replace_cvc(at_cvc("" "", 0), suffixof_cvc("" "", _arg_2), prefixof_cvc(_arg_2, _arg_1))",0.0,10000,0.08520698547363281
30,"replace_cvc(at_cvc(""."", 2), concat_cvc("" "", _arg_2), suffixof_cvc(_arg_2, _arg_1))",0.0,10000,0.09214305877685547
31,"replace_cvc(concat_cvc(_arg_1, "".""), prefixof_cvc("" "", "" ""), concat_cvc(_arg_2, _arg_1))",0.0,10000,0.09557104110717773
32,"replace_cvc(concat_cvc(_arg_2, "".""), suffixof_cvc("" "", "" ""), prefixof_cvc(_arg_2, _arg_1))",0.0,10000,0.13408493995666504
33,"replace_cvc(concat_cvc(""."", _arg_1), concat_cvc("" "", "" ""), suffixof_cvc(_arg_2, _arg_1))",0.0,10000,0.09574508666992188
34,"replace_cvc(prefixof_cvc(_arg_1, _arg_1), prefixof_cvc("" "", "".""), concat_cvc(_arg_2, _arg_1))",0.0,10000,0.09767508506774902
